month_year,day_count
2022-05,304054
2022-04,19158
2022-03,15973
2022-02,16839
2022-01,17507
2021-12,14992
2021-11,14601
2021-10,20809
2021-09,43766
2021-08,26342
2021-07,12375
2021-06,13992
2021-05,17042
2021-04,47482
2021-03,13341
2021-02,10247
2021-01,23128
2020-12,20733
2020-11,9677
2020-10,18313
2020-09,22021
2020-08,14308
2020-07,19463
2020-06,9683
2020-05,7703
2020-04,7802
2020-03,11812
2020-02,12399
2020-01,13795
2019-12,10443
2019-11,11879
2019-10,13401
2019-09,10651
2019-08,38371
2019-07,10273
2019-06,12244
2019-05,12282
2019-04,11305
2019-03,21764
2019-02,6871
2019-01,10013
2018-12,7593
2018-11,14423
2018-10,14573
2018-09,6836
2018-08,6734
2018-07,9147
2018-06,6630
2018-05,6905
2018-04,7049
2018-03,7109
2018-02,6707
2018-01,9016
2017-12,7446
2017-11,5283
2017-10,3938
2017-09,4666
2017-08,5405
2017-07,11636
2017-06,7697
2017-05,5006
2017-04,4336
2017-03,10830
2017-02,6577
2017-01,7126
2016-12,3510
2016-11,3889
2016-10,4089
2016-09,3435
2016-08,3703
2016-07,3712
2016-06,3395
2016-05,3511
2016-04,3614
2016-03,3326
2016-02,3285
2016-01,3470
2015-12,3476
2015-11,3479
2015-10,3650
2015-09,3761
2015-08,3865
2015-07,3892
2015-06,4830
2015-05,3538
2015-04,4130
2015-03,4416
2015-02,3982
2015-01,3863
