month_year,day_count
2022-06,1239
2022-05,9
2022-04,14
2022-03,12
2022-02,3
2022-01,2
2021-12,6
2021-11,10
2021-10,19
2021-09,7
2021-08,1
2021-07,17
2021-06,5
2021-05,9
2021-04,41
2021-03,41
2021-02,105
2021-01,185
2020-12,281
2020-11,103
2020-10,61
2020-09,15
2020-08,18
2020-07,39
2020-06,5
2020-05,50
2020-04,77
2020-03,55
2020-02,43
2020-01,26
2019-12,57
2019-11,31
2019-10,38
2019-09,19
2019-08,27
2019-07,22
2019-06,12
2019-05,18
2019-04,36
2019-03,36
2019-02,16
2019-01,27
2018-12,39
2018-11,35
2018-10,27
2018-09,54
2018-08,17
2018-07,18
2018-06,27
2018-05,83
2018-04,64
2018-03,60
2018-02,1
2018-01,99
2017-12,41
2017-11,74
2017-10,135
2017-09,91
2017-08,72
2017-07,90
2017-06,32
2017-05,11
2017-04,32
2017-03,95
2017-02,66
2017-01,110
2016-12,124
2016-11,168
2016-10,272
2016-09,334
2016-08,67
2016-07,76
2016-06,142
2016-05,301
2016-04,162
2016-03,64
2016-02,49
2016-01,53
2015-12,48
2015-11,123
2015-10,142
2015-09,0
2015-08,1
2015-07,0
2015-06,0
2015-05,1
2015-04,0
2015-03,0
2015-02,0
2015-01,1
