month_year,day_count
2022-05,821
2022-04,459
2022-03,500
2022-02,218
2022-01,472
2021-12,590
2021-11,838
2021-10,535
2021-09,940
2021-08,3422
2021-07,1602
2021-06,622
2021-05,398
2021-04,372
2021-03,1124
2021-02,537
2021-01,489
2020-12,303
2020-11,343
2020-10,601
2020-09,618
2020-08,1574
2020-07,843
2020-06,1794
2020-05,367
2020-04,705
2020-03,677
2020-02,760
2020-01,551
2019-12,382
2019-11,4626
2019-10,316
2019-09,618
2019-08,1660
2019-07,3032
2019-06,655
2019-05,661
2019-04,411
2019-03,2350
2019-02,174
2019-01,322
2018-12,298
2018-11,300
2018-10,1413
2018-09,289
2018-08,1797
2018-07,2171
2018-06,869
2018-05,561
2018-04,1081
2018-03,637
2018-02,168
2018-01,444
2017-12,290
2017-11,151
2017-10,109
2017-09,184
2017-08,1214
2017-07,1247
2017-06,439
2017-05,733
2017-04,293
2017-03,19914
2017-02,135
2017-01,74
2016-12,51
2016-11,141
2016-10,82
2016-09,118
2016-08,738
2016-07,808
2016-06,280
2016-05,159
2016-04,96
2016-03,287
2016-02,104
2016-01,248
2015-12,85
2015-11,301
2015-10,252
2015-09,1072
2015-08,783
2015-07,701
2015-06,345
2015-05,184
2015-04,222
2015-03,133
2015-02,42
2015-01,105
