year,month_year,date,day_count
2022,2022-05,2022-05-30,400199
2022,2022-05,2022-05-29,265894
2022,2022-05,2022-05-28,452301
2022,2022-05,2022-05-27,575904
2022,2022-05,2022-05-26,403441
2022,2022-05,2022-05-25,228530
2022,2022-05,2022-05-24,324941
2022,2022-05,2022-05-23,225844
2022,2022-05,2022-05-22,232364
2022,2022-05,2022-05-21,544285
2022,2022-05,2022-05-20,1100582
2022,2022-05,2022-05-19,868919
2022,2022-05,2022-05-18,924628
2022,2022-05,2022-05-17,418018
2022,2022-05,2022-05-16,257865
2022,2022-05,2022-05-15,497595
2022,2022-05,2022-05-14,474367
2022,2022-05,2022-05-13,623627
2022,2022-05,2022-05-12,450361
2022,2022-05,2022-05-11,341672
2022,2022-05,2022-05-10,407812
2022,2022-05,2022-05-09,857833
2022,2022-05,2022-05-08,228971
2022,2022-05,2022-05-07,282073
2022,2022-05,2022-05-06,387146
2022,2022-05,2022-05-05,409987
2022,2022-05,2022-05-04,593529
2022,2022-05,2022-05-03,697642
2022,2022-05,2022-05-02,612024
2022,2022-05,2022-05-01,588343
2022,2022-04,2022-04-30,794751
2022,2022-04,2022-04-29,1351116
2022,2022-04,2022-04-28,3112530
2022,2022-04,2022-04-27,1877869
2022,2022-04,2022-04-26,2689560
2022,2022-04,2022-04-25,2189980
2022,2022-04,2022-04-24,394458
2022,2022-04,2022-04-23,626093
2022,2022-04,2022-04-22,335287
2022,2022-04,2022-04-21,458204
2022,2022-04,2022-04-20,440937
2022,2022-04,2022-04-19,271715
2022,2022-04,2022-04-18,323392
2022,2022-04,2022-04-17,402029
2022,2022-04,2022-04-16,599249
2022,2022-04,2022-04-15,951761
2022,2022-04,2022-04-14,1041654
2022,2022-04,2022-04-13,152293
2022,2022-04,2022-04-12,159976
2022,2022-04,2022-04-11,284324
2022,2022-04,2022-04-10,472934
2022,2022-04,2022-04-09,339507
2022,2022-04,2022-04-08,310777
2022,2022-04,2022-04-07,406382
2022,2022-04,2022-04-06,315868
2022,2022-04,2022-04-05,816136
2022,2022-04,2022-04-04,434838
2022,2022-04,2022-04-03,285561
2022,2022-04,2022-04-02,102024
2022,2022-04,2022-04-01,127335
2022,2022-03,2022-03-31,108762
2022,2022-03,2022-03-30,160387
2022,2022-03,2022-03-29,197500
2022,2022-03,2022-03-28,258670
2022,2022-03,2022-03-27,375832
2022,2022-03,2022-03-26,301880
2022,2022-03,2022-03-25,247016
2022,2022-03,2022-03-24,117476
2022,2022-03,2022-03-23,99789
2022,2022-03,2022-03-22,157581
2022,2022-03,2022-03-21,171256
2022,2022-03,2022-03-20,112768
2022,2022-03,2022-03-19,206450
2022,2022-03,2022-03-18,131722
2022,2022-03,2022-03-17,205000
2022,2022-03,2022-03-16,214457
2022,2022-03,2022-03-15,323498
2022,2022-03,2022-03-14,639672
2022,2022-03,2022-03-13,145215
2022,2022-03,2022-03-12,98706
2022,2022-03,2022-03-11,111477
2022,2022-03,2022-03-10,126070
2022,2022-03,2022-03-09,232298
2022,2022-03,2022-03-08,118802
2022,2022-03,2022-03-07,273496
2022,2022-03,2022-03-06,317688
2022,2022-03,2022-03-05,531780
2022,2022-03,2022-03-04,137744
2022,2022-03,2022-03-03,193082
2022,2022-03,2022-03-02,169671
2022,2022-03,2022-03-01,188959
2022,2022-02,2022-02-28,279539
2022,2022-02,2022-02-27,316325
2022,2022-02,2022-02-26,224688
2022,2022-02,2022-02-25,98572
2022,2022-02,2022-02-24,84342
