month_year,day_count
2022-11,17376
2022-10,66810
2022-09,41507
2022-08,51519
2022-07,29998
2022-06,30044
2022-05,59432
2022-04,37901
2022-03,68590
2022-02,73450
2022-01,33582
2021-12,39966
2021-11,33254
2021-10,41098
2021-09,51747
2021-08,38584
2021-07,39986
2021-06,78687
2021-05,38069
2021-04,34884
2021-03,64724
2021-02,47331
2021-01,76411
2020-12,36312
2020-11,54099
2020-10,155446
2020-09,152636
2020-08,185765
2020-07,94736
2020-06,108194
2020-05,320572
2020-04,1359248
2020-03,76076
2020-02,42666
2020-01,101029
2019-12,155891
2019-11,48730
2019-10,86538
2019-09,63884
2019-08,135332
2019-07,160084
2019-06,313737
2019-05,201817
2019-04,116680
2019-03,252836
2019-02,364284
2019-01,88510
2018-12,41712
2018-11,55631
2018-10,97334
2018-09,157265
2018-08,69062
2018-07,226558
2018-06,1404318
2018-05,470955
2018-04,512980
2018-03,453525
2018-02,184076
2018-01,303749
2017-12,124876
2017-11,143408
2017-10,184952
2017-09,456814
2017-08,309250
2017-07,85704
2017-06,48457
2017-05,135685
2017-04,192125
2017-03,48664
2017-02,120766
2017-01,44491
2016-12,29484
2016-11,36235
2016-10,18052
2016-09,65160
2016-08,30396
2016-07,36940
2016-06,28235
2016-05,72462
2016-04,19436
2016-03,53686
2016-02,28935
2016-01,55326
2015-12,33033
2015-11,16841
2015-10,26259
2015-09,24269
2015-08,66918
2015-07,34955
2015-06,29530
2015-05,66457
2015-04,54129
2015-03,36935
2015-02,80181
2015-01,74376
2014-12,124797
2014-11,42103
2014-10,129438
2014-09,29154
2014-08,25201
2014-07,21937
2014-06,31904
2014-05,30359
2014-04,38336
2014-03,65242
2014-02,17105
2014-01,84821
2013-12,90290
2013-11,8939
2013-10,8528
2013-09,22618
2013-08,24261
2013-07,9053
2013-06,12106
2013-05,19070
2013-04,167053
2013-03,112348
2013-02,23528
2013-01,17752
2012-12,20166
2012-11,19336
2012-10,5431
2012-09,4021
2012-08,10670
2012-07,45324
2012-06,3007
2012-05,3742
2012-04,19058
2012-03,5437
2012-02,22263
2012-01,19833
2011-12,72529
2011-11,184
2011-10,448
2011-09,236
2011-08,213
2011-07,132
2011-06,113
2011-05,330
2011-04,186
2011-03,204
2011-02,241
2011-01,435
2010-12,586
2010-11,487
2010-10,3299
2010-09,2055
2010-08,94
2010-07,106
2010-06,178
2010-05,27
2010-04,42
2010-03,40
2010-02,10
2010-01,8
2009-12,2
2009-11,6
2009-10,8
2009-09,26
2009-08,39
2009-07,79
2009-06,342
2009-05,32
2009-04,26
2009-03,4
2009-02,3
2009-01,14
2008-12,1
2008-11,1
2008-10,10
2008-09,5
2008-08,2
2008-07,0
2008-06,0
2008-05,0
2008-04,0
2008-03,0
2008-02,0
2008-01,0
2007-12,0
2007-11,0
2007-10,2
