DATE,LEU0254541300A,LEU0257870300A,LEU0254541000A,,,DATE,CPIAUCSL
1/1/10,1055,.,1975,,,1/1/10,217.488
1/1/11,1039,1461,1860,,,2/1/10,217.281
1/1/12,1097,1610,1887,,,3/1/10,217.353
1/1/13,1099,1615,1885,,,4/1/10,217.403
1/1/14,1090,1683,1661,,,5/1/10,217.29
1/1/15,1116,1532,1824,,,6/1/10,217.199
1/1/16,1154,1750,1916,,,7/1/10,217.605
1/1/17,1150,1841,1918,,,8/1/10,217.923
1/1/18,1167,1894,2001,,,9/1/10,218.275
1/1/19,1223,1760,2292,1.160506329,,10/1/10,219.035
1/1/20,1262,1872,.,,,11/1/10,219.59
,,,,,,12/1/10,220.472
,,,,,,1/1/11,221.187
,,,,,,2/1/11,221.898
,,,,,,3/1/11,223.046
,,,,,,4/1/11,224.093
,,,,,,5/1/11,224.806
,,,,,,6/1/11,224.806
,,,,,,7/1/11,225.395
,,,,,,8/1/11,226.106
,,,,,,9/1/11,226.597
,,,,,,10/1/11,226.75
,,,,,,11/1/11,227.169
,,,,,,12/1/11,227.223
,,,,,,1/1/12,227.842
,,,,,,2/1/12,228.329
,,,,,,3/1/12,228.807
,,,,,,4/1/12,229.187
,,,,,,5/1/12,228.713
,,,,,,6/1/12,228.524
,,,,,,7/1/12,228.59
,,,,,,8/1/12,229.918
,,,,,,9/1/12,231.015
,,,,,,10/1/12,231.638
,,,,,,11/1/12,231.249
,,,,,,12/1/12,231.221
,,,,,,1/1/13,231.679
,,,,,,2/1/13,232.937
,,,,,,3/1/13,232.282
,,,,,,4/1/13,231.797
,,,,,,5/1/13,231.893
,,,,,,6/1/13,232.445
,,,,,,7/1/13,232.9
,,,,,,8/1/13,233.456
,,,,,,9/1/13,233.544
,,,,,,10/1/13,233.669
,,,,,,11/1/13,234.1
,,,,,,12/1/13,234.719
,,,,,,1/1/14,235.288
,,,,,,2/1/14,235.547
,,,,,,3/1/14,236.028
,,,,,,4/1/14,236.468
,,,,,,5/1/14,236.918
,,,,,,6/1/14,237.231
,,,,,,7/1/14,237.498
,,,,,,8/1/14,237.46
,,,,,,9/1/14,237.477
,,,,,,10/1/14,237.43
,,,,,,11/1/14,236.983
,,,,,,12/1/14,236.252
,,,,,,1/1/15,234.747
,,,,,,2/1/15,235.342
,,,,,,3/1/15,235.976
,,,,,,4/1/15,236.222
,,,,,,5/1/15,237.001
,,,,,,6/1/15,237.657
,,,,,,7/1/15,238.034
,,,,,,8/1/15,238.033
,,,,,,9/1/15,237.498
,,,,,,10/1/15,237.733
,,,,,,11/1/15,238.017
,,,,,,12/1/15,237.761
,,,,,,1/1/16,237.652
,,,,,,2/1/16,237.336
,,,,,,3/1/16,238.08
,,,,,,4/1/16,238.992
,,,,,,5/1/16,239.557
,,,,,,6/1/16,240.222
,,,,,,7/1/16,240.101
,,,,,,8/1/16,240.545
,,,,,,9/1/16,241.176
,,,,,,10/1/16,241.741
,,,,,,11/1/16,242.026
,,,,,,12/1/16,242.637
,,,,,,1/1/17,243.618
,,,,,,2/1/17,244.006
,,,,,,3/1/17,243.892
,,,,,,4/1/17,244.193
,,,,,,5/1/17,244.004
,,,,,,6/1/17,244.163
,,,,,,7/1/17,244.243
,,,,,,8/1/17,245.183
,,,,,,9/1/17,246.435
,,,,,,10/1/17,246.626
,,,,,,11/1/17,247.284
,,,,,,12/1/17,247.805
,,,,,,1/1/18,248.743
,,,,,,2/1/18,249.439
,,,,,,3/1/18,249.581
,,,,,,4/1/18,250.146
,,,,,,5/1/18,250.779
,,,,,,6/1/18,251.118
,,,,,,7/1/18,251.323
,,,,,,8/1/18,251.749
,,,,,,9/1/18,252.239
,,,,,,10/1/18,252.862
,,,,,,11/1/18,252.657
,,,,,,12/1/18,252.551
,,,,,,1/1/19,252.47
,,,,,,2/1/19,253.135
,,,,,,3/1/19,254.273
,,,,,,4/1/19,255.163
,,,,,,5/1/19,255.325
,,,,,,6/1/19,255.361
,,,,,,7/1/19,255.9
,,,,,,8/1/19,256.179
,,,,,,9/1/19,256.596
,,,,,,10/1/19,257.305
,,,,,,11/1/19,257.788
,,,,,,12/1/19,258.263
,,,,,,1/1/20,258.682
,,,,,,2/1/20,259.007
,,,,,,3/1/20,258.165
,,,,,,4/1/20,256.094
,,,,,,5/1/20,255.944
,,,,,,6/1/20,257.217
,,,,,,7/1/20,258.543
,,,,,,8/1/20,259.58
,,,,,,9/1/20,260.19
,,,,,,10/1/20,260.352
,,,,,,11/1/20,260.721
,,,,,,12/1/20,261.564
,,,,,,1/1/21,262.2
,,,,,,2/1/21,263.346
,,,,,,3/1/21,265.028
,,,,,,4/1/21,266.727
,,,,,,5/1/21,268.599
,,,,,,6/1/21,270.955
,,,,,,7/1/21,272.184
,,,,,,8/1/21,273.092
,,,,,,9/1/21,274.214
,,,,,,10/1/21,276.59
,,,,,,11/1/21,278.524
,,,,,,12/1/21,280.126
,,,,,,1/1/22,281.933
,,,,,,2/1/22,284.182
