|name|address|city|state|zipcode|hours
104|"Bursch Elementary School
"|"""4245 Merced Ave
""
"|"Baldwin Park  
"|CA|"91706
"|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
105|Bursch Elementary School|2505 W 156th St|Compton|CA|90220|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
106|Burton Chace Park|13650 Mindanao Way|Marina Del Rey|CA|90292|February 22 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
107|C Robert Lee Activity Center|21815 Pioneer Blvd|Hawaiian Gardens|CA|90716|February 22 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
108|Cabrillo Avenue Elementary School|732 S Cabrillo Ave|San Pedro|CA|90731|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
109|Cabrillo High School|2001 Santa Fe Ave|Long Beach|CA|90810|February 22 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
110|Cahuenga Elementary School|220 S Hobart Blvd|Los Angeles|CA|90004|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
111|Cal Poly Pomona|3801 W Temple Ave|Pomona|CA|91768|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
112|Cal State University Chancellor's Office|401 Golden Shore|Long Beach|CA|90802|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
113|Cal State University Dominguez Hills|1000 E Victoria St|Carson|CA|90747|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
114|Cal State University Long Beach|1250 Bellflower Blvd|Long Beach|CA|90840|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
115|Cal State University Los Angeles|5151 State University Dr|Los Angeles|CA|90032|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
116|Cal State University Northridge|18111 Nordhoff St|Northridge|CA|91330|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
117|Calabasas Senior Center|300 Civic Center Way|Calabasas|CA|91302|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
118|Calabasas Tennis and Swim Center|23400 Park Sorrento|Calabasas|CA|91302|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
119|California Heights United Methodist Church|3759 Orange Ave|Long Beach|CA|90807|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
120|Calvary Grace Church|2520 Peck Rd|Monrovia|CA|91016|February 22 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
121|Cameron Park Community Center|1305 E Cameron Ave|West Covina|CA|91790|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
122|Canyon Country Park|17615 Soledad Canyon Rd|Canyon Country|CA|91387|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
123|Carmelitos Housing Apartments|1000 Via Wanda|Long Beach|CA|90805|February 22 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
124|Carolyn Rosas County Park|18500 Farjardo St|Rowland Heights|CA|91748|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
125|Carpenters Local Union 562|341 Wardlow Rd|Long Beach|CA|90807|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
126|Carpet District|533 N Azusa Ave|West Covina|CA|91791|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
127|Carr Elementary School|3404 W 168th St|Torrance|CA|90504|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
128|Carson Civic Center|801 E Carson St|Carson|CA|90745|February 22 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
129|Carson High School|22328 S Main St|Carson|CA|90745|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
130|Carthay School of Environmental Studies Magnet|6351 W Olympic Blvd|Los Angeles|CA|90048|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
131|Casa Robles Retirement Center|6355 Oak Ave|Temple City|CA|91780|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
132|Castaic Middle School|28900 Hillcrest Pkwy|Castaic|CA|91384|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
