record_id,date_reported,date_occurred,time_occurred,division_name,reporting_district,crime_code_description,modus_operandi_code,victim_age,victim_sex,premises_description,weapon_description,status_code_description,address,latitude,longitude,division.1,year,quarter,day,month,weekday,monthname,descent_description,hour,minute,geometry,index_right,name
200405562,2020-02-10,2020-02-10,200,Hollenbeck,449,Criminal homicide,0913 1100 1402 0430 1820 0302 1309 0906,29.0,male,Single family dwelling,Semi-automatic pistol,adult_arrest,2600    MARENGO                      ST,34.0545,-118.1992,,2020,1,10,2,0,February,hispanic,2,0,POINT (-118.1992 34.0545),9,Boyle Heights
200407038,2020-03-17,2020-03-17,905,Hollenbeck,478,Criminal homicide,0302 0334 0430 0202 0906 1100 2004 1407 1822 0341,26.0,male,Sidewalk,Semi-automatic pistol,adult_arrest,900    GRANDE VISTA                 AV,34.028,-118.2048,,2020,1,17,3,1,March,hispanic,9,5,POINT (-118.2048 34.028),9,Boyle Heights
200401071,2020-09-26,2020-09-26,900,Hollenbeck,453,Criminal homicide,1822 0400 0416 0429 1202,62.0,male,Street,"Strong-arm (hands, fist, feet or bodily force)",invest_cont,1800    PENNSYLVANIA                 AV,34.0475,-118.2169,,2020,3,26,9,5,September,hispanic,9,0,POINT (-118.2169 34.0475),9,Boyle Heights
200407880,2020-04-16,2020-04-15,2259,Hollenbeck,466,Criminal homicide,1402 1407 0946 1270 1809 1822 1100 0906 0430,45.0,male,Parking lot,Hand gun,adult_arrest,2800 E  CESAR E CHAVEZ               AV,34.0445,-118.2025,,2020,2,15,4,2,April,hispanic,22,59,POINT (-118.2025 34.0445),9,Boyle Heights
200408872,2020-05-15,2020-05-15,710,Hollenbeck,453,Criminal homicide,0906 1822 1100 0430 0334 1407 0302,40.0,male,Park/playground,Hand gun,invest_cont,700    ECHANDIA                     ST,34.0542,-118.2172,,2020,2,15,5,4,May,hispanic,7,10,POINT (-118.2172 34.0542),9,Boyle Heights
200410897,2020-07-18,2020-07-18,1212,Hollenbeck,479,Criminal homicide,1816 0430 1402 1407 0906 1218 2004 1100 0913 1817,55.0,male,"Multi-unit dwelling (apartment, duplex, etc)",Hand gun,adult_arrest,3700    WHITTIER                     BL,34.0244,-118.1934,,2020,3,18,7,5,July,hispanic,12,12,POINT (-118.1934 34.0244),9,Boyle Heights
200407715,2020-04-09,2020-04-09,1955,Hollenbeck,459,Criminal homicide,1407 1822 1100 0430 0305,44.0,male,Sidewalk,Semi-automatic pistol,invest_cont,400 N  EVERGREEN                    AV,34.0436,-118.2004,,2020,2,9,4,3,April,hispanic,19,55,POINT (-118.2004 34.0436),9,Boyle Heights
200409680,2020-06-10,2020-06-10,1935,Hollenbeck,499,Criminal homicide,0430 1100 0906 1402 0913 1817,36.0,male,Sidewalk,Hand gun,adult_arrest,1200    LOS PALOS                    ST,34.0189,-118.1954,,2020,2,10,6,2,June,hispanic,19,35,POINT (-118.1954 34.0189),9,Boyle Heights
200409237,2020-05-26,2020-05-25,1300,Hollenbeck,491,Criminal homicide,1501 0400 1218 1822 0430 1100,27.0,female,Other premise,Unknown weapon/other weapon,invest_cont,1500    RIO VISTA                    AV,34.0234,-118.2229,,2020,2,25,5,0,May,hispanic,13,0,POINT (-118.2229 34.0234),9,Boyle Heights
200409502,2020-06-04,2020-06-04,2210,Hollenbeck,466,Criminal homicide,0430 1402 0906 1100 1822,24.0,male,Street,Semi-automatic pistol,adult_arrest,200 N  SOTO                         ST,34.0453,-118.2088,,2020,2,4,6,3,June,hispanic,22,10,POINT (-118.2088 34.0453),9,Boyle Heights
200401042,2020-09-13,2020-09-13,2020,Hollenbeck,449,Criminal homicide,0906 1822 1100 0430 1407,36.0,male,Street,Hand gun,invest_cont,MARENGO,34.0544,-118.2007,,2020,3,13,9,6,September,hispanic,20,20,POINT (-118.2007 34.0544),9,Boyle Heights
200413210,2020-09-27,2020-09-27,930,Hollenbeck,491,Criminal homicide,1100 0430 1218 1822 1402,50.0,male,Other/outside,Hand gun,invest_cont,2500 E  OLYMPIC                      BL,34.0254,-118.2227,,2020,3,27,9,6,September,hispanic,9,30,POINT (-118.2227 34.0254),9,Boyle Heights
200413477,2020-10-05,2020-10-05,150,Hollenbeck,478,Criminal homicide,1402 0906 1100 1822 0430,29.0,male,Street,Semi-automatic pistol,invest_cont,600    SPENCE                       ST,34.0285,-118.2031,,2020,4,5,10,0,October,hispanic,1,50,POINT (-118.2031 34.0285),9,Boyle Heights
200410989,2020-07-20,2020-07-20,2230,Hollenbeck,499,Criminal homicide,1100 0430 0906 1270 1822 1402 1419,34.0,male,Street,Unknown firearm,invest_cont,BESWICK,34.0205,-118.1957,,2020,3,20,7,0,July,white,22,30,POINT (-118.1957 34.0205),9,Boyle Heights
200414483,2020-10-31,2020-10-31,1021,Hollenbeck,499,Criminal homicide,1100 0416 1218 0906 1270 0430 0913,44.0,male,Street,Hand gun,adult_arrest,3600    NOAKES                       ST,34.0145,-118.2002,,2020,4,31,10,5,October,hispanic,10,21,POINT (-118.2002 34.0145),9,Boyle Heights
200411734,2020-08-13,2020-08-13,1655,Hollenbeck,464,Criminal homicide,0910 1100 0430 1402 1407 1822 2047,25.0,male,Mta - gold line - soto,Semi-automatic pistol,invest_cont,2300 E  1ST                          ST,34.0441,-118.2105,,2020,3,13,8,3,August,hispanic,16,55,POINT (-118.2105 34.0441),9,Boyle Heights
200416452,2020-12-31,2020-12-31,855,Hollenbeck,497,Criminal homicide,1100 1822 1218 0430,45.0,male,Other/outside,Unknown firearm,invest_cont,2800 E  LUGO                         ST,34.0166,-118.22,,2020,4,31,12,3,December,hispanic,8,55,POINT (-118.22 34.0166),9,Boyle Heights
200416099,2020-12-19,2020-12-19,1719,Hollenbeck,464,Criminal homicide,1822 0430 0906,22.0,male,Street,Hand gun,adult_arrest,200 S  SOTO                         ST,34.0445,-118.2116,,2020,4,19,12,5,December,hispanic,17,19,POINT (-118.2116 34.0445),9,Boyle Heights
200416098,2020-12-19,2020-12-19,1719,Hollenbeck,464,Criminal homicide,1822 0430 1100 0906,23.0,female,Street,Hand gun,adult_arrest,200 S  SOTO                         ST,34.0445,-118.2116,,2020,4,19,12,5,December,hispanic,17,19,POINT (-118.2116 34.0445),9,Boyle Heights
200415190,2020-11-23,2020-11-23,1445,Hollenbeck,465,Criminal homicide,1100 1822 0430 0906,30.0,male,Sidewalk,Hand gun,invest_cont,3200 E  4TH                          ST,34.0357,-118.2007,,2020,4,23,11,0,November,hispanic,14,45,POINT (-118.2007 34.0357),9,Boyle Heights
