,quarter,year,total
31,3,2010,375
32,4,2010,304
28,2,2010,467
35,1,2010,249
34,2,2011,286
30,3,2011,389
37,1,2011,226
27,4,2011,495
7,4,2012,1331
24,2,2012,817
25,1,2012,784
13,3,2012,1140
5,4,2013,1446
10,3,2013,1278
6,2,2013,1366
8,1,2013,1319
22,4,2014,969
15,3,2014,1110
12,2,2014,1211
9,1,2014,1291
20,2,2015,1017
11,1,2015,1226
23,3,2015,913
3,4,2015,1585
26,4,2016,749
2,2,2016,1689
1,1,2016,1966
17,3,2016,1035
16,4,2017,1082
14,1,2017,1136
4,3,2017,1521
0,2,2017,1999
19,3,2018,1021
21,2,2018,980
18,1,2018,1027
29,4,2018,425
33,1,2019,293
38,2,2019,183
36,3,2019,241
39,4,2019,171
