,reporting_district,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
130,251,0,0,2,1,0,0,0,0,0,0
131,279,0,0,0,0,0,1,0,0,0,0
132,307,0,17,0,0,0,0,0,0,0,0
133,311,0,1,0,0,0,0,0,0,0,0
134,313,0,0,1,8,0,3,0,0,0,0
135,249,0,0,0,0,0,0,1,0,0,0
136,248,0,0,1,0,0,0,0,0,0,0
137,314,0,1,0,0,0,0,0,0,0,0
138,325,0,0,0,0,0,1,0,0,0,0
139,326,2,0,1,1,0,0,0,0,0,0
140,308,0,0,0,3,0,1,0,0,0,0
141,100,1,4,5,2,0,1,0,0,0,0
142,238,0,0,0,2,0,0,0,0,0,0
143,2058,0,0,0,0,0,0,0,0,1,0
144,2046,0,0,0,0,0,0,0,1,0,0
145,2049,0,1,0,0,0,0,0,0,0,0
146,205,0,1,1,0,0,0,2,0,0,0
147,2053,1,0,0,0,0,0,0,0,0,0
148,2054,0,0,0,1,0,0,0,0,1,0
149,2056,0,1,0,0,0,0,1,0,0,0
150,2062,0,0,1,0,0,0,0,1,0,0
151,2039,0,0,0,0,0,0,1,3,8,0
152,2069,1,0,0,0,0,0,0,0,0,0
153,2071,0,0,0,0,0,0,0,1,0,0
154,2073,0,1,0,0,0,0,0,0,0,0
155,2074,1,1,0,0,0,0,0,0,1,0
156,2076,1,1,0,0,0,0,0,0,0,0
157,2079,0,2,0,0,0,0,0,0,0,0
158,2041,1,0,0,0,0,0,0,0,0,0
159,2036,1,0,1,0,0,0,0,0,0,0
160,237,0,0,1,0,0,0,0,0,0,0
161,202,0,0,0,1,0,0,0,0,2,0
162,201,0,13,1,2,0,0,0,0,0,0
163,2014,0,0,0,1,0,0,1,0,0,0
164,2015,3,0,0,0,0,0,0,0,0,0
165,2016,3,0,0,0,0,0,0,0,0,0
166,2017,0,0,1,0,0,0,0,0,0,0
167,2019,0,0,0,2,0,0,0,0,3,0
168,2021,0,0,0,0,0,0,0,0,3,0
169,2033,0,1,0,0,0,0,2,2,1,0
170,2024,1,0,1,1,0,0,0,1,1,0
171,2025,0,0,0,0,0,0,0,1,0,0
172,2026,0,1,0,0,0,0,0,0,2,0
173,2029,1,1,0,0,0,1,0,1,2,0
174,203,0,7,1,0,0,0,0,0,0,0
175,2031,0,0,0,0,0,0,1,0,0,0
176,2081,0,1,0,0,1,0,0,0,0,0
177,2088,0,2,0,3,0,0,0,0,0,0
178,2093,0,0,0,0,0,0,1,0,0,0
179,216,0,0,3,0,2,0,0,0,0,0
180,2145,0,0,0,0,0,0,0,1,0,0
181,2146,0,0,0,0,4,6,1,1,0,0
182,2147,1,0,0,0,0,0,0,0,0,0
183,215,0,0,0,0,0,2,1,0,0,0
184,2155,0,0,0,0,0,0,1,2,2,0
185,2157,0,0,0,1,0,0,0,0,0,0
186,2169,0,0,0,0,1,0,0,0,0,0
187,2097,0,1,0,0,0,0,0,0,0,0
188,363,0,1,3,0,0,0,0,0,0,0
189,2175,0,0,0,0,0,1,0,0,3,0
190,219,0,4,0,4,0,0,1,0,1,0
191,231,0,0,0,1,0,0,0,0,0,0
192,233,0,0,1,0,0,0,0,0,0,0
193,236,0,0,1,1,0,0,0,0,6,0
194,2144,0,0,0,0,0,0,0,2,0,0
195,2142,0,0,0,0,1,0,0,0,0,0
196,2141,0,2,0,0,0,0,0,0,0,0
197,2139,0,0,1,0,0,0,0,0,0,0
198,2137,0,0,0,1,2,0,0,0,0,0
199,2136,0,0,0,0,0,0,0,4,0,0
200,2134,0,0,3,0,3,0,0,0,0,0
201,2129,0,0,2,0,1,0,0,0,0,0
202,2128,0,1,0,0,0,0,0,0,0,0
203,2126,8,5,3,4,4,0,0,0,0,0
204,2118,0,0,2,0,0,0,0,0,0,0
205,2115,0,1,0,1,0,17,0,1,0,0
206,2114,0,0,0,0,0,0,0,1,0,0
207,2111,0,4,0,0,0,0,0,0,0,0
208,211,0,1,0,0,0,0,1,0,1,0
209,2105,1,0,1,0,0,0,0,0,0,0
210,2104,0,0,1,0,0,0,0,1,0,0
211,217,0,1,1,0,0,0,0,0,2,0
212,505,1,0,0,0,0,0,0,0,0,0
213,373,0,0,0,0,0,0,1,0,0,0
214,827,1,0,0,0,0,0,0,0,15,0
215,785,0,1,0,0,1,0,0,0,0,0
216,789,0,0,0,1,0,0,0,0,0,0
217,811,0,0,1,0,0,0,0,1,0,0
218,813,0,0,0,0,0,0,0,1,0,0
219,817,0,0,0,0,0,0,2,0,0,0
220,822,0,1,0,0,2,1,2,0,0,0
221,829,0,0,0,0,0,0,0,5,2,0
222,782,0,0,0,0,1,0,0,0,0,0
223,831,0,0,0,1,0,0,0,0,0,0
224,832,0,0,0,0,0,1,0,0,22,0
225,837,0,0,0,0,0,0,0,0,1,0
226,841,0,0,3,0,1,0,1,1,0,0
227,842,0,0,0,0,2,1,0,0,1,0
228,847,0,0,1,0,0,0,0,0,0,0
229,784,1,0,0,3,0,0,0,1,0,0
230,776,0,0,0,2,0,0,0,0,0,0
231,849,0,0,1,0,0,0,0,1,0,0
232,752,0,0,1,0,0,0,0,0,0,0
233,721,0,0,1,0,0,0,0,0,0,0
234,722,0,0,0,0,1,0,0,0,0,0
235,726,1,2,0,0,0,0,0,0,0,0
236,732,0,0,1,1,0,0,0,0,0,0
237,734,0,0,0,1,0,0,0,0,0,0
238,735,0,0,0,0,0,0,0,0,1,0
239,755,0,0,1,1,0,0,0,0,0,0
240,775,2,0,0,1,0,0,1,0,0,0
241,762,0,1,0,0,0,0,0,0,0,0
242,763,0,0,1,0,0,0,0,0,0,0
243,764,0,3,0,0,0,0,0,1,0,0
244,765,0,1,0,0,0,0,0,0,0,0
245,767,0,0,0,1,0,0,0,0,0,0
246,774,0,0,0,0,0,0,0,2,0,0
247,848,0,1,0,0,0,0,0,0,0,0
248,852,0,0,0,0,0,1,0,1,0,0
249,375,0,1,0,0,0,0,0,0,0,0
250,948,0,1,0,0,0,0,0,0,0,0
251,933,0,2,1,0,0,2,27,3,0,0
252,934,0,0,2,0,0,0,0,0,0,0
