,id,total,year
476,7257,68,2014
477,7257,49,2012
478,7257,32,2018
479,7257,6,2011
480,7257,6,2019
481,7257,3,2010
482,7257,1,2012
483,7256,97,2017
484,7256,81,2016
485,7256,57,2015
486,7256,21,2018
487,7256,15,2012
488,7256,10,2014
489,7256,7,2013
490,7256,2,2019
491,7262,3,2014
492,7262,2,2015
493,7261,9,2013
494,7261,5,2015
495,7261,3,2012
496,7261,2,2011
497,7261,1,2014
498,7260,11,2013
499,7260,8,2014
500,7260,7,2012
501,7260,3,2015
502,7260,1,2011
503,7266,2,2013
504,7266,2,2011
505,7265,1,2013
506,7264,1,2013
507,7275,3,2011
508,7275,3,2012
509,7273,1,2015
510,7277,1,2016
511,7276,8,2013
512,7276,3,2014
513,7276,1,2012
514,3194,1,2011
515,3199,1,2019
516,3198,7,2011
517,3198,3,2012
518,3198,3,2018
519,3198,2,2013
520,3197,1,2011
521,3196,1,2012
522,3196,1,2013
523,3202,4,2017
524,3202,2,2016
525,7299,1,2017
526,3225,1,2017
527,3239,196,2014
528,3239,173,2013
529,3239,124,2015
530,3239,95,2016
531,3239,74,2012
532,3239,45,2017
533,3239,14,2019
534,3239,10,2018
535,3239,5,2011
536,3239,3,2010
537,3238,252,2016
538,3238,197,2015
539,3238,130,2018
540,3238,124,2017
541,3238,103,2014
542,3238,75,2013
543,3238,64,2012
544,3238,35,2019
545,3238,15,2011
546,3238,9,2010
547,3237,317,2014
548,3237,314,2013
549,3237,268,2017
550,3237,218,2015
551,3237,212,2012
552,3237,183,2016
553,3237,158,2018
554,3237,46,2019
555,3237,15,2011
556,3237,3,2010
557,3237,1,2010
558,7350,1,2015
559,7359,5,2016
560,7359,4,2014
561,7359,1,2019
562,7359,1,2017
563,7363,3,2019
564,7363,2,2017
565,7363,1,2016
566,7363,1,2018
567,7363,1,2013
568,7363,1,2014
569,7362,11,2015
570,7362,7,2016
571,7362,3,2014
572,7362,1,2019
573,7361,9,2016
574,7361,5,2017
575,7361,5,2013
576,7361,4,2015
577,7361,4,2014
578,7360,2,2014
579,7360,1,2016
580,7360,1,2012
581,7360,1,2013
582,7360,1,2015
583,7366,7,2013
584,7366,3,2012
585,7366,2,2014
586,7366,2,2011
587,7366,1,2015
588,7365,4,2012
589,7365,3,2013
590,7365,1,2011
591,7365,1,2016
592,7365,1,2018
593,7365,1,2018
594,7365,1,2019
595,7364,23,2016
596,7364,7,2015
597,7364,6,2017
598,7364,1,2011
599,7364,1,2013
600,3291,5,2017
601,3291,1,2013
602,7382,2,2010
603,3299,1,2017
604,3298,1,2017
605,3298,1,2018
606,3303,7,2011
607,3303,5,2013
608,3303,5,2010
609,3303,5,2017
610,3303,5,2014
611,3303,3,2012
612,3303,2,2013
613,3303,1,2011
614,3303,1,2015
615,3302,2,2015
616,3302,2,2018
617,3302,1,2017
618,3306,7,2010
619,3306,5,2015
620,3306,2,2018
621,3306,1,2012
622,3306,1,2011
623,3306,1,2014
624,3306,1,2013
625,3305,10,2013
626,3305,8,2012
627,3305,4,2015
628,3305,4,2010
629,3305,4,2014
630,3305,1,2011
631,3305,1,2017
632,3304,13,2011
633,3304,10,2010
634,3304,5,2012
635,3304,4,2013
636,3304,4,2014
637,3304,1,2017
638,3304,1,2013
639,3310,2,2012
640,3308,2,2015
641,3312,1,2015
642,3843,2,2019
643,3846,2,2019
644,3846,1,2018
645,3844,1,2016
646,3848,1,2010
647,3848,1,2011
648,3867,34,2018
649,3867,12,2017
650,3867,7,2016
651,3867,7,2019
652,3867,2,2015
653,3867,1,2011
654,3866,30,2018
655,3866,14,2017
656,3866,9,2019
657,3866,4,2016
658,3866,1,2012
659,3866,1,2014
660,3865,14,2017
661,3865,11,2015
662,3865,3,2018
663,3865,2,2016
664,3865,1,2014
665,3864,2,2017
666,3864,1,2014
667,3864,1,2013
668,3868,3,2018
669,3868,1,2017
670,3874,2,2017
671,3874,1,2016
672,3873,1,2010
673,7989,2,2016
674,7999,1,2012
675,7998,1,2017
676,3927,1,2016
677,3927,1,2015
678,3926,1,2015
679,3938,1,2010
680,3941,3,2015
681,3941,1,2017
682,3949,1,2011
683,3971,1,2010
684,3971,1,2018
685,3970,1,2012
686,3970,1,2016
687,3970,1,2014
688,3975,1,2017
689,3974,3,2018
690,3973,5,2017
691,3973,4,2019
692,3973,2,2018
693,3972,35,2017
694,3972,13,2018
695,3972,9,2019
696,3972,4,2016
697,3972,1,2012
698,3972,1,2015
699,3978,4,2015
700,3978,1,2013
701,3982,1,2010
702,3981,1,2017
703,8090,3,2019
704,8090,2,2017
705,8089,1,2016
706,8094,8,2019
707,8096,1,2013
708,4033,4,2015
709,4033,2,2010
710,4039,2,2010
711,4044,5,2015
712,4044,1,2014
713,4051,6,2015
714,4051,1,2017
715,4051,1,2018
716,4050,5,2015
717,4050,1,2016
718,4048,2,2019
719,4048,1,2016
720,4048,1,2018
721,4054,1,2011
722,4075,1,2017
723,4074,6,2017
724,4074,2,2018
725,4079,1,2016
726,4081,1,2017
727,4080,15,2017
728,4080,1,2016
729,4085,1,2017
730,7681,1,2017
731,7681,1,2013
732,3615,1,2014
733,3614,3,2015
734,3614,2,2014
735,3614,2,2013
736,3614,1,2011
737,3613,1,2011
738,3612,3,2011
739,3612,1,2012
740,3612,1,2013
741,3612,1,2015
742,3619,1,2015
743,3623,8,2013
744,3623,4,2016
745,3623,4,2010
746,3623,3,2011
747,3623,2,2018
748,3623,1,2012
749,3623,1,2014
750,3622,7,2013
751,3622,7,2015
752,3622,2,2011
753,3622,1,2012
754,3622,1,2010
755,3622,1,2014
756,3621,1,2013
757,3621,1,2015
758,3620,3,2017
759,3627,8,2012
760,3627,4,2016
761,3627,2,2015
762,3627,1,2017
763,3626,2,2013
764,3626,1,2015
765,3625,9,2016
766,3625,1,2010
767,3625,1,2014
768,3625,1,2013
769,3624,4,2014
770,3631,22,2016
771,3631,4,2012
772,3631,2,2017
773,3630,6,2016
774,3630,3,2012
775,3630,2,2011
776,3630,2,2015
777,3630,2,2017
778,3630,1,2019
779,3629,6,2016
780,3629,1,2012
781,3628,2,2012
782,3628,2,2013
783,3628,1,2015
784,3635,3,2013
785,3635,1,2010
786,3634,1,2016
787,3634,1,2013
788,3633,1,2017
789,3633,1,2016
790,3632,1,2012
791,3650,1,2018
792,3655,6,2019
793,3655,3,2017
794,3655,2,2012
795,3655,2,2018
796,3655,1,2016
797,3654,4,2017
798,3654,1,2018
799,3653,44,2017
800,3653,27,2018
801,3653,22,2016
802,3653,9,2019
803,3653,7,2015
804,3653,3,2012
805,3653,2,2011
806,3653,1,2014
807,3656,21,2018
808,3656,11,2017
809,3656,5,2019
810,3656,2,2016
811,3663,4,2015
812,3663,2,2017
813,3663,1,2012
814,3662,5,2012
815,3662,4,2018
816,3662,3,2014
817,3662,1,2017
818,3662,1,2019
819,7771,1,2013
820,7771,1,2012
821,7775,1,2013
822,7779,1,2011
823,7779,1,2012
824,7782,1,2014
825,7792,1,2016
826,3713,1,2010
827,3717,4,2013
828,3727,1,2011
829,3727,1,2013
830,3726,2,2011
831,3726,2,2012
832,3726,1,2010
833,3726,1,2015
834,3731,4,2015
835,3730,1,2016
836,3729,1,2016
837,3735,4,2012
838,3735,3,2016
839,3735,1,2017
840,3734,4,2017
841,3734,1,2012
842,3734,1,2016
843,3733,2,2016
844,3739,1,2016
845,3736,43,2016
846,3736,6,2017
847,3736,5,2015
848,3736,1,2018
849,3741,2,2012
850,3759,53,2018
851,3759,32,2017
852,3759,21,2016
853,3759,8,2015
854,3759,6,2019
855,3759,2,2014
856,3759,1,2012
857,3759,1,2013
858,3758,19,2018
859,3758,18,2017
860,3758,17,2016
861,3758,6,2015
862,3758,4,2014
863,3758,3,2019
864,3758,1,2013
865,3757,14,2018
866,3757,7,2017
867,3757,4,2013
868,3757,2,2015
869,3757,2,2019
870,3757,1,2016
871,3756,2,2016
872,3761,22,2018
873,3761,9,2017
874,3761,3,2016
875,3761,2,2019
876,3760,5,2018
877,3760,4,2017
878,3760,2,2015
879,3767,1,2010
880,3767,1,2014
881,3766,1,2016
882,3765,1,2016
883,3769,3,2017
884,3769,2,2014
885,3769,1,2015
886,3768,17,2012
887,3768,11,2017
888,3768,4,2014
889,3768,4,2010
890,3768,2,2013
891,3768,1,2019
892,3768,1,2018
893,3768,1,2015
894,3773,1,2015
895,7883,3,2011
896,7883,1,2012
897,7882,1,2013
898,7882,1,2015
899,7885,23,2010
900,7885,3,2013
901,7885,3,2011
902,7885,1,2014
903,7884,8,2010
904,7884,4,2011
905,7884,2,2016
906,7889,1,2013
907,7899,1,2016
908,7898,1,2012
909,3823,18,2013
910,3823,4,2014
911,3823,2,2012
912,3823,1,2017
913,3821,2,2010
914,3821,1,2016
915,3830,2,2010
916,3835,2,2016
917,3834,1,2015
918,3833,2,2011
919,3833,2,2015
920,3836,1,2013
921,6403,7,2011
922,6403,1,2012
923,6402,2,2012
924,6402,2,2011
925,6402,2,2018
926,6402,1,2013
927,6402,1,2014
928,6401,38,2016
929,6401,17,2012
930,6401,3,2010
931,6401,1,2017
932,6401,1,2015
933,6401,1,2014
934,6400,6,2016
935,6400,6,2017
936,6400,3,2010
937,6400,2,2019
938,6400,1,2011
939,6400,1,2015
940,6400,1,2014
941,6407,5,2018
942,6407,3,2017
943,6407,1,2010
944,6406,3,2017
945,6406,2,2011
946,6406,2,2015
947,6406,1,2018
948,6405,1,2018
949,6404,36,2016
950,6404,6,2015
951,6404,5,2018
952,6404,4,2013
953,6404,2,2017
954,6404,2,2018
955,6404,1,2019
956,6411,8,2019
957,6411,1,2015
958,6410,3,2013
959,6409,3,2011
960,6409,1,2017
961,6408,1,2010
962,6408,1,2018
963,6415,1,2018
964,6413,1,2018
965,6418,2,2013
966,6417,1,2012
967,6416,2,2016
968,6422,2,2016
969,6427,8,2015
970,6426,12,2015
971,6426,4,2012
972,6426,4,2014
973,6426,3,2013
974,6425,2,2013
975,6424,14,2015
976,6424,2,2016
977,6429,1,2015
978,6433,1,2012
979,6439,5,2010
980,2346,1,2012
981,2352,4,2012
982,6451,14,2018
983,6451,2,2019
984,2357,1,2013
985,2361,1,2016
986,2360,1,2015
987,6458,11,2010
988,6462,12,2016
989,6462,7,2018
990,6462,1,2017
991,6462,1,2015
992,6461,4,2018
993,6461,1,2016
994,6460,5,2015
995,6460,3,2016
996,6460,2,2017
997,6460,2,2018
998,2384,3,2017
999,6507,7,2012
1000,6507,1,2016
1001,6507,1,2017
1002,6506,4,2017
1003,6506,2,2018
1004,6506,2,2016
1005,6506,1,2012
1006,6506,1,2013
1007,6506,1,2015
1008,6505,1,2011
1009,6511,2,2016
1010,6511,1,2017
1011,6511,1,2013
1012,6510,1,2015
1013,6509,23,2016
1014,6509,6,2013
1015,6508,1,2016
1016,6515,1,2011
1017,6514,29,2013
1018,6514,15,2012
1019,6514,15,2011
1020,6514,8,2018
1021,6514,7,2014
1022,6514,1,2019
1023,6513,14,2017
1024,6513,13,2016
1025,6513,9,2018
1026,6513,7,2019
1027,6513,5,2011
1028,6513,4,2013
1029,6513,4,2012
1030,6513,1,2014
1031,6512,15,2018
1032,6512,12,2017
1033,6512,10,2019
1034,6512,6,2018
1035,6512,5,2012
1036,6512,4,2013
1037,6512,3,2017
1038,6512,3,2016
1039,6512,2,2011
1040,6512,1,2010
1041,6512,1,2016
1042,6517,2,2013
1043,6517,1,2015
1044,6516,1,2013
1045,6523,17,2015
1046,6523,8,2014
1047,6523,2,2014
1048,6523,1,2012
1049,6523,1,2013
1050,6522,7,2014
1051,6522,4,2014
1052,6522,4,2015
1053,6522,3,2011
1054,6522,2,2012
1055,6522,1,2010
1056,6522,1,2014
1057,6521,11,2015
1058,6521,7,2013
1059,6521,6,2012
1060,6521,4,2012
1061,6521,4,2011
1062,6521,2,2014
1063,6520,4,2015
1064,6520,3,2014
1065,6520,1,2012
1066,6520,1,2012
1067,6520,1,2013
1068,6527,1,2011
1069,6527,1,2015
1070,6526,23,2014
1071,6526,8,2013
1072,6526,2,2015
1073,6526,1,2014
1074,6525,30,2013
1075,6525,15,2014
1076,6525,6,2011
1077,6525,2,2016
1078,6525,2,2014
1079,6525,1,2012
1080,6525,1,2015
1081,6524,3,2016
1082,6524,1,2015
1083,6524,1,2014
1084,6524,1,2014
1085,6531,45,2015
1086,6531,22,2014
1087,6531,6,2013
1088,6531,5,2012
1089,6531,1,2011
1090,6530,54,2015
1091,6530,20,2014
1092,6530,16,2016
1093,6530,5,2010
1094,6530,5,2012
1095,6530,1,2011
1096,6530,1,2013
1097,6529,6,2015
1098,6529,1,2012
1099,6529,1,2016
1100,6529,1,2013
1101,6529,1,2014
1102,6529,1,2014
1103,6528,2,2019
1104,6535,2,2014
1105,6535,1,2012
1106,6534,4,2014
1107,6534,3,2013
1108,6534,1,2012
1109,6534,1,2010
1110,6534,1,2015
1111,6533,43,2015
1112,6533,12,2014
1113,6533,6,2013
1114,6533,5,2012
1115,6533,2,2011
1116,6533,2,2010
1117,6532,73,2015
1118,6532,34,2014
1119,6532,24,2012
1120,6532,10,2013
1121,6532,1,2010
1122,6532,1,2011
1123,6532,1,2016
1124,6543,1,2014
1125,6544,56,2010
1126,2459,1,2012
1127,2468,1,2012
1128,6567,8,2016
1129,6567,1,2018
1130,6567,1,2017
1131,6566,73,2018
1132,6566,36,2016
1133,6566,27,2017
1134,6566,16,2019
1135,6566,3,2015
1136,6570,1,2017
1137,6588,5,2012
1138,6588,4,2014
1139,6588,2,2010
1140,6615,3,2016
1141,6615,1,2012
1142,6615,1,2011
1143,6619,36,2018
1144,6619,21,2019
1145,6619,12,2017
1146,6619,9,2016
1147,6619,6,2012
1148,6619,3,2014
1149,6619,2,2013
1150,6619,2,2015
1151,6619,1,2011
1152,6618,1,2018
1153,6618,1,2013
1154,6617,2,2019
1155,6617,2,2016
1156,6617,1,2012
1157,6617,1,2017
1158,6616,9,2015
1159,6616,2,2016
1160,6616,1,2014
1161,6623,1,2015
1162,6622,1,2016
1163,6622,1,2018
1164,6622,1,2019
1165,6621,4,2019
1166,6621,4,2010
1167,6621,2,2013
1168,6621,1,2011
1169,6621,1,2016
1170,6621,1,2014
1171,6620,12,2018
1172,6620,8,2012
1173,6620,8,2019
1174,6620,5,2013
1175,6620,4,2011
1176,6620,3,2014
1177,6620,2,2016
1178,6620,2,2015
1179,6627,18,2015
1180,6627,12,2014
1181,6627,8,2012
1182,6627,5,2011
1183,6627,3,2013
1184,6627,1,2010
1185,6626,12,2013
1186,6626,4,2014
1187,6626,3,2012
1188,6626,1,2011
1189,6626,1,2015
1190,6625,2,2013
1191,6625,2,2015
1192,6625,1,2012
1193,6625,1,2015
1194,6625,1,2014
1195,6631,6,2013
1196,6631,2,2012
1197,6631,1,2011
1198,6631,1,2014
1199,6630,2,2013
1200,6630,2,2010
1201,6630,1,2012
1202,6630,1,2011
1203,6630,1,2014
1204,6629,3,2012
1205,6629,2,2014
1206,6629,1,2010
1207,6629,1,2011
1208,6629,1,2013
1209,6629,1,2015
1210,6628,11,2015
1211,6628,6,2012
1212,6628,4,2014
1213,6628,4,2011
1214,6628,3,2016
1215,6633,7,2011
1216,6633,1,2013
1217,6633,1,2014
1218,6632,14,2013
1219,6632,10,2014
1220,6632,8,2011
1221,6632,2,2012
1222,6638,2,2015
1223,6637,1,2013
1224,6636,2,2015
1225,6636,1,2013
1226,6641,1,2015
1227,6640,10,2015
1228,6191,1,2018
1229,6191,1,2015
1230,6190,6,2016
1231,6190,5,2017
1232,6190,4,2018
1233,6190,3,2015
1234,6190,2,2016
1235,6190,1,2010
1236,6190,1,2013
1237,6189,4,2012
1238,6189,2,2016
1239,6189,2,2010
1240,6189,1,2011
1241,6189,1,2011
1242,6188,10,2016
1243,6188,6,2012
1244,6188,5,2017
1245,6188,5,2014
1246,6188,2,2011
1247,6188,1,2013
1248,6188,1,2015
1249,6195,1,2017
1250,6194,1,2017
1251,6194,1,2018
1252,6194,1,2014
1253,6193,6,2010
1254,6193,1,2016
1255,6193,1,2013
1256,6199,1,2011
1257,6198,1,2011
1258,6198,1,2018
1259,6197,1,2010
1260,6197,1,2011
1261,6196,4,2017
