ap_state,state,2019,2020,change
Mich.,Michigan,253528.0,716416.0,182.58
Ala.,Alabama,297308.0,608531.0,104.68
Utah,Utah,89051.0,179224.0,101.26
Ga.,Georgia,280074.0,562732.0,100.92
Ariz.,Arizona,274127.0,544842.0,98.76
Mass.,Maryland,103887.0,204071.0,96.44
N.J.,New Jersey,89774.0,176059.0,96.11
R.I.,Rhode Island,22858.0,44292.0,93.77
Nev.,Nevada,96680.0,177884.0,83.99
Del.,Delaware,39723.0,70245.0,76.84
S.C.,South Carolina,209095.0,367852.0,75.93
N.C.,North Carolina,179209.0,313194.0,74.76
Iowa,Idaho,113348.0,197636.0,74.36
Ky.,Kentucky,230269.0,398554.0,73.08
Miss.,Mississippi,185011.0,312003.0,68.64
Ark.,Arkansas,146668.0,246361.0,67.97
Fla.,Florida,910371.0,1527176.0,67.75
Texas,Texas,1015548.0,1681567.0,65.58
La.,Louisiana,236007.0,386078.0,63.59
N.H.,New Hampshire,94607.0,153963.0,62.74
Ohio,Ohio,473461.0,770067.0,62.65
Va.,Virginia,498995.0,808756.0,62.08
Kan.,Kansas,136218.0,220742.0,62.05
Vt.,Vermont,35627.0,57626.0,61.75
Wis.,Wisconsin,321022.0,518197.0,61.42
Md.,Maine,81266.0,128311.0,57.89
Mont.,Montana,87371.0,137449.0,57.32
Wyo,Wyoming,51416.0,80642.0,56.84
Calif.,California,780917.0,1220798.0,56.33
N.Y.,New York,280016.0,437304.0,56.17
Ill.,Indiana,397772.0,617770.0,55.31
Ind.,Iowa,31450.0,48551.0,54.38
Pa.,Pennsylvania,702632.0,1081537.0,53.93
Maine,Massachusetts,88050.0,135456.0,53.84
Tenn.,Tennessee,487684.0,743467.0,52.45
Minn.,Minnesota,247775.0,376094.0,51.79
Ore.,Oregon,287672.0,434001.0,50.87
Neb.,Nebraska,22772.0,34040.0,49.48
Colo.,Colorado,390107.0,579110.0,48.45
Conn.,Connecticut,88734.0,130672.0,47.26
Mo.,Missouri,429638.0,630047.0,46.65
Idaho,Illinois,378928.0,550266.0,45.22
Wash.,Washington,389493.0,565262.0,45.13
Okla.,Oklahoma,276947.0,399684.0,44.32
N.D.,North Dakota,53464.0,77003.0,44.03
W.Va.,West Virginia,149522.0,211415.0,41.39
S.D.,South Dakota,73878.0,103099.0,39.55
N.M.,New Mexico,134559.0,184678.0,37.25
Alaska,Alaska,69293.0,91913.0,32.64
Hawaii,Hawaii,0.0,0.0,
