state,ap,name,mail_ballots_returned,mail_ballots_counted,mail_ballots_rejected,mail_rejected_sig_pct,mail_rejected_sig_pct_all
CO,Colo.,Colorado,2449409.0,2430239.0,19170.0,67.95513823682839,0.5318425791690975
ND,N.D.,North Dakota,96125.0,95562.0,554.0,60.28880866425993,0.34746423927178155
WA,Wash.,Washington,3112157.0,3064219.0,32327.0,53.29291304482321,0.5535710441343415
RI,R.I.,Rhode Island,27193.0,26418.0,775.0,43.096774193548384,1.2282572720920826
UT,Utah,Utah,973915.0,965147.0,8768.0,36.66742700729927,0.33011094397355006
OR,Ore.,Oregon,1907342.0,7043.0,176.0,35.22727272727273,0.003250596903963736
HI,Hawaii,Hawaii,224404.0,195149.0,1638.0,35.22588522588523,0.257125541434199
MT,Mont.,Montana,367561.0,366188.0,1373.0,28.404952658412235,0.10610483702024968
TX,Texas,Texas,533566.0,527787.0,9377.0,19.974405460168498,0.35103436125990034
AZ,Ariz.,Arizona,1899240.0,1874489.0,8567.0,17.695809501575816,0.07982140224510857
FL,Fla.,Florida,2604544.0,2585374.0,30540.0,16.63719711853307,0.19508213337920188
NJ,N.J.,New Jersey,406325.0,392931.0,11694.0,16.358816487087395,0.47080538977419556
DC,D.C.,District of Columbia,9351.0,9019.0,332.0,13.253012048192772,0.4705379103839161
CA,Calif.,California,8286228.0,8289322.0,161660.0,9.969070889521218,0.19449138980969388
ID,Idaho,Idaho,76197.0,72872.0,1188.0,6.565656565656567,0.10236623489113744
MN,Minn.,Minnesota,640707.0,632868.0,7479.0,6.083701029549405,0.0710153002854659
NV,Nev.,Nevada,86633.0,84396.0,1772.0,6.038374717832957,0.12350951715858853
IN,Ind.,Indiana,762511.0,750339.0,3419.0,5.674173735010237,0.025442255914996638
MI,Mich.,Michigan,1061835.0,1055822.0,6013.0,4.989190088142358,0.028252977157467968
KS,Kan.,Kansas,172743.0,170641.0,1879.0,4.843001596593933,0.05267941392704769
SD,S.D.,South Dakota,87311.0,32056.0,300.0,4.0,0.013743972695307577
NE,Neb.,Nebraska,168844.0,167332.0,1512.0,3.505291005291005,0.03138992205823127
TN,Tenn.,Tennessee,39712.0,38855.0,855.0,3.3918128654970756,0.07302578565672845
KY,Ky.,Kentucky,25837.0,23971.0,1756.0,2.619589977220957,0.1780392460424972
OH,Ohio,Ohio,941447.0,929985.0,11462.0,1.9630082010120398,0.02389938042184
WV,W.Va.,West Virginia,10342.0,10238.0,104.0,1.9230769230769231,0.019338619222587505
AR,Ark.,Arkansas,15208.0,11611.0,1150.0,1.8260869565217392,0.13808521830615464
WY,Wyo.,Wyoming,61806.0,61546.0,250.0,1.6,0.006471863573115878
ME,Maine,Maine,185675.0,183556.0,2119.0,0.7550731477111845,0.008617207486199003
LA,La.,Louisiana,43959.0,41363.0,2596.0,0.6548536209553159,0.038672399281148344
NC,N.C.,North Carolina,95546.0,89711.0,5835.0,0.5655526992287918,0.0345383375546857
NY,N.Y.,New York,249002.0,226151.0,34095.0,0.5132717407244464,0.07028055999550205
NH,N.H.,New Hampshire,44615.0,43416.0,1199.0,0.08340283569641367,0.002241398632746834
PA,Pa.,Pennsylvania,195953.0,186664.0,8714.0,0.0,0.0
SC,S.C.,South Carolina,72806.0,70558.0,2248.0,0.0,0.0
VT,Vt.,Vermont,26623.0,25936.0,722.0,0.0,0.0
VA,Va.,Virginia,97031.0,94974.0,2057.0,0.0,0.0
WI,Wis.,Wisconsin,150114.0,147597.0,2517.0,0.0,0.0
AL,Ala.,Alabama,57832.0,54833.0,1368.0,0.0,0.0
OK,Okla.,Oklahoma,69771.0,66160.0,3136.0,0.0,0.0
NM,N.M.,New Mexico,440138.0,448987.0,240.0,0.0,0.0
AK,Alaska,Alaska,24425.0,23667.0,758.0,0.0,0.0
MS,Miss.,Mississippi,64060.0,17979.0,482.0,0.0,0.0
MA,Mass.,Massachusetts,89437.0,84280.0,5157.0,0.0,0.0
MD,Md.,Maryland,113702.0,111696.0,1997.0,0.0,0.0
IA,Iowa,Iowa,325098.0,310563.0,5098.0,0.0,0.0
IL,Ill.,Illinois,441545.0,429874.0,9056.0,0.0,0.0
GA,Ga.,Georgia,242661.0,218858.0,7512.0,0.0,0.0
DE,Del.,Delaware,14142.0,13436.0,706.0,0.0,0.0
CT,Conn.,Connecticut,91602.0,89877.0,1725.0,0.0,0.0
MO,Mo.,Missouri,215879.0,211178.0,4700.0,0.0,0.0
