state,mail_returned,mail_rejected,rejected_pct
Georgia,1322843.0,2689.0,0.2
Iowa,757879.0,1468.0,0.19
Michigan,2569678.0,1856.0,0.07
Nevada,537120.0,4206.0,0.78
North Carolina,969691.0,7955.0,0.82
Pennsylvania,1691139.0,1009.0,0.06
Florida*,4737540.0,3046.0,0.06
