name,ap,state,active_voters,mail_ballots_sent,mail_ballots_returned,mail_ballots_counted,non_match_sig,mail_ballots_rejected,total_votes_cast,mail_rejected_rate,mail_pct_all_votes,mail_rejected_sig_pct,mail_rejected_sig_pct_all
New York,N.Y.,NY,11676266.0,341270.0,249002.0,226151.0,175.0,34095.0,6230976.0,13.692661103123669,3.629463506198708,0.5132717407244464,0.07028055999550205
Arkansas,Ark.,AR,1456887.0,17120.0,15208.0,11611.0,21.0,1150.0,814887.0,7.561809573908469,1.4248601339817668,1.8260869565217392,0.13808521830615464
Kentucky,Ky.,KY,3402905.0,29244.0,25837.0,23971.0,46.0,1756.0,1617840.0,6.796454696752718,1.4816669139099046,2.619589977220957,0.1780392460424972
North Carolina,N.C.,NC,5898244.0,126142.0,95546.0,89711.0,33.0,5835.0,3754895.0,6.107006049442154,2.389174664005252,0.5655526992287918,0.0345383375546857
Louisiana,La.,LA,2856722.0,65442.0,43959.0,41363.0,17.0,2596.0,1519552.0,5.9055028549330055,2.7220522890957337,0.6548536209553159,0.038672399281148344
Massachusetts,Mass.,MA,3947897.0,105454.0,89437.0,84280.0,0.0,5157.0,2752665.0,5.766069971041068,3.0617601488012527,0.0,0.0
Delaware,Del.,DE,672632.0,17392.0,14142.0,13436.0,0.0,706.0,366550.0,4.99222175081318,3.6655299413449733,0.0,0.0
Oklahoma,Okla.,OK,1857700.0,94598.0,69771.0,66160.0,0.0,3136.0,1190767.0,4.494704103424059,5.5560827601033616,0.0,0.0
Pennsylvania,Pa.,PA,7738989.0,216575.0,195953.0,186664.0,0.0,8714.0,5058288.0,4.446984736135706,3.6902604201263354,0.0,0.0
District of Columbia,D.C.,DC,511633.0,12400.0,9351.0,9019.0,44.0,332.0,231700.0,3.5504224147150034,3.892533448424687,13.253012048192772,0.4705379103839161
Alaska,Alaska,AK,571851.0,29257.0,24425.0,23667.0,0.0,758.0,285009.0,3.103377686796315,8.303948296369589,0.0,0.0
Georgia,Ga.,GA,6437524.0,281490.0,242661.0,218858.0,0.0,7512.0,3939500.0,3.0956766847577484,5.555476583322757,0.0,0.0
South Carolina,S.C.,SC,3538580.0,80271.0,72806.0,70558.0,0.0,2248.0,1726929.0,3.087657610636486,4.085749906336624,0.0,0.0
New Jersey,N.J.,NJ,5456506.0,563106.0,406325.0,392931.0,1913.0,11694.0,3248642.0,2.8779917553682397,12.095238564298558,16.358816487087395,0.47080538977419556
Rhode Island,R.I.,RI,737419.0,31677.0,27193.0,26418.0,334.0,775.0,381125.0,2.849998161291509,6.931584125942932,43.096774193548384,1.2282572720920826
Vermont,Vt.,VT,447709.0,28317.0,26623.0,25936.0,0.0,722.0,278811.0,2.7119408030650187,9.302358945665702,0.0,0.0
New Hampshire,N.H.,NH,988148.0,46831.0,44615.0,43416.0,1.0,1199.0,581551.0,2.687436960663454,7.465553322064617,0.08340283569641367,0.002241398632746834
Alabama,Ala.,AL,3164301.0,63291.0,57832.0,54833.0,0.0,1368.0,1726638.0,2.3654724028219674,3.1757090947841995,0.0,0.0
Missouri,Mo.,MO,3803881.0,227927.0,215879.0,211178.0,0.0,4700.0,2553274.0,2.177145530598159,8.270871046350685,0.0,0.0
Tennessee,Tenn.,TN,3764513.0,43561.0,39712.0,38855.0,29.0,855.0,2270080.0,2.1530016116035453,1.7116136876233436,3.3918128654970756,0.07302578565672845
Virginia,Va.,VA,5272602.0,102570.0,97031.0,94974.0,0.0,2057.0,3369314.0,2.1199410497676,2.81879338049229,0.0,0.0
Illinois,Ill.,IL,8091045.0,523372.0,441545.0,429874.0,0.0,9056.0,4764470.0,2.050980081305416,9.022493582706996,0.0,0.0
Nevada,Nev.,NV,1563750.0,103810.0,86633.0,84396.0,107.0,1772.0,976530.0,2.0454099477104566,8.642438020337318,6.038374717832957,0.12350951715858853
California,Calif.,CA,19724297.0,13687191.0,8286228.0,8289322.0,16116.0,161660.0,12605048.0,1.9509480067408234,65.7619233183404,9.969070889521218,0.19449138980969388
Connecticut,Conn.,CT,2193586.0,96559.0,91602.0,89877.0,0.0,1725.0,1421650.0,1.8831466561865462,6.3220201878099385,0.0,0.0
Texas,Texas,TX,13790247.0,621386.0,533566.0,527787.0,1873.0,9377.0,8301493.0,1.7574208251650218,6.357735891604078,19.974405460168498,0.35103436125990034
Maryland,Md.,MD,3954027.0,146208.0,113702.0,111696.0,0.0,1997.0,2335128.0,1.7563455348190884,4.783292393393424,0.0,0.0
Wisconsin,Wis.,WI,3442004.0,168788.0,150114.0,147597.0,0.0,2517.0,2688341.0,1.6767256884767576,5.490263325969436,0.0,0.0
Iowa,Iowa,IA,2037516.0,358659.0,325098.0,310563.0,0.0,5098.0,1334279.0,1.5681425293296174,23.27571669793199,0.0,0.0
Idaho,Idaho,ID,917609.0,81172.0,76197.0,72872.0,78.0,1188.0,612536.0,1.5591165006496317,11.896770149019813,6.565656565656567,0.10236623489113744
Ohio,Ohio,OH,8070917.0,1030261.0,941447.0,929985.0,225.0,11462.0,4520650.0,1.2174875484228,20.57193102761771,1.9630082010120398,0.02389938042184
Florida,Fla.,FL,13278070.0,3499503.0,2604544.0,2585374.0,5081.0,30540.0,8316428.0,1.1725660998623944,31.087553454439814,16.63719711853307,0.19508213337920188
Minnesota,Minn.,MN,3422515.0,722326.0,640707.0,632868.0,455.0,7479.0,2618245.0,1.1673042435934053,24.171458362376324,6.083701029549405,0.0710153002854659
Maine,Maine,ME,1054068.0,193470.0,185675.0,183556.0,16.0,2119.0,646083.0,1.1412414164534805,28.41059120886945,0.7550731477111845,0.008617207486199003
Kansas,Kan.,KS,1670217.0,191602.0,172743.0,170641.0,91.0,1879.0,1072531.0,1.087743063394754,15.910122877567176,4.843001596593933,0.05267941392704769
Washington,Wash.,WA,4362480.0,4460649.0,3112157.0,3064219.0,17228.0,32327.0,3171933.0,1.0387329431002357,96.60415273588691,53.29291304482321,0.5535710441343415
West Virginia,W.Va.,WV,961894.0,12063.0,10342.0,10238.0,2.0,104.0,597149.0,1.0056081995745503,1.714479970660589,1.9230769230769231,0.019338619222587505
Utah,Utah,UT,1433917.0,1469654.0,973915.0,965147.0,3215.0,8768.0,1082972.0,0.9002839056796539,89.12021732787181,36.66742700729927,0.33011094397355006
Nebraska,Neb.,NE,1096862.0,186204.0,168844.0,167332.0,53.0,1512.0,708924.0,0.8955011726801071,23.603658502180767,3.505291005291005,0.03138992205823127
Colorado,Colo.,CO,3426499.0,3467664.0,2449409.0,2430239.0,13027.0,19170.0,2586429.0,0.7826377709888385,93.96117194788644,67.95513823682839,0.5318425791690975
Mississippi,Miss.,MS,1880197.0,69904.0,64060.0,17979.0,0.0,482.0,948122.0,0.7524196066187949,1.8962749519576594,0.0,0.0
Hawaii,Hawaii,HI,712765.0,286229.0,224404.0,195149.0,577.0,1638.0,398569.0,0.7299335127716083,48.96241303262421,35.22588522588523,0.257125541434199
North Dakota,N.D.,ND,0.0,101568.0,96125.0,95562.0,334.0,554.0,330472.0,0.576332899869961,28.916822000048413,60.28880866425993,0.34746423927178155
Michigan,Mich.,MI,6488823.0,1123415.0,1061835.0,1055822.0,300.0,6013.0,4341340.0,0.5662838388261829,24.320186854749917,4.989190088142358,0.028252977157467968
Arizona,Ariz.,AZ,3715624.0,2672384.0,1899240.0,1874489.0,1516.0,8567.0,2409906.0,0.45107516690886884,77.78266040252191,17.695809501575816,0.07982140224510857
Indiana,Ind.,IN,4168374.0,766722.0,762511.0,750339.0,194.0,3419.0,2305161.0,0.4483869740895541,32.5503945277575,5.674173735010237,0.025442255914996638
Wyoming,Wyo.,WY,283941.0,63728.0,61806.0,61546.0,4.0,250.0,205275.0,0.4044914733197424,29.982218974546342,1.6,0.006471863573115878
Montana,Mont.,MT,616642.0,442425.0,367561.0,366188.0,390.0,1373.0,507281.0,0.3735434390482124,72.18642133255533,28.404952658412235,0.10610483702024968
South Dakota,S.D.,SD,539788.0,89616.0,87311.0,32056.0,12.0,300.0,341351.0,0.34359931738268945,9.390920196513267,4.0,0.013743972695307577
New Mexico,N.M.,NM,698172.0,448987.0,440138.0,448987.0,0.0,240.0,698506.0,0.05452835247127038,64.27818801842791,0.0,0.0
Oregon,Ore.,OR,2748232.0,2860072.0,1907342.0,7043.0,62.0,176.0,1914923.0,0.00922750088867125,0.3677954674939932,35.22727272727273,0.003250596903963736
