name,club,position,height_cm,foot,age,rating,position_second,height_inches
Robert Lewandowski,Barcelona,F(C),184,Right,34,97,,72.44
Lionel Messi,Paris Saint-Germain,AM,170,Left,35,97,F(RC),66.93
Júnior Neymar,Paris Saint-Germain,AM,174,Both,30,96,F(LC),68.5
Kevin de Bruyne,Manchester City,M,181,Right,31,96,"AM,F(C)",71.26
Mohamed Salah,Liverpool,AM(R),175,Left,30,96,F(RC),68.9
Kylian Mbappé,Paris Saint-Germain,AM(RL),178,Right,23,96,F(RLC),70.08
Karim Benzema,Real Madrid,F(C),187,Both,34,96,,73.62
Virgil van Dijk,Liverpool,D(C),193,Right,31,96,,75.98
Heung-Min Son,Tottenham Hotspur,AM,183,Both,30,95,F(RLC),72.05
Manuel Neuer,Bayern München,Gk,193,Both,36,95,,75.98
Joshua Kimmich,Bayern München,D(R),176,Right,27,95,"DM,M(RC)",69.29
Harry Kane,Tottenham Hotspur,AM,188,Right,29,95,F(C),74.02
Erling Haaland,Manchester City,F(C),194,Left,22,95,,76.38
Cristiano Ronaldo,Manchester United,AM(L),187,Both,37,95,F(LC),73.62
Alisson Becker,Liverpool,Gk,192,Right,30,95,,75.59
Carlos Casemiro,Manchester United,DM,184,Right,30,94,M(C),72.44
Marco Verratti,Paris Saint-Germain,DM,165,Right,30,94,M(C),64.96
Trent Alexander-Arnold,Liverpool,D,175,Right,24,94,"DM,M(R)",68.9
Corrêa Marquinhos,Paris Saint-Germain,D,183,Right,28,94,DM(C),72.05
David Alaba,Real Madrid,D,180,Left,30,94,"DM,M(LC)",70.87
Thomas Müller,Bayern München,AM,186,Right,33,94,F(RC),73.23
Raheem Sterling,Chelsea,AM(RL),170,Right,27,94,F(RLC),66.93
Ederson Moraes,Manchester City,Gk,188,Left,29,94,,74.02
Bernardo Silva,Manchester City,M(C),173,Left,28,94,"AM,F(RC)",68.11
Bruno Fernandes,Manchester United,M,179,Right,28,94,AM(C),70.47
Thibaut Courtois,Real Madrid,Gk,200,Left,30,94,,78.74
João Cancelo,Manchester City,D,182,Right,28,94,"DM,M(RL)",71.65
Luka Modrić,Real Madrid,DM,174,Both,37,94,"M,AM(C)",68.5
Sadio Mané,Bayern München,AM(RL),175,Right,30,94,F(RLC),68.9
Thiago Alcantara,Liverpool,DM,174,Right,31,94,M(C),68.5
Jan Oblak,Atlético Madrid,Gk,189,Right,29,94,,74.41
N'golo Kanté,Chelsea,DM,169,Right,31,94,M(C),66.54
Toni Kroos,Real Madrid,DM,182,Both,32,94,M(C),71.65
Paulo Dybala,AS Roma,AM,177,Left,29,93,F(RC),69.69
Kalidou Koulibaly,Chelsea,D(C),186,Right,31,93,,73.23
Jorge Koke,Atlético Madrid,DM,178,Right,30,93,"AM(C),M(RLC)",70.08
Serge Gnabry,Bayern München,AM,173,Right,27,93,F(RLC),68.11
Romelu Lukaku,Chelsea,F(C),191,Left,29,93,,75.2
Vinícius Júnior,Real Madrid,AM(L),176,Right,22,93,F(LC),69.29
Frenkie de Jong,Barcelona,D,181,Right,25,93,"DM,M(C)",71.26
Ilkay Gündoğan,Manchester City,DM,180,Both,32,93,"M,AM(C)",70.87
