date,club,views
2021-03-02,Burnley,1518
2021-03-03,Burnley,2754
2021-03-04,Burnley,1633
2021-03-05,Burnley,1467
2021-03-06,Burnley,5871
2021-03-07,Burnley,2040
2021-03-08,Burnley,1557
2021-03-09,Burnley,1394
2021-03-01,Burnley,1197
2021-03-11,Burnley,1177
2021-03-12,Burnley,1397
2021-03-13,Burnley,4665
2021-03-14,Burnley,2974
2021-03-15,Burnley,1788
2021-03-16,Burnley,1339
2021-03-17,Burnley,1170
2021-03-18,Burnley,1269
2021-03-19,Burnley,1118
2021-03-02,Burnley,1226
2021-03-21,Burnley,1210
2021-03-22,Burnley,1236
2021-03-23,Burnley,1137
2021-03-24,Burnley,1128
2021-03-25,Burnley,1229
2021-03-26,Burnley,994
2021-03-27,Burnley,1054
2021-03-28,Burnley,1223
2021-03-29,Burnley,1137
2021-03-03,Burnley,1019
2021-03-31,Burnley,1265
2021-04-01,Burnley,1278
2021-04-02,Burnley,1183
2021-04-03,Burnley,1214
2021-04-04,Burnley,2845
2021-04-05,Burnley,1439
2021-04-06,Burnley,1183
2021-04-07,Burnley,1025
2021-04-08,Burnley,942
2021-04-09,Burnley,1059
2021-04-01,Burnley,1670
2021-04-11,Burnley,4238
2021-04-12,Burnley,1717
2021-04-13,Burnley,1316
2021-04-14,Burnley,982
2021-04-15,Burnley,1755
2021-04-16,Burnley,1226
2021-04-17,Burnley,1599
2021-04-18,Burnley,7607
2021-04-19,Burnley,3225
2021-04-02,Burnley,2875
2021-04-21,Burnley,2174
2021-04-22,Burnley,1667
2021-04-23,Burnley,1484
2021-04-24,Burnley,1746
2021-04-25,Burnley,7564
2021-04-26,Burnley,2738
2021-04-27,Burnley,1797
2021-04-28,Burnley,1541
2021-04-29,Burnley,1304
2021-04-03,Burnley,1377
2021-05-01,Burnley,1509
2021-05-02,Burnley,1452
2021-05-03,Burnley,3732
2021-05-04,Burnley,1787
2021-05-05,Burnley,1240
2021-05-06,Burnley,1312
2021-05-07,Burnley,1369
2021-05-08,Burnley,1646
2021-05-09,Burnley,1621
2021-05-01,Burnley,5573
2021-05-11,Burnley,3515
2021-05-12,Burnley,2020
2021-05-13,Burnley,1841
2021-05-14,Burnley,1598
2021-05-15,Burnley,4831
2021-05-16,Burnley,2052
2021-05-17,Burnley,2102
2021-05-18,Burnley,33405
2021-05-19,Burnley,11910
2021-05-02,Burnley,4727
2021-05-21,Burnley,2979
2021-05-22,Burnley,1753
2021-05-23,Burnley,2392
2021-05-24,Burnley,2011
2021-05-25,Burnley,1744
2021-05-26,Burnley,1609
2021-05-27,Burnley,1654
2021-05-28,Burnley,1491
2021-05-29,Burnley,1867
2021-05-03,Burnley,1869
2021-05-31,Burnley,1810
2021-06-01,Burnley,1589
2021-06-02,Burnley,1490
2021-06-03,Burnley,1453
2021-06-04,Burnley,1758
2021-06-05,Burnley,1118
2020-09-12,Chelsea,21667
2020-09-13,Chelsea,17690
2020-09-14,Chelsea,31052
2020-09-15,Chelsea,21322
2020-09-16,Chelsea,13041
2020-09-17,Chelsea,13188
2020-09-18,Chelsea,13554
2020-09-19,Chelsea,15388
2020-09-02,Chelsea,27539
2020-09-21,Chelsea,17131
2020-09-22,Chelsea,14125
2020-09-23,Chelsea,16906
2020-09-24,Chelsea,28285
2020-09-25,Chelsea,17431
2020-09-26,Chelsea,27152
2020-09-27,Chelsea,15946
2020-09-28,Chelsea,12312
2020-09-29,Chelsea,18737
2020-09-03,Chelsea,16838
2020-10-01,Chelsea,12469
2020-10-02,Chelsea,10538
2020-10-03,Chelsea,19399
2020-10-04,Chelsea,14936
2020-10-05,Chelsea,16819
2020-10-06,Chelsea,20377
2020-10-07,Chelsea,13290
2020-10-08,Chelsea,10209
2020-10-09,Chelsea,9255
2020-10-01,Chelsea,8632
2020-10-11,Chelsea,8790
2020-10-12,Chelsea,8309
2020-10-13,Chelsea,7975
2020-10-14,Chelsea,7467
2020-10-15,Chelsea,7555
2020-10-16,Chelsea,8490
2020-10-17,Chelsea,15545
2020-10-18,Chelsea,10445
2020-10-19,Chelsea,9263
2020-10-02,Chelsea,18633
2020-10-21,Chelsea,18575
2020-10-22,Chelsea,10901
2020-10-23,Chelsea,9653
2020-10-24,Chelsea,18242
2020-10-25,Chelsea,10612
2020-10-26,Chelsea,7980
2020-10-27,Chelsea,8096
2020-10-28,Chelsea,12751
2020-10-29,Chelsea,10238
2020-10-03,Chelsea,8448
2020-10-31,Chelsea,13197
2020-11-01,Chelsea,10317
2020-11-02,Chelsea,8575
2020-11-03,Chelsea,8421
2020-11-04,Chelsea,10290
2020-11-05,Chelsea,10034
2020-11-06,Chelsea,7247
2020-11-07,Chelsea,13796
2020-11-08,Chelsea,12050
2020-11-09,Chelsea,8403
2020-11-01,Chelsea,7311
2020-11-11,Chelsea,6905
2020-11-12,Chelsea,6882
2020-11-13,Chelsea,6198
2020-11-14,Chelsea,6634
2020-11-15,Chelsea,6988
2020-11-16,Chelsea,6696
2020-11-17,Chelsea,6516
2020-11-18,Chelsea,7011
2020-11-19,Chelsea,6455
2020-11-02,Chelsea,6296
2020-11-21,Chelsea,12830
2020-11-22,Chelsea,10123
2020-11-23,Chelsea,8316
2020-11-24,Chelsea,11448
2020-11-25,Chelsea,9034
2020-11-26,Chelsea,7342
2020-11-27,Chelsea,7190
2020-11-28,Chelsea,9562
2020-11-29,Chelsea,18141
2020-11-03,Chelsea,9249
2020-12-01,Chelsea,7954
2020-12-02,Chelsea,10181
2020-12-03,Chelsea,11485
2020-12-04,Chelsea,8095
2020-12-05,Chelsea,14311
2020-12-06,Chelsea,14060
2020-12-07,Chelsea,9832
2020-12-08,Chelsea,10981
2020-12-09,Chelsea,9422
2020-12-01,Chelsea,8270
2020-12-11,Chelsea,7129
2020-12-12,Chelsea,11178
2020-12-13,Chelsea,8955
2020-12-14,Chelsea,9056
2020-12-15,Chelsea,12379
2020-12-16,Chelsea,8936
2020-12-17,Chelsea,6712
2020-12-18,Chelsea,6197
2020-12-19,Chelsea,6927
2020-12-02,Chelsea,7588
2020-12-21,Chelsea,11009
2020-12-22,Chelsea,9814
2020-12-23,Chelsea,7579
2020-12-24,Chelsea,6331
2020-12-25,Chelsea,6140
2020-12-26,Chelsea,15129
2020-12-27,Chelsea,9917
2020-12-28,Chelsea,13370
2020-12-29,Chelsea,9265
2020-12-03,Chelsea,7120
2020-12-31,Chelsea,6149
2021-01-01,Chelsea,6826
2021-01-02,Chelsea,7756
2021-01-03,Chelsea,17580
2021-01-04,Chelsea,11908
2021-01-05,Chelsea,8881
2021-01-06,Chelsea,7560
2021-01-07,Chelsea,6751
2021-01-08,Chelsea,6605
2021-01-09,Chelsea,7096
2021-01-01,Chelsea,9033
2021-01-11,Chelsea,6675
2021-01-12,Chelsea,7010
2021-01-13,Chelsea,7475
2021-01-14,Chelsea,7987
2021-01-15,Chelsea,7412
2021-01-16,Chelsea,11020
2021-01-17,Chelsea,9874
2021-01-18,Chelsea,7896
2021-01-19,Chelsea,11938
2021-01-02,Chelsea,10969
2021-01-21,Chelsea,7801
2021-01-22,Chelsea,8262
2021-01-23,Chelsea,8771
2021-01-24,Chelsea,13048
2021-01-25,Chelsea,51710
2021-01-26,Chelsea,39756
2021-01-27,Chelsea,31717
2021-01-28,Chelsea,15653
2021-01-29,Chelsea,10638
2021-01-03,Chelsea,11473
2021-01-31,Chelsea,17404
2021-02-01,Chelsea,11015
2021-02-02,Chelsea,10510
2021-02-03,Chelsea,9970
2021-02-04,Chelsea,16202
2021-02-05,Chelsea,11030
2021-02-06,Chelsea,9665
2021-02-07,Chelsea,13451
2021-02-08,Chelsea,9754
2021-02-09,Chelsea,8703
2021-02-01,Chelsea,8479
2021-02-11,Chelsea,11670
2021-02-12,Chelsea,7918
2021-02-13,Chelsea,8488
2021-02-14,Chelsea,7834
2021-02-15,Chelsea,12531
2021-02-16,Chelsea,10725
2021-02-17,Chelsea,8269
2021-02-18,Chelsea,7809
2021-02-19,Chelsea,7237
2021-02-02,Chelsea,12508
2021-02-21,Chelsea,9181
2021-02-22,Chelsea,8158
2021-02-23,Chelsea,16436
2021-02-24,Chelsea,13945
2021-02-25,Chelsea,9046
2021-02-26,Chelsea,8319
2021-02-27,Chelsea,8799
2021-02-28,Chelsea,18287
2021-03-01,Chelsea,9622
2021-03-02,Chelsea,8806
2021-03-03,Chelsea,8665
2021-03-04,Chelsea,15534
2021-03-05,Chelsea,12964
2021-03-06,Chelsea,9592
2021-03-07,Chelsea,10418
2021-03-08,Chelsea,14632
2021-03-09,Chelsea,12368
2021-03-01,Chelsea,13649
2021-03-11,Chelsea,10105
2021-03-12,Chelsea,8911
2021-03-13,Chelsea,12043
2021-03-14,Chelsea,9084
2021-03-15,Chelsea,8116
2021-03-16,Chelsea,8183
2021-03-17,Chelsea,20603
2021-03-18,Chelsea,17504
2021-03-19,Chelsea,13556
2021-03-02,Chelsea,11084
2021-03-21,Chelsea,16423
2021-03-22,Chelsea,9654
2021-03-23,Chelsea,8165
2021-03-24,Chelsea,8019
2021-03-25,Chelsea,8227
2021-03-26,Chelsea,7210
2021-03-27,Chelsea,6984
2021-03-28,Chelsea,7187
2021-03-29,Chelsea,6907
2021-03-03,Chelsea,6873
2021-03-31,Chelsea,7144
2021-04-01,Chelsea,6672
2021-04-02,Chelsea,7466
2021-04-03,Chelsea,12898
2021-04-04,Chelsea,8406
2021-04-05,Chelsea,7929
2021-04-06,Chelsea,8682
2021-04-07,Chelsea,15600
2021-04-08,Chelsea,12892
2021-04-09,Chelsea,8062
2021-04-01,Chelsea,13926
2021-04-11,Chelsea,10880
2021-04-12,Chelsea,9082
2021-04-13,Chelsea,16400
2021-04-14,Chelsea,18152
2021-04-15,Chelsea,15411
2021-04-16,Chelsea,11039
2021-04-17,Chelsea,22604
2021-04-18,Chelsea,18650
2021-04-19,Chelsea,25899
2021-04-02,Chelsea,30758
2021-04-21,Chelsea,19339
2021-04-22,Chelsea,12113
2021-04-23,Chelsea,10729
2021-04-24,Chelsea,15627
2021-04-25,Chelsea,14121
2021-04-26,Chelsea,13137
2021-04-27,Chelsea,30503
2021-04-28,Chelsea,20548
2021-04-29,Chelsea,13743
2021-04-03,Chelsea,10500
2021-05-01,Chelsea,16091
2021-05-02,Chelsea,13575
2021-05-03,Chelsea,11563
2021-05-04,Chelsea,16552
2021-05-05,Chelsea,74804
2021-05-06,Chelsea,63171
2021-05-07,Chelsea,25611
2021-05-08,Chelsea,30888
2021-05-09,Chelsea,25403
2021-05-01,Chelsea,17458
2021-05-11,Chelsea,18613
2021-05-12,Chelsea,20830
2021-05-13,Chelsea,15199
2021-05-14,Chelsea,13362
2021-05-15,Chelsea,32098
2021-05-16,Chelsea,17377
2021-05-17,Chelsea,13278
2021-05-18,Chelsea,18785
2021-05-19,Chelsea,16844
2021-05-02,Chelsea,12552
2021-05-21,Chelsea,11299
2021-05-22,Chelsea,10993
2021-05-23,Chelsea,17697
2021-05-24,Chelsea,15361
2021-05-25,Chelsea,13061
2021-05-26,Chelsea,16315
2021-05-27,Chelsea,16730
2021-05-28,Chelsea,18024
2021-05-29,Chelsea,206255
2021-05-03,Chelsea,183344
2021-05-31,Chelsea,67383
2021-06-01,Chelsea,41760
2021-06-02,Chelsea,29649
2021-06-03,Chelsea,22536
2021-06-04,Chelsea,21632
2021-06-05,Chelsea,17955
2020-09-12,Crystal Palace,12132
2020-09-13,Crystal Palace,4818
2020-09-14,Crystal Palace,3978
2020-09-15,Crystal Palace,3832
2020-09-16,Crystal Palace,3004
2020-09-17,Crystal Palace,2742
2020-09-18,Crystal Palace,3016
2020-09-19,Crystal Palace,14117
2020-09-02,Crystal Palace,7295
2020-09-21,Crystal Palace,4326
2020-09-22,Crystal Palace,3491
2020-09-23,Crystal Palace,3198
2020-09-24,Crystal Palace,2678
2020-09-25,Crystal Palace,2731
2020-09-26,Crystal Palace,9142
2020-09-27,Crystal Palace,3257
2020-09-28,Crystal Palace,2596
2020-09-29,Crystal Palace,2307
2020-09-03,Crystal Palace,2231
2020-10-01,Crystal Palace,2078
2020-10-02,Crystal Palace,2372
2020-10-03,Crystal Palace,7232
2020-10-04,Crystal Palace,3082
2020-10-05,Crystal Palace,2872
2020-10-06,Crystal Palace,3280
2020-10-07,Crystal Palace,2512
2020-10-08,Crystal Palace,2559
2020-10-09,Crystal Palace,2077
2020-10-01,Crystal Palace,1852
2020-10-11,Crystal Palace,2163
2020-10-12,Crystal Palace,2002
2020-10-13,Crystal Palace,2006
2020-10-14,Crystal Palace,3075
2020-10-15,Crystal Palace,2882
2020-10-16,Crystal Palace,3981
2020-10-17,Crystal Palace,5098
2020-10-18,Crystal Palace,8108
2020-10-19,Crystal Palace,3490
2020-10-02,Crystal Palace,2674
2020-10-21,Crystal Palace,2439
2020-10-22,Crystal Palace,2071
2020-10-23,Crystal Palace,2208
2020-10-24,Crystal Palace,5556
2020-10-25,Crystal Palace,3481
2020-10-26,Crystal Palace,2280
2020-10-27,Crystal Palace,2009
2020-10-28,Crystal Palace,1846
2020-10-29,Crystal Palace,1908
2020-10-03,Crystal Palace,3938
2020-10-31,Crystal Palace,2300
2020-11-01,Crystal Palace,1924
2020-11-02,Crystal Palace,1866
2020-11-03,Crystal Palace,1750
2020-11-04,Crystal Palace,1390
2020-11-05,Crystal Palace,1989
2020-11-06,Crystal Palace,1598
2020-11-07,Crystal Palace,6214
2020-11-08,Crystal Palace,3204
2020-11-09,Crystal Palace,2193
2020-11-01,Crystal Palace,2032
2020-11-11,Crystal Palace,1930
2020-11-12,Crystal Palace,2057
2020-11-13,Crystal Palace,1567
2020-11-14,Crystal Palace,1567
2020-11-15,Crystal Palace,1829
2020-11-16,Crystal Palace,1708
2020-11-17,Crystal Palace,1518
2020-11-18,Crystal Palace,1667
2020-11-19,Crystal Palace,1394
2020-11-02,Crystal Palace,1383
2020-11-21,Crystal Palace,1858
2020-11-22,Crystal Palace,2086
2020-11-23,Crystal Palace,3801
2020-11-24,Crystal Palace,1853
2020-11-25,Crystal Palace,1451
2020-11-26,Crystal Palace,1572
2020-11-27,Crystal Palace,4086
2020-11-28,Crystal Palace,2380
2020-11-29,Crystal Palace,2011
2020-11-03,Crystal Palace,1817
2020-12-01,Crystal Palace,1576
2020-12-02,Crystal Palace,1440
2020-12-03,Crystal Palace,1496
2020-12-04,Crystal Palace,1337
2020-12-05,Crystal Palace,1913
2020-12-06,Crystal Palace,5335
2020-12-07,Crystal Palace,2534
2020-12-08,Crystal Palace,1981
2020-12-09,Crystal Palace,1716
2020-12-01,Crystal Palace,1563
2020-12-11,Crystal Palace,1565
2020-12-12,Crystal Palace,2091
2020-12-13,Crystal Palace,11098
2020-12-14,Crystal Palace,3180
2020-12-15,Crystal Palace,2099
2020-12-16,Crystal Palace,3684
2020-12-17,Crystal Palace,2501
2020-12-18,Crystal Palace,2068
2020-12-19,Crystal Palace,9642
2020-12-02,Crystal Palace,3679
2020-12-21,Crystal Palace,2680
2020-12-22,Crystal Palace,2096
2020-12-23,Crystal Palace,2181
2020-12-24,Crystal Palace,1607
2020-12-25,Crystal Palace,1685
2020-12-26,Crystal Palace,6652
2020-12-27,Crystal Palace,3412
2020-12-28,Crystal Palace,6211
2020-12-29,Crystal Palace,2746
2020-12-03,Crystal Palace,2214
2020-12-31,Crystal Palace,1760
2021-01-01,Crystal Palace,1965
2021-01-02,Crystal Palace,7333
2021-01-03,Crystal Palace,3226
2021-01-04,Crystal Palace,2524
2021-01-05,Crystal Palace,2473
2021-01-06,Crystal Palace,2158
2021-01-07,Crystal Palace,1788
2021-01-08,Crystal Palace,2625
2021-01-09,Crystal Palace,2463
2021-01-01,Crystal Palace,2314
2021-01-11,Crystal Palace,1915
2021-01-12,Crystal Palace,1970
2021-01-13,Crystal Palace,2032
2021-01-14,Crystal Palace,6134
2021-01-15,Crystal Palace,2712
2021-01-16,Crystal Palace,3014
2021-01-17,Crystal Palace,5284
2021-01-18,Crystal Palace,2339
2021-01-19,Crystal Palace,1883
2021-01-02,Crystal Palace,2074
2021-01-21,Crystal Palace,3189
2021-01-22,Crystal Palace,2258
2021-01-23,Crystal Palace,2953
2021-01-24,Crystal Palace,2092
2021-01-25,Crystal Palace,2450
2021-01-26,Crystal Palace,3718
2021-01-27,Crystal Palace,2574
2021-01-28,Crystal Palace,2467
2021-01-29,Crystal Palace,2000
2021-01-03,Crystal Palace,3427
2021-01-31,Crystal Palace,2776
2021-02-01,Crystal Palace,2929
2021-02-02,Crystal Palace,3809
2021-02-03,Crystal Palace,3354
2021-02-04,Crystal Palace,2922
2021-02-05,Crystal Palace,1935
2021-02-06,Crystal Palace,2355
2021-02-07,Crystal Palace,2390
2021-02-08,Crystal Palace,5490
2021-02-09,Crystal Palace,2616
2021-02-01,Crystal Palace,1921
2021-02-11,Crystal Palace,2095
2021-02-12,Crystal Palace,1783
2021-02-13,Crystal Palace,4582
2021-02-14,Crystal Palace,2456
2021-02-15,Crystal Palace,2069
2021-02-16,Crystal Palace,1951
2021-02-17,Crystal Palace,1951
2021-02-18,Crystal Palace,1708
2021-02-19,Crystal Palace,1935
2021-02-02,Crystal Palace,2233
2021-02-21,Crystal Palace,2231
2021-02-22,Crystal Palace,6218
2021-02-23,Crystal Palace,3600
2021-02-24,Crystal Palace,2336
2021-02-25,Crystal Palace,1964
2021-02-26,Crystal Palace,1725
2021-02-27,Crystal Palace,2212
2021-02-28,Crystal Palace,4798
2021-03-01,Crystal Palace,2424
2021-03-02,Crystal Palace,2206
2021-03-03,Crystal Palace,7098
2021-03-04,Crystal Palace,2861
2021-03-05,Crystal Palace,2147
2021-03-06,Crystal Palace,2292
2021-03-07,Crystal Palace,5937
2021-03-08,Crystal Palace,2613
2021-03-09,Crystal Palace,1969
2021-03-01,Crystal Palace,2000
2021-03-11,Crystal Palace,1896
2021-03-12,Crystal Palace,1826
2021-03-13,Crystal Palace,5276
2021-03-14,Crystal Palace,2922
2021-03-15,Crystal Palace,2319
2021-03-16,Crystal Palace,1950
2021-03-17,Crystal Palace,1854
2021-03-18,Crystal Palace,1717
2021-03-19,Crystal Palace,1731
2021-03-02,Crystal Palace,1797
2021-03-21,Crystal Palace,1877
2021-03-22,Crystal Palace,1819
2021-03-23,Crystal Palace,1922
2021-03-24,Crystal Palace,1954
2021-03-25,Crystal Palace,1884
2021-03-26,Crystal Palace,1572
2021-03-27,Crystal Palace,1685
2021-03-28,Crystal Palace,1764
2021-03-29,Crystal Palace,1643
2021-03-03,Crystal Palace,1515
2021-03-31,Crystal Palace,1868
2021-04-01,Crystal Palace,1672
2021-04-02,Crystal Palace,1670
2021-04-03,Crystal Palace,1906
2021-04-04,Crystal Palace,2104
2021-04-05,Crystal Palace,4425
2021-04-06,Crystal Palace,2068
2021-04-07,Crystal Palace,1765
2021-04-08,Crystal Palace,1683
2021-04-09,Crystal Palace,1769
2021-04-01,Crystal Palace,6986
2021-04-11,Crystal Palace,2964
2021-04-12,Crystal Palace,2118
2021-04-13,Crystal Palace,1991
2021-04-14,Crystal Palace,1638
2021-04-15,Crystal Palace,1753
2021-04-16,Crystal Palace,1732
2021-04-17,Crystal Palace,1854
2021-04-18,Crystal Palace,2056
2021-04-19,Crystal Palace,6214
2021-04-02,Crystal Palace,4468
2021-04-21,Crystal Palace,3771
2021-04-22,Crystal Palace,2515
2021-04-23,Crystal Palace,2315
2021-04-24,Crystal Palace,2516
2021-04-25,Crystal Palace,2646
2021-04-26,Crystal Palace,5122
2021-04-27,Crystal Palace,3378
2021-04-28,Crystal Palace,2231
2021-04-29,Crystal Palace,1898
2021-04-03,Crystal Palace,2030
2021-05-01,Crystal Palace,5163
2021-05-02,Crystal Palace,2646
2021-05-03,Crystal Palace,2342
2021-05-04,Crystal Palace,2014
2021-05-05,Crystal Palace,2133
2021-05-06,Crystal Palace,2277
2021-05-07,Crystal Palace,2555
2021-05-08,Crystal Palace,4823
2021-05-09,Crystal Palace,2854
2021-05-01,Crystal Palace,2818
2021-05-11,Crystal Palace,4596
2021-05-12,Crystal Palace,2883
2021-05-13,Crystal Palace,2791
2021-05-14,Crystal Palace,2600
2021-05-15,Crystal Palace,2924
2021-05-16,Crystal Palace,7275
2021-05-17,Crystal Palace,3872
2021-05-18,Crystal Palace,9185
2021-05-19,Crystal Palace,8565
2021-05-02,Crystal Palace,5490
2021-05-21,Crystal Palace,3401
2021-05-22,Crystal Palace,3074
2021-05-23,Crystal Palace,7717
2021-05-24,Crystal Palace,3897
2021-05-25,Crystal Palace,3551
2021-05-26,Crystal Palace,2924
2021-05-27,Crystal Palace,2416
2021-05-28,Crystal Palace,2219
2021-05-29,Crystal Palace,3395
2021-05-03,Crystal Palace,2906
2021-05-31,Crystal Palace,2617
2021-06-01,Crystal Palace,2910
2021-06-02,Crystal Palace,2978
2021-06-03,Crystal Palace,3007
2021-06-04,Crystal Palace,4034
2021-06-05,Crystal Palace,4489
2020-09-12,Everton,10072
2020-09-13,Everton,27771
2020-09-14,Everton,14874
2020-09-15,Everton,7864
2020-09-16,Everton,9868
2020-09-17,Everton,7014
2020-09-18,Everton,5777
2020-09-19,Everton,21603
2020-09-02,Everton,10998
2020-09-21,Everton,7509
2020-09-22,Everton,6434
2020-09-23,Everton,8853
2020-09-24,Everton,6859
2020-09-25,Everton,5090
2020-09-26,Everton,15716
2020-09-27,Everton,8784
2020-09-28,Everton,6493
2020-09-29,Everton,5683
2020-09-03,Everton,8901
2020-10-01,Everton,10132
2020-10-02,Everton,6588
2020-10-03,Everton,24016
2020-10-04,Everton,20006
2020-10-05,Everton,23259
2020-10-06,Everton,17028
2020-10-07,Everton,9940
2020-10-08,Everton,7660
2020-10-09,Everton,7483
2020-10-01,Everton,6558
2020-10-11,Everton,5975
2020-10-12,Everton,4914
2020-10-13,Everton,4898
2020-10-14,Everton,5477
2020-10-15,Everton,5146
2020-10-16,Everton,7752
2020-10-17,Everton,25942
2020-10-18,Everton,9391
2020-10-19,Everton,7082
2020-10-02,Everton,5674
2020-10-21,Everton,4777
2020-10-22,Everton,4241
2020-10-23,Everton,3947
2020-10-24,Everton,5368
2020-10-25,Everton,10381
2020-10-26,Everton,4358
2020-10-27,Everton,3603
2020-10-28,Everton,3563
2020-10-29,Everton,3246
2020-10-03,Everton,3003
2020-10-31,Everton,3445
2020-11-01,Everton,9549
2020-11-02,Everton,3875
2020-11-03,Everton,4212
2020-11-04,Everton,2368
2020-11-05,Everton,2917
2020-11-06,Everton,2996
2020-11-07,Everton,9205
2020-11-08,Everton,3780
2020-11-09,Everton,2754
2020-11-01,Everton,2455
2020-11-11,Everton,2395
2020-11-12,Everton,2584
2020-11-13,Everton,2231
2020-11-14,Everton,2241
2020-11-15,Everton,2527
2020-11-16,Everton,2130
2020-11-17,Everton,2126
2020-11-18,Everton,2221
2020-11-19,Everton,2220
2020-11-02,Everton,2230
2020-11-21,Everton,2627
2020-11-22,Everton,6340
2020-11-23,Everton,3346
2020-11-24,Everton,2523
2020-11-25,Everton,2394
2020-11-26,Everton,2475
2020-11-27,Everton,2699
2020-11-28,Everton,6730
2020-11-29,Everton,3435
2020-11-03,Everton,3128
2020-12-01,Everton,2461
2020-12-02,Everton,2223
2020-12-03,Everton,2154
2020-12-04,Everton,2214
2020-12-05,Everton,5061
2020-12-06,Everton,3242
2020-12-07,Everton,2585
2020-12-08,Everton,2253
2020-12-09,Everton,2309
2020-12-01,Everton,2483
2020-12-11,Everton,2543
2020-12-12,Everton,6194
2020-12-13,Everton,4045
2020-12-14,Everton,2985
2020-12-15,Everton,2657
2020-12-16,Everton,5668
2020-12-17,Everton,4340
2020-12-18,Everton,3078
2020-12-19,Everton,9396
2020-12-02,Everton,5647
2020-12-21,Everton,3694
2020-12-22,Everton,3639
2020-12-23,Everton,7216
2020-12-24,Everton,3376
2020-12-25,Everton,2583
2020-12-26,Everton,5863
2020-12-27,Everton,6916
2020-12-28,Everton,5248
2020-12-29,Everton,3804
2020-12-03,Everton,3393
2020-12-31,Everton,3104
2021-01-01,Everton,7124
2021-01-02,Everton,3842
2021-01-03,Everton,3391
2021-01-04,Everton,3254
2021-01-05,Everton,2949
2021-01-06,Everton,2688
2021-01-07,Everton,2489
2021-01-08,Everton,2887
2021-01-09,Everton,4595
2021-01-01,Everton,3849
2021-01-11,Everton,2573
2021-01-12,Everton,3971
2021-01-13,Everton,3604
2021-01-14,Everton,2681
2021-01-15,Everton,3064
2021-01-16,Everton,3925
2021-01-17,Everton,4183
2021-01-18,Everton,2970
2021-01-19,Everton,3125
2021-01-02,Everton,2817
2021-01-21,Everton,2660
2021-01-22,Everton,2867
2021-01-23,Everton,3605
2021-01-24,Everton,5385
2021-01-25,Everton,4188
2021-01-26,Everton,3364
2021-01-27,Everton,5029
2021-01-28,Everton,3843
2021-01-29,Everton,3199
2021-01-03,Everton,6051
2021-01-31,Everton,3691
2021-02-01,Everton,4903
2021-02-02,Everton,9167
2021-02-03,Everton,6246
2021-02-04,Everton,5010
2021-02-05,Everton,3310
2021-02-06,Everton,10109
2021-02-07,Everton,6662
2021-02-08,Everton,3756
2021-02-09,Everton,3604
2021-02-01,Everton,9011
2021-02-11,Everton,6769
2021-02-12,Everton,3568
2021-02-13,Everton,3740
2021-02-14,Everton,5426
2021-02-15,Everton,3257
2021-02-16,Everton,3782
2021-02-17,Everton,5701
2021-02-18,Everton,3397
2021-02-19,Everton,3454
2021-02-02,Everton,17501
2021-02-21,Everton,8902
2021-02-22,Everton,4505
2021-02-23,Everton,5439
2021-02-24,Everton,4805
2021-02-25,Everton,3693
2021-02-26,Everton,3216
2021-02-27,Everton,3440
2021-02-28,Everton,3971
2021-03-01,Everton,7600
2021-03-02,Everton,5024
2021-03-03,Everton,3358
2021-03-04,Everton,5505
2021-03-05,Everton,4208
2021-03-06,Everton,3743
2021-03-07,Everton,4298
2021-03-08,Everton,6623
2021-03-09,Everton,3300
2021-03-01,Everton,3083
2021-03-11,Everton,2855
2021-03-12,Everton,2803
2021-03-13,Everton,6071
2021-03-14,Everton,3606
2021-03-15,Everton,3033
2021-03-16,Everton,2804
2021-03-17,Everton,2602
2021-03-18,Everton,2567
2021-03-19,Everton,2752
2021-03-02,Everton,6662
2021-03-21,Everton,3809
2021-03-22,Everton,2542
2021-03-23,Everton,2453
2021-03-24,Everton,2695
2021-03-25,Everton,3050
2021-03-26,Everton,3562
2021-03-27,Everton,2784
2021-03-28,Everton,2512
2021-03-29,Everton,2140
2021-03-03,Everton,2231
2021-03-31,Everton,2346
2021-04-01,Everton,2105
2021-04-02,Everton,2216
2021-04-03,Everton,2599
2021-04-04,Everton,2614
2021-04-05,Everton,5247
2021-04-06,Everton,2879
2021-04-07,Everton,2500
2021-04-08,Everton,2168
2021-04-09,Everton,1917
2021-04-01,Everton,2623
2021-04-11,Everton,3164
2021-04-12,Everton,5440
2021-04-13,Everton,3456
2021-04-14,Everton,2912
2021-04-15,Everton,2665
2021-04-16,Everton,5759
2021-04-17,Everton,3858
2021-04-18,Everton,3612
2021-04-19,Everton,7268
2021-04-02,Everton,8398
2021-04-21,Everton,5694
2021-04-22,Everton,3934
2021-04-23,Everton,6957
2021-04-24,Everton,5078
2021-04-25,Everton,4261
2021-04-26,Everton,3826
2021-04-27,Everton,3345
2021-04-28,Everton,3095
2021-04-29,Everton,2904
2021-04-03,Everton,2947
2021-05-01,Everton,4838
2021-05-02,Everton,4042
2021-05-03,Everton,3179
2021-05-04,Everton,3282
2021-05-05,Everton,3249
2021-05-06,Everton,3125
2021-05-07,Everton,2990
2021-05-08,Everton,3403
2021-05-09,Everton,6269
2021-05-01,Everton,3724
2021-05-11,Everton,3783
2021-05-12,Everton,3528
2021-05-13,Everton,4614
2021-05-14,Everton,3146
2021-05-15,Everton,3952
2021-05-16,Everton,5166
2021-05-17,Everton,3948
