Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,Matches,squad_id,season,xG,npxG,xAG,npxG+xAG,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
Gary Neville,eng ENG,DF,25.0,32,32,2849.0,31.7,1.0,1.0,1.0,0.0,0.0,4.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches,19538871,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fabien Barthez,fr FRA,GK,29.0,30,30,2675.0,29.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,19538871,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Beckham,eng ENG,MF,25.0,31,29,2648.0,29.4,9.0,12.0,8.0,1.0,1.0,3.0,0.0,0.31,0.41,0.71,0.27,0.68,Matches,19538871,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paul Scholes,eng ENG,MF,25.0,32,28,2450.0,27.2,6.0,5.0,6.0,0.0,1.0,3.0,0.0,0.22,0.18,0.4,0.22,0.4,Matches,19538871,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roy Keane,ie IRL,MF,28.0,28,28,2380.0,26.4,2.0,7.0,2.0,0.0,0.0,2.0,1.0,0.08,0.26,0.34,0.08,0.34,Matches,19538871,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wes Brown,eng ENG,DF,20.0,28,25,2264.0,25.2,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,19538871,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mikaël Silvestre,fr FRA,DF,22.0,30,25,2251.0,25.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.04,0.08,0.12,0.04,0.12,Matches,19538871,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Giggs,wls WAL,"FW,MF",26.0,31,24,2218.0,24.6,5.0,8.0,5.0,0.0,0.0,1.0,0.0,0.2,0.32,0.53,0.2,0.53,Matches,19538871,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phil Neville,eng ENG,"DF,MF",23.0,29,24,2185.0,24.3,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,19538871,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicky Butt,eng ENG,"DF,MF",25.0,28,24,2036.0,22.6,3.0,2.0,3.0,0.0,0.0,8.0,0.0,0.13,0.09,0.22,0.13,0.22,Matches,19538871,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
