place,team,games_played,home_wins,home_draw,home_losses,away_wins,away_draws,away_losses,wins,draws,losses,goals_for,goals_against,diff,points,season
4.0,Wrexham,46.0,13,7,3,9,8,6,22,15,9,66,49,17,81.0,2010/11
2.0,Wrexham,46.0,16,3,4,14,5,4,30,8,8,85,33,52,98.0,2011/12
5.0,Wrexham,46.0,11,9,3,11,5,7,22,14,10,74,45,29,80.0,2012/13
17.0,Wrexham,46.0,11,5,7,5,6,12,16,11,19,61,61,0,59.0,2013/14
11.0,Wrexham,46.0,9,8,6,8,7,8,17,15,14,56,52,4,66.0,2014/15
8.0,Wrexham,45.0,13,4,6,7,5,10,20,9,16,70,53,17,69.0,2015/16
13.0,Wrexham,23.0,5,5,2,2,4,5,7,9,7,23,29,-6,30.0,2016/17
10.0,Wrexham,46.0,10,10,3,7,9,7,17,19,10,49,39,10,70.0,2017/18
4.0,Wrexham,46.0,17,3,3,8,6,9,25,9,12,58,39,19,84.0,2018/19
19.0,Wrexham,37.0,7,7,4,4,3,12,11,16,10,46,49,-3,43.0,2019/20
8.0,Wrexham,42.0,10,6,5,9,5,7,19,11,12,64,43,21,68.0,2020/21
2.0,Wrexham,44.0,15,6,1,11,4,7,26,10,8,91,46,45,88.0,2021/22
