fuel,vehicles
Battery Electric,374757
Diesel and Diesel Hybrid,721239
Flex-Fuel,896502
Gasoline,14493415
Hybrid Gasoline,924986
Hydrogen Fuel Cell,7470
Natural Gas,6387
Other,45692
Plug-in Hybrid,264108
