,city,avg_wait_minutes,centers_count,time
0,Acton,8.0,5,2020-11-03 13:38:40.368635
1,Agoura Hills,6.0,4,2020-11-03 13:38:40.368635
2,Alhambra,6.0,2,2020-11-03 13:38:40.368635
3,Altadena,6.0,2,2020-11-03 13:38:40.368635
4,Arcadia,4.4,5,2020-11-03 13:38:40.368635
5,Arleta,8.0,1,2020-11-03 13:38:40.368635
6,Artesia,6.0,2,2020-11-03 13:38:40.368635
7,Avalon,8.0,1,2020-11-03 13:38:40.368635
8,Azusa,6.666666666666667,3,2020-11-03 13:38:40.368635
9,Baldwin Park,6.666666666666667,3,2020-11-03 13:38:40.368635
10,Bell,8.0,3,2020-11-03 13:38:40.368635
11,Bell Gardens,8.333333333333334,3,2020-11-03 13:38:40.368635
12,Bellflower,5.0,3,2020-11-03 13:38:40.368635
13,Beverly Hills,5.0,9,2020-11-03 13:38:40.368635
14,Burbank,7.25,8,2020-11-03 13:38:40.368635
15,Calabasas,7.0,3,2020-11-03 13:38:40.368635
16,Canoga Park,1.25,4,2020-11-03 13:38:40.368635
17,Canyon Country,8.0,1,2020-11-03 13:38:40.368635
18,Carson,7.2,10,2020-11-03 13:38:40.368635
19,Castaic,6.5,2,2020-11-03 13:38:40.368635
20,Cerritos,7.0,8,2020-11-03 13:38:40.368635
21,Chatsworth,8.0,2,2020-11-03 13:38:40.368635
22,City of Industry,2.0,2,2020-11-03 13:38:40.368635
23,Claremont,8.0,4,2020-11-03 13:38:40.368635
24,Commerce,8.0,1,2020-11-03 13:38:40.368635
25,Compton,6.0,11,2020-11-03 13:38:40.368635
26,Covina,6.0,4,2020-11-03 13:38:40.368635
27,Cudahy,8.0,1,2020-11-03 13:38:40.368635
28,Culver City,7.4,5,2020-11-03 13:38:40.368635
29,Diamond Bar,8.0,7,2020-11-03 13:38:40.368635
30,Downey,11.0,4,2020-11-03 13:38:40.368635
31,Duarte,8.0,2,2020-11-03 13:38:40.368635
32,El Monte,5.846153846153846,13,2020-11-03 13:38:40.368635
33,El Segundo,6.0,4,2020-11-03 13:38:40.368635
34,Gardena,8.0,6,2020-11-03 13:38:40.368635
35,Glendale,6.357142857142857,14,2020-11-03 13:38:40.368635
36,Glendora,5.5,4,2020-11-03 13:38:40.368635
37,Granada Hills,8.0,6,2020-11-03 13:38:40.368635
38,Hacienda Heights,8.0,6,2020-11-03 13:38:40.368635
39,Hawaiian Gardens,8.0,1,2020-11-03 13:38:40.368635
40,Hawthorne,7.625,8,2020-11-03 13:38:40.368635
41,Hermosa Beach,8.0,4,2020-11-03 13:38:40.368635
42,Hollywood,8.0,1,2020-11-03 13:38:40.368635
43,Huntington Park,1.75,4,2020-11-03 13:38:40.368635
44,Inglewood,6.153846153846154,13,2020-11-03 13:38:40.368635
45,Irwindale,6.0,1,2020-11-03 13:38:40.368635
46,La Canada Flintridge,8.0,1,2020-11-03 13:38:40.368635
47,La Crescenta,4.0,1,2020-11-03 13:38:40.368635
48,La Habra Heights,8.0,1,2020-11-03 13:38:40.368635
49,La Mirada,7.0,5,2020-11-03 13:38:40.368635
50,La Puente,7.0,11,2020-11-03 13:38:40.368635
51,La Verne,5.0,1,2020-11-03 13:38:40.368635
52,Lake Los Angeles,8.0,1,2020-11-03 13:38:40.368635
53,Lakeview Terrace,8.0,1,2020-11-03 13:38:40.368635
54,Lakewood,8.0,5,2020-11-03 13:38:40.368635
55,Lancaster,6.0,14,2020-11-03 13:38:40.368635
56,Lawndale,4.0,1,2020-11-03 13:38:40.368635
57,Lennox,8.0,3,2020-11-03 13:38:40.368635
58,Littlerock,8.0,3,2020-11-03 13:38:40.368635
59,Lomita,9.0,2,2020-11-03 13:38:40.368635
60,Long Beach,6.470588235294118,34,2020-11-03 13:38:40.368635
61,Los Angeles,7.241758241758242,182,2020-11-03 13:38:40.368635
62,Los Angleles,8.0,1,2020-11-03 13:38:40.368635
63,Los Nietos,8.0,1,2020-11-03 13:38:40.368635
64,Lynwood,6.5,4,2020-11-03 13:38:40.368635
65,Malibu,5.333333333333333,3,2020-11-03 13:38:40.368635
66,Manhattan Beach,8.0,2,2020-11-03 13:38:40.368635
67,Marina Del Rey,8.0,1,2020-11-03 13:38:40.368635
68,Maywood,4.0,2,2020-11-03 13:38:40.368635
69,Mission Hills,6.0,2,2020-11-03 13:38:40.368635
70,Monrovia,6.0,3,2020-11-03 13:38:40.368635
71,Montebello,7.166666666666667,6,2020-11-03 13:38:40.368635
72,Monterey Park,6.4,5,2020-11-03 13:38:40.368635
73,Newhall,4.0,2,2020-11-03 13:38:40.368635
74,North Hills,5.333333333333333,3,2020-11-03 13:38:40.368635
75,North Hollywood,6.0,8,2020-11-03 13:38:40.368635
76,Northridge,7.2,5,2020-11-03 13:38:40.368635
77,Norwalk,7.545454545454546,11,2020-11-03 13:38:40.368635
78,Pacific Palisades,8.0,1,2020-11-03 13:38:40.368635
79,Pacoima,8.0,2,2020-11-03 13:38:40.368635
80,Palmdale,7.111111111111111,9,2020-11-03 13:38:40.368635
81,Palos Verdes Estates,8.0,2,2020-11-03 13:38:40.368635
82,Panorama City,12.0,2,2020-11-03 13:38:40.368635
83,Paramount,8.0,3,2020-11-03 13:38:40.368635
84,Pasadena,5.923076923076923,13,2020-11-03 13:38:40.368635
85,Pico Rivera,9.8,5,2020-11-03 13:38:40.368635
86,Playa Del Rey,8.0,1,2020-11-03 13:38:40.368635
87,Pomona,7.785714285714286,14,2020-11-03 13:38:40.368635
88,Porter Ranch,2.0,1,2020-11-03 13:38:40.368635
89,Quartz Hill,0.0,1,2020-11-03 13:38:40.368635
90,Rancho Palos Verdes,4.666666666666667,3,2020-11-03 13:38:40.368635
91,Redondo Beach,7.0,7,2020-11-03 13:38:40.368635
92,Reseda,11.0,1,2020-11-03 13:38:40.368635
93,Rolling Hills Estates,7.0,3,2020-11-03 13:38:40.368635
94,Rosemead,5.6,5,2020-11-03 13:38:40.368635
95,Rowland Heights,8.0,7,2020-11-03 13:38:40.368635
96,San Dimas,8.0,1,2020-11-03 13:38:40.368635
97,San Fernando,8.4,5,2020-11-03 13:38:40.368635
98,San Gabriel,7.0,4,2020-11-03 13:38:40.368635
99,San Marino,8.0,1,2020-11-03 13:38:40.368635
100,San Pedro,5.454545454545454,11,2020-11-03 13:38:40.368635
101,Santa Clarita,5.7,10,2020-11-03 13:38:40.368635
102,Santa Fe Springs,5.0,2,2020-11-03 13:38:40.368635
103,Santa Monica,5.2,10,2020-11-03 13:38:40.368635
104,Saugus,8.0,1,2020-11-03 13:38:40.368635
105,Sherman Oaks,4.0,3,2020-11-03 13:38:40.368635
106,Sierra Madre,2.0,1,2020-11-03 13:38:40.368635
107,Signal Hill,0.0,1,2020-11-03 13:38:40.368635
108,South El Monte,8.0,1,2020-11-03 13:38:40.368635
109,South Gate,6.6,5,2020-11-03 13:38:40.368635
110,South Pasadena,8.0,2,2020-11-03 13:38:40.368635
111,Stevenson Ranch,8.0,1,2020-11-03 13:38:40.368635
112,Studio City,0.0,1,2020-11-03 13:38:40.368635
