,city,avg_wait_minutes,centers_count,time
0,Acton,4.2,5,2020-11-03 19:39:00.448577
1,Agoura Hills,8.0,4,2020-11-03 19:39:00.448577
2,Alhambra,8.0,2,2020-11-03 19:39:00.448577
3,Altadena,6.5,2,2020-11-03 19:39:00.448577
4,Arcadia,6.0,5,2020-11-03 19:39:00.448577
5,Arleta,0.0,1,2020-11-03 19:39:00.448577
6,Artesia,8.0,2,2020-11-03 19:39:00.448577
7,Avalon,8.0,1,2020-11-03 19:39:00.448577
8,Azusa,5.333333333333333,3,2020-11-03 19:39:00.448577
9,Baldwin Park,24.0,3,2020-11-03 19:39:00.448577
10,Bell,6.0,3,2020-11-03 19:39:00.448577
11,Bell Gardens,11.333333333333334,3,2020-11-03 19:39:00.448577
12,Bellflower,8.0,3,2020-11-03 19:39:00.448577
13,Beverly Hills,6.222222222222222,9,2020-11-03 19:39:00.448577
14,Burbank,7.5,8,2020-11-03 19:39:00.448577
15,Calabasas,8.0,3,2020-11-03 19:39:00.448577
16,Canoga Park,7.75,4,2020-11-03 19:39:00.448577
17,Canyon Country,23.0,1,2020-11-03 19:39:00.448577
18,Carson,8.0,10,2020-11-03 19:39:00.448577
19,Castaic,8.0,2,2020-11-03 19:39:00.448577
20,Cerritos,6.625,8,2020-11-03 19:39:00.448577
21,Chatsworth,2.0,2,2020-11-03 19:39:00.448577
22,City of Industry,6.0,2,2020-11-03 19:39:00.448577
23,Claremont,6.0,4,2020-11-03 19:39:00.448577
24,Commerce,8.0,1,2020-11-03 19:39:00.448577
25,Compton,7.7272727272727275,11,2020-11-03 19:39:00.448577
26,Covina,13.75,4,2020-11-03 19:39:00.448577
27,Cudahy,23.0,1,2020-11-03 19:39:00.448577
28,Culver City,7.4,5,2020-11-03 19:39:00.448577
29,Diamond Bar,6.857142857142857,7,2020-11-03 19:39:00.448577
30,Downey,11.0,4,2020-11-03 19:39:00.448577
31,Duarte,4.0,2,2020-11-03 19:39:00.448577
