,zipCode,waitTime,time
0,90001,8.0,2020-11-03 13:11:04.053321
1,90002,7.0,2020-11-03 13:11:04.053321
2,90003,0.0,2020-11-03 13:11:04.053321
3,90004,8.0,2020-11-03 13:11:04.053321
4,90005,8.0,2020-11-03 13:11:04.053321
5,90006,23.0,2020-11-03 13:11:04.053321
6,90007,4.0,2020-11-03 13:11:04.053321
7,90008,6.0,2020-11-03 13:11:04.053321
8,90010,13.5,2020-11-03 13:11:04.053321
9,90011,14.0,2020-11-03 13:11:04.053321
10,90012,8.0,2020-11-03 13:11:04.053321
11,90013,7.0,2020-11-03 13:11:04.053321
12,90015,7.0,2020-11-03 13:11:04.053321
13,90016,5.75,2020-11-03 13:11:04.053321
14,90017,7.0,2020-11-03 13:11:04.053321
15,90018,7.333333333333333,2020-11-03 13:11:04.053321
16,90019,7.333333333333333,2020-11-03 13:11:04.053321
17,90020,7.333333333333333,2020-11-03 13:11:04.053321
18,90022,7.2,2020-11-03 13:11:04.053321
19,90023,8.0,2020-11-03 13:11:04.053321
20,90024,5.333333333333333,2020-11-03 13:11:04.053321
21,90025,7.0,2020-11-03 13:11:04.053321
22,90026,8.0,2020-11-03 13:11:04.053321
23,90027,4.333333333333333,2020-11-03 13:11:04.053321
24,90028,6.666666666666667,2020-11-03 13:11:04.053321
25,90029,7.0,2020-11-03 13:11:04.053321
26,90031,5.6,2020-11-03 13:11:04.053321
27,90032,7.25,2020-11-03 13:11:04.053321
28,90033,5.25,2020-11-03 13:11:04.053321
29,90034,6.0,2020-11-03 13:11:04.053321
30,90035,8.0,2020-11-03 13:11:04.053321
31,90036,8.0,2020-11-03 13:11:04.053321
32,90037,5.333333333333333,2020-11-03 13:11:04.053321
33,90038,8.0,2020-11-03 13:11:04.053321
34,90039,8.0,2020-11-03 13:11:04.053321
35,90040,8.0,2020-11-03 13:11:04.053321
36,90041,3.4,2020-11-03 13:11:04.053321
37,90042,8.0,2020-11-03 13:11:04.053321
38,90043,6.25,2020-11-03 13:11:04.053321
39,90044,8.0,2020-11-03 13:11:04.053321
40,90045,5.333333333333333,2020-11-03 13:11:04.053321
41,90046,6.8,2020-11-03 13:11:04.053321
42,90047,8.0,2020-11-03 13:11:04.053321
43,90049,3.5,2020-11-03 13:11:04.053321
44,90057,8.0,2020-11-03 13:11:04.053321
45,90058,8.0,2020-11-03 13:11:04.053321
46,90059,4.125,2020-11-03 13:11:04.053321
47,90061,7.0,2020-11-03 13:11:04.053321
48,90062,4.0,2020-11-03 13:11:04.053321
49,90063,8.0,2020-11-03 13:11:04.053321
50,90064,8.0,2020-11-03 13:11:04.053321
51,90065,6.666666666666667,2020-11-03 13:11:04.053321
52,90066,6.5,2020-11-03 13:11:04.053321
53,90067,8.0,2020-11-03 13:11:04.053321
54,90068,8.0,2020-11-03 13:11:04.053321
55,90069,8.0,2020-11-03 13:11:04.053321
56,90071,8.0,2020-11-03 13:11:04.053321
57,90089,3.0,2020-11-03 13:11:04.053321
58,90095,8.0,2020-11-03 13:11:04.053321
59,90201,8.285714285714286,2020-11-03 13:11:04.053321
60,90210,7.4,2020-11-03 13:11:04.053321
