,name,address,city,waitTime
644,St Paul's United Methodist Church,5619 Lindley Ave,Tarzana,38
96,Carpenters Local Union 562,341 E Wardlow Rd,Long Beach,23
718,Vineyard Recreation Center,2942 Vineyard Ave,Los Angeles,23
209,Emerson Middle School,1650 Selby Ave,Los Angeles,23
12,Alcott Elementary School,1600 S Towne Ave,Pomona,23
313,Houghton Park Community Center,6301 Myrtle Ave,Long Beach,22
75,Burton Chace Park,13650 Mindanao Way,Marina Del Rey,21
490,North Hollywood Recreation Center,11430 Chandler Blvd,North Hollywood,18
46,Bay Shore Comm Congregational Church,5100 E The Toledo,Long Beach,15
691,Trinity Street Elementary,3736 Trinity St,Los Angeles,13
621,Smith Park,6016 Rosemead Blvd,Pico Rivera,13
359,Ken Miller Recreation Center,3330 Civic Center Dr N,Torrance,12
73,Buena Vista Branch Library,300 N Buena Vista St,Burbank,11
458,Miraleste Intermediate School,29323 Palos Verdes Dr E,Rancho Palos Verdes,10
36,Baldwin Park Library,4181 Baldwin Park Blvd,Baldwin Park,9
366,La Brea Tar Pits,5801 Wilshire Blvd,Los Angeles,9
583,San Dimas City Hall,245 E Bonita Ave,San Dimas,9
635,St Gerard Majella Church,4471 Inglewood Blvd,Los Angeles,9
271,Grace Baptist Church,22833 Copper Hill Dr,Santa Clarita,9
475,Nakaoka Community Center,1670 W 162nd St,Gardena,8
472,Mt San Antonio College,1100 N Grand Ave,Walnut,8
483,New Vista Middle School,753 East Avenue K2,Lancaster,8
480,New Lexington Elementary School,10410 Bodger St,El Monte,8
478,Nelson Elementary School,330 N California Ave,La Puente,8
481,New Power of Love,1430 W Manchester,Los Angeles,8
479,New Hope Youth Group,10438 Oro Vista Ave,Sunland-Tujunga,8
482,New River Elementary School,13432 Halcourt Ave,Norwalk,8
469,Montebello Senior Citizen Center,115 S Taylor Ave,Montebello,8
0,100 Thieves,6050 Jefferson Blvd,Los Angeles,8
463,Monroe Middle School,10711 S 10th Ave,Inglewood,8
468,Montebello Library,1550 W Beverly Blvd,Montebello,8
467,Montebello High School,2100 W Cleveland Ave,Montebello,8
447,Maywood Hall,4319 E Slauson Ave,Maywood,8
448,McCarty Memorial Christian Church,4103 W Adams Blvd,Los Angeles,8
449,McKinley Elementary School,14431 S Stanford Ave,Compton,8
450,Meadowlark Elementary School,3015 Sacramento Ave,Acton,8
451,Memorial Park,320 N Orange Ave,Azusa,8
452,Mesa Robles School,16060 Mesa Robles Dr,Hacienda Heights,8
453,Mildred B Janson Elementary School,8628 Marshall St,Rosemead,8
454,Mill Elementary School,4030 Workman Mill Rd,Whittier,8
455,Millennium Biltmore Hotel Los Angeles,506 S Grand Ave,Los Angeles,8
456,Millikan High School,2800 Snowden Ave,Long Beach,8
459,Mission City Church,777 N Maclay Ave,San Fernando,8
460,Mission Ebenezer Family Church,425 W Torrance Blvd,Carson,8
461,Moffett Elementary School,11060 Larch Ave,Lennox,8
462,Mona Park,2291 E 121st St,Compton,8
465,Monrovia High School,845 W Colorado Blvd,Monrovia,8
485,Nickerson Gardens Boys & Girls Club,11251 Compton Ave,Los Angeles,8
