,city,avg_wait_minutes,centers_count,time
0,Acton,6.8,5,2020-11-03 18:48:23.925069
1,Agoura Hills,8.0,4,2020-11-03 18:48:23.925069
2,Alhambra,6.0,2,2020-11-03 18:48:23.925069
3,Altadena,6.0,2,2020-11-03 18:48:23.925069
4,Arcadia,6.4,5,2020-11-03 18:48:23.925069
5,Arleta,8.0,1,2020-11-03 18:48:23.925069
6,Artesia,8.0,2,2020-11-03 18:48:23.925069
7,Avalon,8.0,1,2020-11-03 18:48:23.925069
8,Azusa,4.666666666666667,3,2020-11-03 18:48:23.925069
9,Baldwin Park,22.666666666666668,3,2020-11-03 18:48:23.925069
10,Bell,7.0,3,2020-11-03 18:48:23.925069
11,Bell Gardens,11.0,3,2020-11-03 18:48:23.925069
12,Bellflower,8.0,3,2020-11-03 18:48:23.925069
13,Beverly Hills,6.777777777777778,9,2020-11-03 18:48:23.925069
14,Burbank,9.5,8,2020-11-03 18:48:23.925069
15,Calabasas,8.0,3,2020-11-03 18:48:23.925069
16,Canoga Park,8.5,4,2020-11-03 18:48:23.925069
17,Canyon Country,18.0,1,2020-11-03 18:48:23.925069
18,Carson,7.2,10,2020-11-03 18:48:23.925069
19,Castaic,8.0,2,2020-11-03 18:48:23.925069
20,Cerritos,6.625,8,2020-11-03 18:48:23.925069
21,Chatsworth,4.0,2,2020-11-03 18:48:23.925069
22,City of Industry,6.0,2,2020-11-03 18:48:23.925069
23,Claremont,6.25,4,2020-11-03 18:48:23.925069
24,Commerce,5.0,1,2020-11-03 18:48:23.925069
25,Compton,6.363636363636363,11,2020-11-03 18:48:23.925069
26,Covina,13.5,4,2020-11-03 18:48:23.925069
27,Cudahy,23.0,1,2020-11-03 18:48:23.925069
28,Culver City,7.4,5,2020-11-03 18:48:23.925069
29,Diamond Bar,8.0,7,2020-11-03 18:48:23.925069
30,Downey,6.25,4,2020-11-03 18:48:23.925069
31,Duarte,8.0,2,2020-11-03 18:48:23.925069
32,El Monte,7.6923076923076925,13,2020-11-03 18:48:23.925069
33,El Segundo,6.0,4,2020-11-03 18:48:23.925069
34,Gardena,8.0,6,2020-11-03 18:48:23.925069
35,Glendale,6.642857142857143,14,2020-11-03 18:48:23.925069
36,Glendora,8.0,4,2020-11-03 18:48:23.925069
37,Granada Hills,5.666666666666667,6,2020-11-03 18:48:23.925069
38,Hacienda Heights,7.333333333333333,6,2020-11-03 18:48:23.925069
39,Hawaiian Gardens,8.0,1,2020-11-03 18:48:23.925069
40,Hawthorne,7.125,8,2020-11-03 18:48:23.925069
41,Hermosa Beach,8.0,4,2020-11-03 18:48:23.925069
42,Hollywood,8.0,1,2020-11-03 18:48:23.925069
43,Huntington Park,3.75,4,2020-11-03 18:48:23.925069
44,Inglewood,6.230769230769231,13,2020-11-03 18:48:23.925069
45,Irwindale,4.0,1,2020-11-03 18:48:23.925069
46,La Canada Flintridge,8.0,1,2020-11-03 18:48:23.925069
47,La Crescenta,4.0,1,2020-11-03 18:48:23.925069
48,La Habra Heights,8.0,1,2020-11-03 18:48:23.925069
49,La Mirada,5.8,5,2020-11-03 18:48:23.925069
50,La Puente,6.636363636363637,11,2020-11-03 18:48:23.925069
51,La Verne,4.0,1,2020-11-03 18:48:23.925069
52,Lake Los Angeles,8.0,1,2020-11-03 18:48:23.925069
53,Lakeview Terrace,8.0,1,2020-11-03 18:48:23.925069
54,Lakewood,4.8,5,2020-11-03 18:48:23.925069
55,Lancaster,6.5,14,2020-11-03 18:48:23.925069
56,Lawndale,8.0,1,2020-11-03 18:48:23.925069
57,Lennox,8.0,3,2020-11-03 18:48:23.925069
58,Littlerock,8.333333333333334,3,2020-11-03 18:48:23.925069
59,Lomita,6.5,2,2020-11-03 18:48:23.925069
60,Long Beach,8.441176470588236,34,2020-11-03 18:48:23.925069
61,Los Angeles,7.521978021978022,182,2020-11-03 18:48:23.925069
62,Los Angleles,8.0,1,2020-11-03 18:48:23.925069
63,Los Nietos,8.0,1,2020-11-03 18:48:23.925069
64,Lynwood,14.5,4,2020-11-03 18:48:23.925069
65,Malibu,6.666666666666667,3,2020-11-03 18:48:23.925069
66,Manhattan Beach,8.0,2,2020-11-03 18:48:23.925069
67,Marina Del Rey,8.0,1,2020-11-03 18:48:23.925069
68,Maywood,7.5,2,2020-11-03 18:48:23.925069
69,Mission Hills,10.0,2,2020-11-03 18:48:23.925069
70,Monrovia,8.0,3,2020-11-03 18:48:23.925069
71,Montebello,10.333333333333334,6,2020-11-03 18:48:23.925069
72,Monterey Park,7.0,5,2020-11-03 18:48:23.925069
73,Newhall,8.0,2,2020-11-03 18:48:23.925069
74,North Hills,9.0,3,2020-11-03 18:48:23.925069
75,North Hollywood,12.625,8,2020-11-03 18:48:23.925069
76,Northridge,7.2,5,2020-11-03 18:48:23.925069
77,Norwalk,7.2727272727272725,11,2020-11-03 18:48:23.925069
78,Pacific Palisades,8.0,1,2020-11-03 18:48:23.925069
79,Pacoima,14.5,2,2020-11-03 18:48:23.925069
80,Palmdale,10.444444444444445,9,2020-11-03 18:48:23.925069
81,Palos Verdes Estates,8.0,2,2020-11-03 18:48:23.925069
82,Panorama City,19.0,2,2020-11-03 18:48:23.925069
83,Paramount,3.3333333333333335,3,2020-11-03 18:48:23.925069
84,Pasadena,7.6923076923076925,13,2020-11-03 18:48:23.925069
85,Pico Rivera,11.0,5,2020-11-03 18:48:23.925069
86,Playa Del Rey,8.0,1,2020-11-03 18:48:23.925069
87,Pomona,6.857142857142857,14,2020-11-03 18:48:23.925069
88,Porter Ranch,8.0,1,2020-11-03 18:48:23.925069
89,Quartz Hill,8.0,1,2020-11-03 18:48:23.925069
90,Rancho Palos Verdes,0.0,3,2020-11-03 18:48:23.925069
91,Redondo Beach,7.714285714285714,7,2020-11-03 18:48:23.925069
92,Reseda,8.0,1,2020-11-03 18:48:23.925069
93,Rolling Hills Estates,6.666666666666667,3,2020-11-03 18:48:23.925069
94,Rosemead,6.8,5,2020-11-03 18:48:23.925069
95,Rowland Heights,8.0,7,2020-11-03 18:48:23.925069
96,San Dimas,8.0,1,2020-11-03 18:48:23.925069
97,San Fernando,8.0,5,2020-11-03 18:48:23.925069
98,San Gabriel,10.75,4,2020-11-03 18:48:23.925069
99,San Marino,8.0,1,2020-11-03 18:48:23.925069
100,San Pedro,6.363636363636363,11,2020-11-03 18:48:23.925069
101,Santa Clarita,8.6,10,2020-11-03 18:48:23.925069
102,Santa Fe Springs,13.5,2,2020-11-03 18:48:23.925069
103,Santa Monica,6.4,10,2020-11-03 18:48:23.925069
104,Saugus,9.0,1,2020-11-03 18:48:23.925069
105,Sherman Oaks,8.0,3,2020-11-03 18:48:23.925069
106,Sierra Madre,17.0,1,2020-11-03 18:48:23.925069
107,Signal Hill,7.0,1,2020-11-03 18:48:23.925069
108,South El Monte,8.0,1,2020-11-03 18:48:23.925069
109,South Gate,16.4,5,2020-11-03 18:48:23.925069
110,South Pasadena,8.0,2,2020-11-03 18:48:23.925069
111,Stevenson Ranch,8.0,1,2020-11-03 18:48:23.925069
112,Studio City,0.0,1,2020-11-03 18:48:23.925069
113,Sun Valley,13.0,3,2020-11-03 18:48:23.925069
114,Sun Village,8.0,1,2020-11-03 18:48:23.925069
115,Sunland,8.0,1,2020-11-03 18:48:23.925069
116,Sunland-Tujunga,8.0,1,2020-11-03 18:48:23.925069
117,Sylmar,8.0,3,2020-11-03 18:48:23.925069
118,Tarzana,6.666666666666667,3,2020-11-03 18:48:23.925069
119,Temple City,8.0,2,2020-11-03 18:48:23.925069
120,Topanga,5.333333333333333,3,2020-11-03 18:48:23.925069
121,Torrance,6.909090909090909,11,2020-11-03 18:48:23.925069
122,Tujunga,8.0,1,2020-11-03 18:48:23.925069
123,Universal City,4.0,1,2020-11-03 18:48:23.925069
124,Valencia,8.0,3,2020-11-03 18:48:23.925069
125,Valley Glen,8.0,1,2020-11-03 18:48:23.925069
126,Valley Village,5.0,2,2020-11-03 18:48:23.925069
127,Van Nuys,10.0,8,2020-11-03 18:48:23.925069
128,Venice,6.0,4,2020-11-03 18:48:23.925069
129,Vernon,8.0,1,2020-11-03 18:48:23.925069
130,Walnut,8.0,4,2020-11-03 18:48:23.925069
131,Walnut Park,5.0,1,2020-11-03 18:48:23.925069
132,West Covina,8.875,8,2020-11-03 18:48:23.925069
133,West Hollywood,8.0,3,2020-11-03 18:48:23.925069
134,West Los Angeles,8.0,1,2020-11-03 18:48:23.925069
135,Westlake Village,8.0,1,2020-11-03 18:48:23.925069
136,Whittier,7.0,12,2020-11-03 18:48:23.925069
137,Wilmington,6.666666666666667,6,2020-11-03 18:48:23.925069
138,Winnetka,8.0,2,2020-11-03 18:48:23.925069
139,Woodland Hills,5.428571428571429,7,2020-11-03 18:48:23.925069
