,locationID,locationTypeCode,electionID,name,address,city,state,zipCode,hours,parkingArea,isActive,isCancelled,additionalInformation,votingPeriod,latitude,longitude,waitTime,waitTimeTS,earlyVotingOpenTimeInPT,earlyVotingCloseTimeInPT,electionDayOpenTimeInPT,electionDayCloseTimeInPT,isInEarlyVotingRange,isInElectionDayRange,isWaitTimeUpdated,isOpenButNotReported,showLocationClosed,electionDate,earlyVotingStartDate,earlyVotingEndtDate,fiveDayStartDate
0,14246,3,4193,100 Thieves,6050 Jefferson Blvd,Los Angeles,CA,90016,"10/30 - 11/02: 10:00 AM to 7:00 PM, 11/03: 7:00 AM to 8:00 PM ",,,,Outdoor - Parking Lot,5,34.020498,-118.380778,8,2020-11-03T09:00:04.73,,,,,False,True,True,False,False,2020-11-03T00:00:00,2020-10-24T00:00:00,2020-11-02T00:00:00,2020-10-30T00:00:00
1,14247,3,4193,15th Street Elementary School,1527 S Mesa St,San Pedro,CA,90731,"10/30 - 11/02: 10:00 AM to 7:00 PM, 11/03: 7:00 AM to 8:00 PM ",,,,Auditorium,5,33.730121,-118.286437,8,2020-11-03T09:00:04.73,,,,,False,True,True,False,False,2020-11-03T00:00:00,2020-10-24T00:00:00,2020-11-02T00:00:00,2020-10-30T00:00:00
2,14045,3,4193,A C Bilbrew Library,150 E El Segundo Blvd,Los Angeles,CA,90061,"10/30 - 11/02: 10:00 AM to 7:00 PM, 11/03: 7:00 AM to 8:00 PM ",,,,Library Room and Lobby,5,33.916229,-118.272075,8,2020-11-03T09:00:04.653,,,,,False,True,True,False,False,2020-11-03T00:00:00,2020-10-24T00:00:00,2020-11-02T00:00:00,2020-10-30T00:00:00
3,5194,3,4193,A C Stelle Middle School,22450 Mulholland Hwy,Calabasas,CA,91302,"10/30 - 11/02: 10:00 AM to 7:00 PM, 11/03: 7:00 AM to 8:00 PM ",,,,Multi-Purpose Room,5,34.142307,-118.61324,5,2020-11-03T09:00:04.467,,,,,False,True,True,False,False,2020-11-03T00:00:00,2020-10-24T00:00:00,2020-11-02T00:00:00,2020-10-30T00:00:00
4,14139,3,4193,A V Fair and Event Center,2551 West Avenue H,Lancaster,CA,93536,"10/30 - 11/02: 10:00 AM to 7:00 PM, 11/03: 7:00 AM to 8:00 PM ",,,,H W Hunter Pavilion,5,34.719336,-118.176637,8,2020-11-03T09:00:04.687,,,,,False,True,True,False,False,2020-11-03T00:00:00,2020-10-24T00:00:00,2020-11-02T00:00:00,2020-10-30T00:00:00
5,14597,3,4193,Abraham Lincoln High School,3501 N Broadway,Los Angeles,CA,90031,"10/30 - 11/02: 10:00 AM to 7:00 PM, 11/03: 7:00 AM to 8:00 PM ",,,,Small Court Gymnasium,5,34.074291,-118.203296,8,2020-11-03T09:00:04.81,,,,,False,True,True,False,False,2020-11-03T00:00:00,2020-10-24T00:00:00,2020-11-02T00:00:00,2020-10-30T00:00:00
6,13156,3,4193,ACF Beshir Mardirossian Youth Center,75 E Santa Anita Ave,Burbank,CA,91502,"10/24 - 11/02: 10:00 AM to 7:00 PM, 11/03: 7:00 AM to 8:00 PM ",,,,Liberty Hall,11,34.176629,-118.306306,8,2020-11-03T09:00:04.59,,,,,False,True,True,False,False,2020-11-03T00:00:00,2020-10-24T00:00:00,2020-11-02T00:00:00,2020-10-30T00:00:00
7,13199,3,4193,Acton Elementary School,32248 Crown Valley Rd,Acton,CA,93510,"10/30 - 11/02: 10:00 AM to 7:00 PM, 11/03: 7:00 AM to 8:00 PM ",,,,Multi-Purpose Room,5,34.472996,-118.196376,8,2020-11-03T09:00:04.59,,,,,False,True,True,False,False,2020-11-03T00:00:00,2020-10-24T00:00:00,2020-11-02T00:00:00,2020-10-30T00:00:00
8,13923,3,4193,Acton Rehabilitation Center,30500 Arrastre Canyon Rd,Acton,CA,93510,"10/30 - 11/02: 10:00 AM to 7:00 PM, 11/03: 7:00 AM to 8:00 PM ",,,,Men's Dining Hall,5,34.449505,-118.198485,0,2020-11-03T09:00:04.64,,,,,False,True,True,False,False,2020-11-03T00:00:00,2020-10-24T00:00:00,2020-11-02T00:00:00,2020-10-30T00:00:00
9,14157,3,4193,Adat Ari El,12020 Burbank Blvd,Valley Village,CA,91607,"10/30 - 11/02: 10:00 AM to 7:00 PM, 11/03: 7:00 AM to 8:00 PM ",,,,Jacoby Social & Sisterhood Lounge,5,34.171434,-118.395534,8,2020-11-03T09:00:04.697,,,,,False,True,True,False,False,2020-11-03T00:00:00,2020-10-24T00:00:00,2020-11-02T00:00:00,2020-10-30T00:00:00
