,city,waitTime,time
0,Acton,5.6,2020-11-03 12:56:24.296624
1,Agoura Hills,7.0,2020-11-03 12:56:24.296624
2,Alhambra,6.5,2020-11-03 12:56:24.296624
3,Altadena,6.0,2020-11-03 12:56:24.296624
4,Arcadia,3.6,2020-11-03 12:56:24.296624
5,Arleta,8.0,2020-11-03 12:56:24.296624
6,Artesia,8.0,2020-11-03 12:56:24.296624
7,Avalon,8.0,2020-11-03 12:56:24.296624
8,Azusa,8.0,2020-11-03 12:56:24.296624
9,Baldwin Park,11.666666666666666,2020-11-03 12:56:24.296624
10,Bell,8.333333333333334,2020-11-03 12:56:24.296624
11,Bell Gardens,8.0,2020-11-03 12:56:24.296624
12,Bellflower,6.666666666666667,2020-11-03 12:56:24.296624
13,Beverly Hills,6.333333333333333,2020-11-03 12:56:24.296624
14,Burbank,7.625,2020-11-03 12:56:24.296624
15,Calabasas,6.0,2020-11-03 12:56:24.296624
16,Canoga Park,7.0,2020-11-03 12:56:24.296624
17,Canyon Country,8.0,2020-11-03 12:56:24.296624
18,Carson,6.4,2020-11-03 12:56:24.296624
19,Castaic,5.5,2020-11-03 12:56:24.296624
20,Cerritos,7.375,2020-11-03 12:56:24.296624
21,Chatsworth,8.0,2020-11-03 12:56:24.296624
22,City of Industry,6.0,2020-11-03 12:56:24.296624
23,Claremont,6.5,2020-11-03 12:56:24.296624
24,Commerce,8.0,2020-11-03 12:56:24.296624
25,Compton,7.636363636363637,2020-11-03 12:56:24.296624
26,Covina,5.75,2020-11-03 12:56:24.296624
27,Cudahy,9.0,2020-11-03 12:56:24.296624
28,Culver City,6.4,2020-11-03 12:56:24.296624
29,Diamond Bar,6.285714285714286,2020-11-03 12:56:24.296624
30,Downey,10.0,2020-11-03 12:56:24.296624
31,Duarte,8.0,2020-11-03 12:56:24.296624
32,El Monte,5.538461538461538,2020-11-03 12:56:24.296624
33,El Segundo,5.5,2020-11-03 12:56:24.296624
34,Gardena,6.666666666666667,2020-11-03 12:56:24.296624
