,zipCode,waitTime,time
108,90603,4.0,2020-11-03 09:46:37.638235
109,90604,8.0,2020-11-03 09:46:37.638235
110,90605,2.0,2020-11-03 09:46:37.638235
111,90606,4.333333333333333,2020-11-03 09:46:37.638235
112,90631,8.0,2020-11-03 09:46:37.638235
113,90638,5.2,2020-11-03 09:46:37.638235
114,90640,6.666666666666667,2020-11-03 09:46:37.638235
115,90650,7.2727272727272725,2020-11-03 09:46:37.638235
116,90660,7.6,2020-11-03 09:46:37.638235
117,90670,6.0,2020-11-03 09:46:37.638235
118,90701,8.0,2020-11-03 09:46:37.638235
119,90703,5.5,2020-11-03 09:46:37.638235
120,90704,8.0,2020-11-03 09:46:37.638235
121,90706,6.0,2020-11-03 09:46:37.638235
122,90712,6.0,2020-11-03 09:46:37.638235
123,90713,8.0,2020-11-03 09:46:37.638235
124,90715,8.0,2020-11-03 09:46:37.638235
125,90716,0.0,2020-11-03 09:46:37.638235
126,90717,7.5,2020-11-03 09:46:37.638235
127,90723,6.666666666666667,2020-11-03 09:46:37.638235
128,90731,4.666666666666667,2020-11-03 09:46:37.638235
129,90732,8.0,2020-11-03 09:46:37.638235
130,90744,5.5,2020-11-03 09:46:37.638235
131,90745,8.0,2020-11-03 09:46:37.638235
132,90746,4.0,2020-11-03 09:46:37.638235
133,90747,6.0,2020-11-03 09:46:37.638235
134,90755,8.0,2020-11-03 09:46:37.638235
135,90802,6.8,2020-11-03 09:46:37.638235
136,90803,9.0,2020-11-03 09:46:37.638235
137,90804,6.0,2020-11-03 09:46:37.638235
138,90805,11.666666666666666,2020-11-03 09:46:37.638235
139,90806,3.0,2020-11-03 09:46:37.638235
140,90807,8.0,2020-11-03 09:46:37.638235
141,90808,7.0,2020-11-03 09:46:37.638235
142,90810,8.0,2020-11-03 09:46:37.638235
143,90813,6.666666666666667,2020-11-03 09:46:37.638235
144,90815,5.4,2020-11-03 09:46:37.638235
145,91001,5.5,2020-11-03 09:46:37.638235
146,91006,4.0,2020-11-03 09:46:37.638235
147,91007,4.0,2020-11-03 09:46:37.638235
148,91010,8.0,2020-11-03 09:46:37.638235
149,91011,8.0,2020-11-03 09:46:37.638235
150,91016,5.666666666666667,2020-11-03 09:46:37.638235
151,91024,8.0,2020-11-03 09:46:37.638235
152,91030,8.0,2020-11-03 09:46:37.638235
153,91040,8.0,2020-11-03 09:46:37.638235
154,91042,8.0,2020-11-03 09:46:37.638235
155,91101,6.0,2020-11-03 09:46:37.638235
156,91103,5.666666666666667,2020-11-03 09:46:37.638235
157,91104,8.0,2020-11-03 09:46:37.638235
158,91106,8.0,2020-11-03 09:46:37.638235
159,91107,6.666666666666667,2020-11-03 09:46:37.638235
160,91108,8.0,2020-11-03 09:46:37.638235
161,91201,4.0,2020-11-03 09:46:37.638235
162,91202,8.0,2020-11-03 09:46:37.638235
163,91203,6.666666666666667,2020-11-03 09:46:37.638235
164,91204,8.0,2020-11-03 09:46:37.638235
165,91205,6.666666666666667,2020-11-03 09:46:37.638235
166,91206,6.0,2020-11-03 09:46:37.638235
167,91214,6.666666666666667,2020-11-03 09:46:37.638235
168,91301,6.6,2020-11-03 09:46:37.638235
169,91302,6.0,2020-11-03 09:46:37.638235
170,91303,4.5,2020-11-03 09:46:37.638235
171,91304,4.0,2020-11-03 09:46:37.638235
172,91306,19.0,2020-11-03 09:46:37.638235
173,91311,5.5,2020-11-03 09:46:37.638235
174,91321,8.0,2020-11-03 09:46:37.638235
175,91324,4.0,2020-11-03 09:46:37.638235
176,91325,8.0,2020-11-03 09:46:37.638235
177,91326,4.5,2020-11-03 09:46:37.638235
178,91330,4.0,2020-11-03 09:46:37.638235
179,91331,7.333333333333333,2020-11-03 09:46:37.638235
180,91335,6.666666666666667,2020-11-03 09:46:37.638235
181,91340,8.0,2020-11-03 09:46:37.638235
182,91342,6.25,2020-11-03 09:46:37.638235
183,91343,5.0,2020-11-03 09:46:37.638235
184,91344,7.666666666666667,2020-11-03 09:46:37.638235
185,91345,6.0,2020-11-03 09:46:37.638235
186,91350,2.4,2020-11-03 09:46:37.638235
187,91351,6.666666666666667,2020-11-03 09:46:37.638235
188,91352,4.666666666666667,2020-11-03 09:46:37.638235
189,91354,4.0,2020-11-03 09:46:37.638235
190,91355,5.857142857142857,2020-11-03 09:46:37.638235
191,91356,13.0,2020-11-03 09:46:37.638235
192,91362,8.0,2020-11-03 09:46:37.638235
193,91367,6.666666666666667,2020-11-03 09:46:37.638235
194,91371,8.0,2020-11-03 09:46:37.638235
195,91381,6.0,2020-11-03 09:46:37.638235
196,91384,6.0,2020-11-03 09:46:37.638235
197,91390,8.0,2020-11-03 09:46:37.638235
198,91401,8.0,2020-11-03 09:46:37.638235
199,91402,6.0,2020-11-03 09:46:37.638235
200,91403,6.0,2020-11-03 09:46:37.638235
201,91405,0.0,2020-11-03 09:46:37.638235
202,91406,4.0,2020-11-03 09:46:37.638235
203,91411,8.0,2020-11-03 09:46:37.638235
204,91423,3.0,2020-11-03 09:46:37.638235
205,91502,8.0,2020-11-03 09:46:37.638235
