,city,waitTime,centers_count,time
0,Acton,5.6,5,2020-11-03 12:58:38.839638
1,Agoura Hills,7.0,4,2020-11-03 12:58:38.839638
2,Alhambra,6.5,2,2020-11-03 12:58:38.839638
3,Altadena,6.0,2,2020-11-03 12:58:38.839638
4,Arcadia,3.6,5,2020-11-03 12:58:38.839638
5,Arleta,8.0,1,2020-11-03 12:58:38.839638
6,Artesia,8.0,2,2020-11-03 12:58:38.839638
7,Avalon,8.0,1,2020-11-03 12:58:38.839638
8,Azusa,8.0,3,2020-11-03 12:58:38.839638
9,Baldwin Park,11.666666666666666,3,2020-11-03 12:58:38.839638
10,Bell,8.333333333333334,3,2020-11-03 12:58:38.839638
11,Bell Gardens,8.0,3,2020-11-03 12:58:38.839638
12,Bellflower,6.666666666666667,3,2020-11-03 12:58:38.839638
13,Beverly Hills,6.333333333333333,9,2020-11-03 12:58:38.839638
14,Burbank,7.625,8,2020-11-03 12:58:38.839638
15,Calabasas,6.0,3,2020-11-03 12:58:38.839638
16,Canoga Park,7.0,4,2020-11-03 12:58:38.839638
17,Canyon Country,8.0,1,2020-11-03 12:58:38.839638
18,Carson,6.4,10,2020-11-03 12:58:38.839638
19,Castaic,5.5,2,2020-11-03 12:58:38.839638
20,Cerritos,7.375,8,2020-11-03 12:58:38.839638
21,Chatsworth,8.0,2,2020-11-03 12:58:38.839638
22,City of Industry,6.0,2,2020-11-03 12:58:38.839638
23,Claremont,6.5,4,2020-11-03 12:58:38.839638
24,Commerce,8.0,1,2020-11-03 12:58:38.839638
25,Compton,7.636363636363637,11,2020-11-03 12:58:38.839638
26,Covina,5.75,4,2020-11-03 12:58:38.839638
27,Cudahy,9.0,1,2020-11-03 12:58:38.839638
28,Culver City,6.4,5,2020-11-03 12:58:38.839638
29,Diamond Bar,6.285714285714286,7,2020-11-03 12:58:38.839638
30,Downey,10.0,4,2020-11-03 12:58:38.839638
31,Duarte,8.0,2,2020-11-03 12:58:38.839638
32,El Monte,5.538461538461538,13,2020-11-03 12:58:38.839638
33,El Segundo,5.5,4,2020-11-03 12:58:38.839638
34,Gardena,6.666666666666667,6,2020-11-03 12:58:38.839638
35,Glendale,6.428571428571429,14,2020-11-03 12:58:38.839638
36,Glendora,8.25,4,2020-11-03 12:58:38.839638
37,Granada Hills,8.0,6,2020-11-03 12:58:38.839638
38,Hacienda Heights,5.333333333333333,6,2020-11-03 12:58:38.839638
39,Hawaiian Gardens,8.0,1,2020-11-03 12:58:38.839638
40,Hawthorne,6.625,8,2020-11-03 12:58:38.839638
41,Hermosa Beach,6.0,4,2020-11-03 12:58:38.839638
42,Hollywood,8.0,1,2020-11-03 12:58:38.839638
43,Huntington Park,2.25,4,2020-11-03 12:58:38.839638
44,Inglewood,6.461538461538462,13,2020-11-03 12:58:38.839638
45,Irwindale,5.0,1,2020-11-03 12:58:38.839638
46,La Canada Flintridge,8.0,1,2020-11-03 12:58:38.839638
47,La Crescenta,9.0,1,2020-11-03 12:58:38.839638
48,La Habra Heights,8.0,1,2020-11-03 12:58:38.839638
49,La Mirada,7.0,5,2020-11-03 12:58:38.839638
50,La Puente,7.636363636363637,11,2020-11-03 12:58:38.839638
51,La Verne,4.0,1,2020-11-03 12:58:38.839638
52,Lake Los Angeles,8.0,1,2020-11-03 12:58:38.839638
53,Lakeview Terrace,8.0,1,2020-11-03 12:58:38.839638
54,Lakewood,7.4,5,2020-11-03 12:58:38.839638
55,Lancaster,7.0,14,2020-11-03 12:58:38.839638
56,Lawndale,4.0,1,2020-11-03 12:58:38.839638
