,locationID,name,address,city,waitTime
202,1732,Elizabeth Learning Center,4811 Elizabeth St,Cudahy,38
691,7223,Trinity Street Elementary,3736 Trinity St,Los Angeles,23
753,2587,Williams Elementary School,7530 Arnett St,Downey,22
75,13359,Burton Chace Park,13650 Mindanao Way,Marina Del Rey,20
626,13872,South Gate Park Sports Center,9520 Hildreth Ave,South Gate,19
621,11809,Smith Park,6016 Rosemead Blvd,Pico Rivera,15
270,10821,Goodwill Southern California,14565 Lanark St,Panorama City,15
313,14615,Houghton Park Community Center,6301 Myrtle Ave,Long Beach,13
44,6051,Bassett Street Elementary School,15756 Bassett St,Van Nuys,12
644,14468,St Paul's United Methodist Church,5619 Lindley Ave,Tarzana,11
359,10580,Ken Miller Recreation Center,3330 Civic Center Dr N,Torrance,9
456,14570,Millikan High School,2800 Snowden Ave,Long Beach,8
459,14408,Mission City Church,777 N Maclay Ave,San Fernando,8
460,8301,Mission Ebenezer Family Church,425 W Torrance Blvd,Carson,8
462,5864,Mona Park,2291 E 121st St,Compton,8
463,14212,Monroe Middle School,10711 S 10th Ave,Inglewood,8
465,14664,Monrovia High School,845 W Colorado Blvd,Monrovia,8
467,14101,Montebello High School,2100 W Cleveland Ave,Montebello,8
468,13895,Montebello Library,1550 W Beverly Blvd,Montebello,8
469,9418,Montebello Senior Citizen Center,115 S Taylor Ave,Montebello,8
472,13829,Mt San Antonio College,1100 N Grand Ave,Walnut,8
476,13916,National Typewriter Company,1666 Euclid St,Santa Monica,8
477,6093,Neff Park Barn,14300 San Cristobal Dr,La Mirada,8
478,11311,Nelson Elementary School,330 N California Ave,La Puente,8
455,14517,Millennium Biltmore Hotel Los Angeles,506 S Grand Ave,Los Angeles,8
450,11041,Meadowlark Elementary School,3015 Sacramento Ave,Acton,8
454,5969,Mill Elementary School,4030 Workman Mill Rd,Whittier,8
453,14210,Mildred B Janson Elementary School,8628 Marshall St,Rosemead,8
430,14579,Maclay Middle School,12540 Pierce St,Pacoima,8
431,4611,Magee Academy of Arts and Sciences,8200 Serapis Ave,Pico Rivera,8
433,12330,Malabar Street Elementary School,3200 Malabar St,Los Angeles,8
435,14207,Manhattan Heights Community Center,1600 Manhattan Beach Blvd,Manhattan Beach,8
436,14402,Manual Arts Senior High School,4131 S Vermont Ave,Los Angeles,8
437,2523,Marina Del Rey Middle School,12500 Braddock Dr,Los Angeles,8
438,2036,Mary E Bragg Elementary School,11501 Bos St,Cerritos,8
439,14405,Masjid Al-Fatiha,210 N Citrus Ave,Azusa,8
440,13191,Masjid Umar Ibn Al-Khattab,1025 Exposition Blvd,Los Angeles,8
441,2777,Mason Recreation Center,10500 Mason Ave,Chatsworth,8
442,6853,Masonic Lodge,135 N Valley Center Ave,Glendora,8
443,14622,Mass Liberation,21519 Menlo Ave,Torrance,8
