,city,waitTime,centers_count,time
0,Acton,5.6,5,2020-11-03 13:11:04.053321
1,Agoura Hills,7.0,4,2020-11-03 13:11:04.053321
2,Alhambra,6.0,2,2020-11-03 13:11:04.053321
3,Altadena,6.0,2,2020-11-03 13:11:04.053321
4,Arcadia,5.2,5,2020-11-03 13:11:04.053321
5,Arleta,8.0,1,2020-11-03 13:11:04.053321
6,Artesia,8.0,2,2020-11-03 13:11:04.053321
7,Avalon,8.0,1,2020-11-03 13:11:04.053321
8,Azusa,8.0,3,2020-11-03 13:11:04.053321
9,Baldwin Park,11.666666666666666,3,2020-11-03 13:11:04.053321
10,Bell,8.333333333333334,3,2020-11-03 13:11:04.053321
11,Bell Gardens,8.0,3,2020-11-03 13:11:04.053321
12,Bellflower,5.0,3,2020-11-03 13:11:04.053321
13,Beverly Hills,5.888888888888889,9,2020-11-03 13:11:04.053321
14,Burbank,6.625,8,2020-11-03 13:11:04.053321
15,Calabasas,6.0,3,2020-11-03 13:11:04.053321
16,Canoga Park,5.75,4,2020-11-03 13:11:04.053321
17,Canyon Country,0.0,1,2020-11-03 13:11:04.053321
18,Carson,7.2,10,2020-11-03 13:11:04.053321
19,Castaic,6.5,2,2020-11-03 13:11:04.053321
20,Cerritos,6.75,8,2020-11-03 13:11:04.053321
21,Chatsworth,8.0,2,2020-11-03 13:11:04.053321
22,City of Industry,6.0,2,2020-11-03 13:11:04.053321
23,Claremont,6.5,4,2020-11-03 13:11:04.053321
24,Commerce,8.0,1,2020-11-03 13:11:04.053321
25,Compton,7.636363636363637,11,2020-11-03 13:11:04.053321
26,Covina,5.25,4,2020-11-03 13:11:04.053321
27,Cudahy,9.0,1,2020-11-03 13:11:04.053321
28,Culver City,6.4,5,2020-11-03 13:11:04.053321
29,Diamond Bar,6.285714285714286,7,2020-11-03 13:11:04.053321
30,Downey,10.0,4,2020-11-03 13:11:04.053321
31,Duarte,8.0,2,2020-11-03 13:11:04.053321
32,El Monte,4.923076923076923,13,2020-11-03 13:11:04.053321
33,El Segundo,5.5,4,2020-11-03 13:11:04.053321
34,Gardena,6.666666666666667,6,2020-11-03 13:11:04.053321
35,Glendale,5.5,14,2020-11-03 13:11:04.053321
36,Glendora,8.25,4,2020-11-03 13:11:04.053321
37,Granada Hills,8.0,6,2020-11-03 13:11:04.053321
38,Hacienda Heights,5.333333333333333,6,2020-11-03 13:11:04.053321
39,Hawaiian Gardens,8.0,1,2020-11-03 13:11:04.053321
40,Hawthorne,7.125,8,2020-11-03 13:11:04.053321
41,Hermosa Beach,8.0,4,2020-11-03 13:11:04.053321
42,Hollywood,8.0,1,2020-11-03 13:11:04.053321
43,Huntington Park,1.5,4,2020-11-03 13:11:04.053321
44,Inglewood,6.461538461538462,13,2020-11-03 13:11:04.053321
45,Irwindale,5.0,1,2020-11-03 13:11:04.053321
46,La Canada Flintridge,8.0,1,2020-11-03 13:11:04.053321
47,La Crescenta,9.0,1,2020-11-03 13:11:04.053321
48,La Habra Heights,8.0,1,2020-11-03 13:11:04.053321
49,La Mirada,7.0,5,2020-11-03 13:11:04.053321
50,La Puente,7.636363636363637,11,2020-11-03 13:11:04.053321
51,La Verne,4.0,1,2020-11-03 13:11:04.053321
52,Lake Los Angeles,8.0,1,2020-11-03 13:11:04.053321
53,Lakeview Terrace,8.0,1,2020-11-03 13:11:04.053321
54,Lakewood,7.2,5,2020-11-03 13:11:04.053321
55,Lancaster,6.714285714285714,14,2020-11-03 13:11:04.053321
56,Lawndale,2.0,1,2020-11-03 13:11:04.053321
57,Lennox,8.0,3,2020-11-03 13:11:04.053321
58,Littlerock,6.0,3,2020-11-03 13:11:04.053321
59,Lomita,12.0,2,2020-11-03 13:11:04.053321
60,Long Beach,7.176470588235294,34,2020-11-03 13:11:04.053321
61,Los Angeles,6.8076923076923075,182,2020-11-03 13:11:04.053321
62,Los Angleles,8.0,1,2020-11-03 13:11:04.053321
63,Los Nietos,8.0,1,2020-11-03 13:11:04.053321
64,Lynwood,6.5,4,2020-11-03 13:11:04.053321
65,Malibu,5.333333333333333,3,2020-11-03 13:11:04.053321
66,Manhattan Beach,8.0,2,2020-11-03 13:11:04.053321
67,Marina Del Rey,6.0,1,2020-11-03 13:11:04.053321
68,Maywood,8.0,2,2020-11-03 13:11:04.053321
69,Mission Hills,6.0,2,2020-11-03 13:11:04.053321
70,Monrovia,5.333333333333333,3,2020-11-03 13:11:04.053321
71,Montebello,8.0,6,2020-11-03 13:11:04.053321
72,Monterey Park,8.0,5,2020-11-03 13:11:04.053321
73,Newhall,8.0,2,2020-11-03 13:11:04.053321
