,zipCode,waitTime,time
0,90001,6.0,2020-11-03 09:50:31.085289
1,90002,5.333333333333333,2020-11-03 09:50:31.085289
2,90003,8.0,2020-11-03 09:50:31.085289
3,90004,7.25,2020-11-03 09:50:31.085289
4,90005,8.0,2020-11-03 09:50:31.085289
5,90006,8.0,2020-11-03 09:50:31.085289
6,90007,6.666666666666667,2020-11-03 09:50:31.085289
7,90008,6.0,2020-11-03 09:50:31.085289
8,90010,7.5,2020-11-03 09:50:31.085289
9,90011,10.333333333333334,2020-11-03 09:50:31.085289
10,90012,7.0,2020-11-03 09:50:31.085289
11,90013,8.0,2020-11-03 09:50:31.085289
12,90015,8.0,2020-11-03 09:50:31.085289
13,90016,4.0,2020-11-03 09:50:31.085289
14,90017,7.333333333333333,2020-11-03 09:50:31.085289
15,90018,7.0,2020-11-03 09:50:31.085289
16,90019,6.666666666666667,2020-11-03 09:50:31.085289
17,90020,6.666666666666667,2020-11-03 09:50:31.085289
18,90022,8.0,2020-11-03 09:50:31.085289
19,90023,6.0,2020-11-03 09:50:31.085289
20,90024,8.0,2020-11-03 09:50:31.085289
21,90025,4.666666666666667,2020-11-03 09:50:31.085289
22,90026,3.0,2020-11-03 09:50:31.085289
23,90027,5.333333333333333,2020-11-03 09:50:31.085289
24,90028,5.833333333333333,2020-11-03 09:50:31.085289
25,90029,5.75,2020-11-03 09:50:31.085289
26,90031,8.0,2020-11-03 09:50:31.085289
27,90032,8.0,2020-11-03 09:50:31.085289
28,90033,6.25,2020-11-03 09:50:31.085289
29,90034,8.0,2020-11-03 09:50:31.085289
30,90035,6.0,2020-11-03 09:50:31.085289
31,90036,8.0,2020-11-03 09:50:31.085289
32,90037,6.833333333333333,2020-11-03 09:50:31.085289
33,90038,5.5,2020-11-03 09:50:31.085289
34,90039,7.0,2020-11-03 09:50:31.085289
35,90040,4.0,2020-11-03 09:50:31.085289
36,90041,6.2,2020-11-03 09:50:31.085289
37,90042,3.0,2020-11-03 09:50:31.085289
38,90043,7.0,2020-11-03 09:50:31.085289
39,90044,11.0,2020-11-03 09:50:31.085289
40,90045,6.166666666666667,2020-11-03 09:50:31.085289
