,city,avg_wait_minutes,centers_count,time
0,Acton,7.2,5,2020-11-03 17:06:45.599121
1,Agoura Hills,8.0,4,2020-11-03 17:06:45.599121
2,Alhambra,8.0,2,2020-11-03 17:06:45.599121
3,Altadena,6.0,2,2020-11-03 17:06:45.599121
4,Arcadia,6.4,5,2020-11-03 17:06:45.599121
5,Arleta,0.0,1,2020-11-03 17:06:45.599121
6,Artesia,8.0,2,2020-11-03 17:06:45.599121
7,Avalon,8.0,1,2020-11-03 17:06:45.599121
8,Azusa,6.666666666666667,3,2020-11-03 17:06:45.599121
9,Baldwin Park,18.666666666666668,3,2020-11-03 17:06:45.599121
10,Bell,6.666666666666667,3,2020-11-03 17:06:45.599121
11,Bell Gardens,13.0,3,2020-11-03 17:06:45.599121
12,Bellflower,7.0,3,2020-11-03 17:06:45.599121
13,Beverly Hills,5.555555555555555,9,2020-11-03 17:06:45.599121
14,Burbank,6.0,8,2020-11-03 17:06:45.599121
15,Calabasas,8.0,3,2020-11-03 17:06:45.599121
16,Canoga Park,7.0,4,2020-11-03 17:06:45.599121
17,Canyon Country,8.0,1,2020-11-03 17:06:45.599121
18,Carson,7.2,10,2020-11-03 17:06:45.599121
19,Castaic,8.0,2,2020-11-03 17:06:45.599121
20,Cerritos,5.0,8,2020-11-03 17:06:45.599121
21,Chatsworth,5.0,2,2020-11-03 17:06:45.599121
22,City of Industry,2.5,2,2020-11-03 17:06:45.599121
23,Claremont,6.25,4,2020-11-03 17:06:45.599121
24,Commerce,8.0,1,2020-11-03 17:06:45.599121
25,Compton,6.545454545454546,11,2020-11-03 17:06:45.599121
26,Covina,10.0,4,2020-11-03 17:06:45.599121
27,Cudahy,31.0,1,2020-11-03 17:06:45.599121
28,Culver City,7.4,5,2020-11-03 17:06:45.599121
29,Diamond Bar,5.714285714285714,7,2020-11-03 17:06:45.599121
30,Downey,12.5,4,2020-11-03 17:06:45.599121
31,Duarte,8.0,2,2020-11-03 17:06:45.599121
32,El Monte,6.153846153846154,13,2020-11-03 17:06:45.599121
33,El Segundo,8.0,4,2020-11-03 17:06:45.599121
34,Gardena,6.666666666666667,6,2020-11-03 17:06:45.599121
35,Glendale,5.0,14,2020-11-03 17:06:45.599121
36,Glendora,6.5,4,2020-11-03 17:06:45.599121
37,Granada Hills,8.0,6,2020-11-03 17:06:45.599121
38,Hacienda Heights,8.0,6,2020-11-03 17:06:45.599121
39,Hawaiian Gardens,0.0,1,2020-11-03 17:06:45.599121
40,Hawthorne,7.625,8,2020-11-03 17:06:45.599121
41,Hermosa Beach,8.0,4,2020-11-03 17:06:45.599121
42,Hollywood,8.0,1,2020-11-03 17:06:45.599121
43,Huntington Park,4.75,4,2020-11-03 17:06:45.599121
44,Inglewood,5.6923076923076925,13,2020-11-03 17:06:45.599121
45,Irwindale,8.0,1,2020-11-03 17:06:45.599121
46,La Canada Flintridge,8.0,1,2020-11-03 17:06:45.599121
47,La Crescenta,5.0,1,2020-11-03 17:06:45.599121
48,La Habra Heights,8.0,1,2020-11-03 17:06:45.599121
49,La Mirada,6.4,5,2020-11-03 17:06:45.599121
50,La Puente,9.272727272727273,11,2020-11-03 17:06:45.599121
51,La Verne,10.0,1,2020-11-03 17:06:45.599121
52,Lake Los Angeles,8.0,1,2020-11-03 17:06:45.599121
53,Lakeview Terrace,8.0,1,2020-11-03 17:06:45.599121
54,Lakewood,7.0,5,2020-11-03 17:06:45.599121
55,Lancaster,6.785714285714286,14,2020-11-03 17:06:45.599121
56,Lawndale,4.0,1,2020-11-03 17:06:45.599121
57,Lennox,8.0,3,2020-11-03 17:06:45.599121
58,Littlerock,6.666666666666667,3,2020-11-03 17:06:45.599121
59,Lomita,7.5,2,2020-11-03 17:06:45.599121
60,Long Beach,7.9411764705882355,34,2020-11-03 17:06:45.599121
61,Los Angeles,7.747252747252747,182,2020-11-03 17:06:45.599121
62,Los Angleles,8.0,1,2020-11-03 17:06:45.599121
63,Los Nietos,8.0,1,2020-11-03 17:06:45.599121
64,Lynwood,6.5,4,2020-11-03 17:06:45.599121
65,Malibu,4.0,3,2020-11-03 17:06:45.599121
66,Manhattan Beach,8.0,2,2020-11-03 17:06:45.599121
67,Marina Del Rey,11.0,1,2020-11-03 17:06:45.599121
68,Maywood,8.0,2,2020-11-03 17:06:45.599121
69,Mission Hills,5.0,2,2020-11-03 17:06:45.599121
70,Monrovia,8.0,3,2020-11-03 17:06:45.599121
71,Montebello,6.833333333333333,6,2020-11-03 17:06:45.599121
72,Monterey Park,7.2,5,2020-11-03 17:06:45.599121
73,Newhall,8.0,2,2020-11-03 17:06:45.599121
74,North Hills,6.333333333333333,3,2020-11-03 17:06:45.599121
75,North Hollywood,9.625,8,2020-11-03 17:06:45.599121
76,Northridge,8.0,5,2020-11-03 17:06:45.599121
77,Norwalk,7.363636363636363,11,2020-11-03 17:06:45.599121
78,Pacific Palisades,0.0,1,2020-11-03 17:06:45.599121
79,Pacoima,8.0,2,2020-11-03 17:06:45.599121
80,Palmdale,6.777777777777778,9,2020-11-03 17:06:45.599121
81,Palos Verdes Estates,8.0,2,2020-11-03 17:06:45.599121
82,Panorama City,8.5,2,2020-11-03 17:06:45.599121
83,Paramount,5.333333333333333,3,2020-11-03 17:06:45.599121
84,Pasadena,8.0,13,2020-11-03 17:06:45.599121
85,Pico Rivera,4.8,5,2020-11-03 17:06:45.599121
86,Playa Del Rey,8.0,1,2020-11-03 17:06:45.599121
87,Pomona,7.928571428571429,14,2020-11-03 17:06:45.599121
88,Porter Ranch,4.0,1,2020-11-03 17:06:45.599121
89,Quartz Hill,0.0,1,2020-11-03 17:06:45.599121
90,Rancho Palos Verdes,7.0,3,2020-11-03 17:06:45.599121
91,Redondo Beach,8.0,7,2020-11-03 17:06:45.599121
92,Reseda,5.0,1,2020-11-03 17:06:45.599121
93,Rolling Hills Estates,6.666666666666667,3,2020-11-03 17:06:45.599121
94,Rosemead,8.6,5,2020-11-03 17:06:45.599121
95,Rowland Heights,7.0,7,2020-11-03 17:06:45.599121
96,San Dimas,8.0,1,2020-11-03 17:06:45.599121
97,San Fernando,6.2,5,2020-11-03 17:06:45.599121
98,San Gabriel,10.25,4,2020-11-03 17:06:45.599121
99,San Marino,8.0,1,2020-11-03 17:06:45.599121
100,San Pedro,7.090909090909091,11,2020-11-03 17:06:45.599121
101,Santa Clarita,6.8,10,2020-11-03 17:06:45.599121
102,Santa Fe Springs,9.5,2,2020-11-03 17:06:45.599121
103,Santa Monica,6.0,10,2020-11-03 17:06:45.599121
104,Saugus,0.0,1,2020-11-03 17:06:45.599121
105,Sherman Oaks,7.0,3,2020-11-03 17:06:45.599121
106,Sierra Madre,1.0,1,2020-11-03 17:06:45.599121
107,Signal Hill,5.0,1,2020-11-03 17:06:45.599121
108,South El Monte,8.0,1,2020-11-03 17:06:45.599121
109,South Gate,4.8,5,2020-11-03 17:06:45.599121
110,South Pasadena,8.0,2,2020-11-03 17:06:45.599121
111,Stevenson Ranch,8.0,1,2020-11-03 17:06:45.599121
112,Studio City,0.0,1,2020-11-03 17:06:45.599121
113,Sun Valley,13.0,3,2020-11-03 17:06:45.599121
114,Sun Village,8.0,1,2020-11-03 17:06:45.599121
115,Sunland,8.0,1,2020-11-03 17:06:45.599121
116,Sunland-Tujunga,8.0,1,2020-11-03 17:06:45.599121
117,Sylmar,8.0,3,2020-11-03 17:06:45.599121
118,Tarzana,11.666666666666666,3,2020-11-03 17:06:45.599121
119,Temple City,8.0,2,2020-11-03 17:06:45.599121
120,Topanga,5.333333333333333,3,2020-11-03 17:06:45.599121
121,Torrance,7.454545454545454,11,2020-11-03 17:06:45.599121
122,Tujunga,8.0,1,2020-11-03 17:06:45.599121
123,Universal City,2.0,1,2020-11-03 17:06:45.599121
124,Valencia,5.333333333333333,3,2020-11-03 17:06:45.599121
125,Valley Glen,8.0,1,2020-11-03 17:06:45.599121
126,Valley Village,8.0,2,2020-11-03 17:06:45.599121
127,Van Nuys,7.625,8,2020-11-03 17:06:45.599121
128,Venice,4.0,4,2020-11-03 17:06:45.599121
129,Vernon,5.0,1,2020-11-03 17:06:45.599121
130,Walnut,6.0,4,2020-11-03 17:06:45.599121
131,Walnut Park,3.0,1,2020-11-03 17:06:45.599121
132,West Covina,6.5,8,2020-11-03 17:06:45.599121
133,West Hollywood,7.333333333333333,3,2020-11-03 17:06:45.599121
134,West Los Angeles,8.0,1,2020-11-03 17:06:45.599121
135,Westlake Village,8.0,1,2020-11-03 17:06:45.599121
136,Whittier,5.166666666666667,12,2020-11-03 17:06:45.599121
137,Wilmington,7.166666666666667,6,2020-11-03 17:06:45.599121
138,Winnetka,5.5,2,2020-11-03 17:06:45.599121
139,Woodland Hills,7.571428571428571,7,2020-11-03 17:06:45.599121
