,zipCode,waitTime,time
0,90001,0,2020-11-04 09:51:07.679709
1,90002,0,2020-11-04 09:51:07.679709
2,90003,0,2020-11-04 09:51:07.679709
3,90004,0,2020-11-04 09:51:07.679709
4,90005,0,2020-11-04 09:51:07.679709
5,90006,0,2020-11-04 09:51:07.679709
6,90007,0,2020-11-04 09:51:07.679709
7,90008,0,2020-11-04 09:51:07.679709
8,90010,0,2020-11-04 09:51:07.679709
9,90011,0,2020-11-04 09:51:07.679709
10,90012,0,2020-11-04 09:51:07.679709
11,90013,0,2020-11-04 09:51:07.679709
12,90015,0,2020-11-04 09:51:07.679709
13,90016,0,2020-11-04 09:51:07.679709
14,90017,0,2020-11-04 09:51:07.679709
15,90018,0,2020-11-04 09:51:07.679709
16,90019,0,2020-11-04 09:51:07.679709
17,90020,0,2020-11-04 09:51:07.679709
18,90022,0,2020-11-04 09:51:07.679709
19,90023,0,2020-11-04 09:51:07.679709
20,90024,0,2020-11-04 09:51:07.679709
21,90025,0,2020-11-04 09:51:07.679709
22,90026,0,2020-11-04 09:51:07.679709
23,90027,0,2020-11-04 09:51:07.679709
24,90028,0,2020-11-04 09:51:07.679709
25,90029,0,2020-11-04 09:51:07.679709
26,90031,0,2020-11-04 09:51:07.679709
27,90032,0,2020-11-04 09:51:07.679709
28,90033,0,2020-11-04 09:51:07.679709
29,90034,0,2020-11-04 09:51:07.679709
30,90035,0,2020-11-04 09:51:07.679709
31,90036,0,2020-11-04 09:51:07.679709
32,90037,0,2020-11-04 09:51:07.679709
33,90038,0,2020-11-04 09:51:07.679709
34,90039,0,2020-11-04 09:51:07.679709
35,90040,0,2020-11-04 09:51:07.679709
36,90041,0,2020-11-04 09:51:07.679709
37,90042,0,2020-11-04 09:51:07.679709
38,90043,0,2020-11-04 09:51:07.679709
39,90044,0,2020-11-04 09:51:07.679709
40,90045,0,2020-11-04 09:51:07.679709
41,90046,0,2020-11-04 09:51:07.679709
42,90047,0,2020-11-04 09:51:07.679709
43,90049,0,2020-11-04 09:51:07.679709
44,90057,0,2020-11-04 09:51:07.679709
45,90058,0,2020-11-04 09:51:07.679709
46,90059,0,2020-11-04 09:51:07.679709
47,90061,0,2020-11-04 09:51:07.679709
48,90062,0,2020-11-04 09:51:07.679709
49,90063,0,2020-11-04 09:51:07.679709
50,90064,0,2020-11-04 09:51:07.679709
51,90065,0,2020-11-04 09:51:07.679709
52,90066,0,2020-11-04 09:51:07.679709
53,90067,0,2020-11-04 09:51:07.679709
54,90068,0,2020-11-04 09:51:07.679709
55,90069,0,2020-11-04 09:51:07.679709
56,90071,0,2020-11-04 09:51:07.679709
57,90089,0,2020-11-04 09:51:07.679709
58,90095,0,2020-11-04 09:51:07.679709
59,90201,0,2020-11-04 09:51:07.679709
60,90210,0,2020-11-04 09:51:07.679709
