,city,avg_wait_minutes,centers_count,time
0,Acton,4.2,5,2020-11-03 19:40:20.736192
1,Agoura Hills,8.0,4,2020-11-03 19:40:20.736192
2,Alhambra,8.0,2,2020-11-03 19:40:20.736192
3,Altadena,6.5,2,2020-11-03 19:40:20.736192
4,Arcadia,6.0,5,2020-11-03 19:40:20.736192
5,Arleta,0.0,1,2020-11-03 19:40:20.736192
6,Artesia,8.0,2,2020-11-03 19:40:20.736192
7,Avalon,8.0,1,2020-11-03 19:40:20.736192
8,Azusa,5.333333333333333,3,2020-11-03 19:40:20.736192
9,Baldwin Park,24.0,3,2020-11-03 19:40:20.736192
10,Bell,6.0,3,2020-11-03 19:40:20.736192
11,Bell Gardens,11.333333333333334,3,2020-11-03 19:40:20.736192
12,Bellflower,8.0,3,2020-11-03 19:40:20.736192
13,Beverly Hills,6.222222222222222,9,2020-11-03 19:40:20.736192
14,Burbank,7.5,8,2020-11-03 19:40:20.736192
15,Calabasas,8.0,3,2020-11-03 19:40:20.736192
16,Canoga Park,7.75,4,2020-11-03 19:40:20.736192
17,Canyon Country,23.0,1,2020-11-03 19:40:20.736192
18,Carson,8.0,10,2020-11-03 19:40:20.736192
19,Castaic,8.0,2,2020-11-03 19:40:20.736192
20,Cerritos,6.625,8,2020-11-03 19:40:20.736192
21,Chatsworth,2.0,2,2020-11-03 19:40:20.736192
22,City of Industry,6.0,2,2020-11-03 19:40:20.736192
23,Claremont,6.0,4,2020-11-03 19:40:20.736192
24,Commerce,8.0,1,2020-11-03 19:40:20.736192
25,Compton,7.7272727272727275,11,2020-11-03 19:40:20.736192
26,Covina,13.75,4,2020-11-03 19:40:20.736192
27,Cudahy,23.0,1,2020-11-03 19:40:20.736192
28,Culver City,7.4,5,2020-11-03 19:40:20.736192
29,Diamond Bar,6.857142857142857,7,2020-11-03 19:40:20.736192
30,Downey,11.0,4,2020-11-03 19:40:20.736192
31,Duarte,4.0,2,2020-11-03 19:40:20.736192
32,El Monte,6.769230769230769,13,2020-11-03 19:40:20.736192
