"Gas Day Start";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Consumption (TWh)";"Full/Cons (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Working gas volume (TWh)";"Injection capacity (GWh/d)";"Withdrawal capacity (GWh/d)"
"2022-08-15";"188.1503";"77.32";"0.6";"995.2735";"18.9";"1480.78";"28.6";"243.3517";"4031.64";"6886.99"
"2022-08-14";"186.7182";"76.8";"0.7";"995.2735";"18.76";"1704.12";"8.3";"243.109";"4029.99";"6883.7"
"2022-08-13";"185.0597";"76.12";"0.7";"995.2735";"18.59";"1695.51";"4.2";"243.109";"4029.99";"6883.7"
"2022-08-12";"183.3863";"75.43";"0.58";"995.2735";"18.43";"1483.65";"78";"243.109";"4029.99";"6883.7"
"2022-08-11";"182.006";"74.94";"0.54";"995.2735";"18.29";"1438.23";"117.7";"242.8714";"4029.99";"6883.7"
"2022-08-10";"180.6988";"74.4";"0.62";"995.2735";"18.16";"1560.14";"52";"242.8714";"4029.99";"6883.7"
"2022-08-09";"179.1438";"73.75";"0.57";"995.2735";"18";"1453.63";"71.4";"242.9001";"4029.99";"6883.7"
"2022-08-08";"177.7815";"73.19";"0.54";"995.2735";"17.86";"1430.16";"118.5";"242.9001";"4029.99";"6883.7"
"2022-08-07";"176.4405";"72.64";"0.66";"995.2735";"17.73";"1625.87";"30.7";"242.8996";"4029.98";"6883.68"
"2022-08-06";"174.8671";"71.99";"0.66";"995.2735";"17.57";"1623.34";"23.3";"242.9116";"4029.98";"6883.68"
"2022-08-05";"173.2857";"71.34";"0.51";"995.2735";"17.41";"1418.76";"176.1";"242.9116";"4029.98";"6883.68"
"2022-08-04";"172.0649";"70.83";"0.43";"995.2735";"17.29";"1131.28";"95.2";"242.9116";"4029.98";"6883.68"
"2022-08-03";"171.0508";"70.39";"0.47";"995.2735";"17.19";"1204.67";"53.3";"243.0016";"4029.98";"6883.68"
"2022-08-02";"169.9145";"69.92";"0.5";"995.2735";"17.07";"1246.77";"37.8";"243.0016";"4029.98";"6883.68"
"2022-08-01";"168.708";"69.43";"0.4";"995.2735";"16.95";"1080.54";"103.3";"243.0026";"4029.98";"6883.68"
"2022-07-31";"167.7628";"69.04";"0.51";"995.2735";"16.86";"1264.04";"16.8";"242.9972";"4029.85";"6883.42"
"2022-07-30";"166.5655";"68.55";"0.43";"995.2735";"16.74";"1085.9";"46.2";"242.9972";"4029.85";"6883.42"
"2022-07-29";"165.5253";"68.12";"0.33";"995.2735";"16.63";"905.7";"101.8";"242.9972";"4012.69";"6883.42"
"2022-07-28";"164.7214";"67.79";"0.34";"995.2735";"16.55";"922.57";"97.8";"242.9972";"4012.69";"6883.42"
"2022-07-27";"163.9009";"67.45";"0.3";"995.2735";"16.47";"951.04";"225.6";"242.9972";"4012.69";"6883.42"
"2022-07-26";"163.1754";"67.15";"0.4";"995.2735";"16.4";"1029.58";"64";"242.9972";"4012.69";"6883.42"
"2022-07-25";"162.2079";"66.75";"0.41";"995.2735";"16.3";"1032.47";"47.1";"242.9972";"4012.96";"6883.42"
"2022-07-24";"161.2225";"66.35";"0.46";"995.2735";"16.2";"1147.88";"20.1";"242.9835";"4021.14";"6882.74"
"2022-07-23";"160.0948";"65.89";"0.37";"995.2735";"16.09";"1000.38";"95.7";"242.9835";"4021.14";"6882.74"
"2022-07-22";"159.1901";"65.51";"0.21";"995.2735";"15.99";"837.85";"335.2";"242.9835";"4021.14";"6882.74"
"2022-07-21";"158.6875";"65.31";"0.09";"995.2735";"15.94";"762";"553.7";"242.9835";"4038.3";"6882.74"
"2022-07-20";"158.4814";"65.22";"0.12";"995.2735";"15.92";"914.12";"616";"242.9835";"4038.3";"6882.74"
"2022-07-19";"158.1919";"65.1";"0.06";"995.2735";"15.89";"795.62";"659";"242.9835";"4038.3";"6882.74"
"2022-07-18";"158.065";"65.05";"-0.01";"995.2735";"15.88";"684.42";"700.7";"242.9835";"4038.3";"6882.74"
"2022-07-17";"158.0828";"65.06";"0.25";"995.2735";"15.88";"971.54";"358.2";"242.9786";"4038.18";"6882.5"
"2022-07-16";"157.4804";"64.81";"0.19";"995.2735";"15.82";"943.79";"470";"242.9786";"4038.18";"6882.5"
"2022-07-15";"157.0133";"64.62";"0.05";"995.2735";"15.78";"774.46";"653.7";"242.9786";"4038.18";"6882.5"
"2022-07-14";"156.9108";"64.58";"0.08";"995.2735";"15.77";"769.29";"583.2";"242.9786";"4038.18";"6882.5"
"2022-07-13";"156.7342";"64.53";"0.01";"995.2735";"15.75";"676.69";"640.7";"242.8686";"4038.18";"6882.5"
"2022-07-12";"156.7203";"64.53";"-0.06";"995.2735";"15.75";"750.23";"884.3";"242.8686";"4038.18";"6882.5"
"2022-07-11";"156.8705";"64.59";"0.09";"995.2735";"15.76";"515.93";"293";"242.8686";"4038.18";"6882.5"
"2022-07-10";"156.6693";"64.51";"0.46";"995.2735";"15.74";"1162.67";"48.7";"242.8584";"4037.93";"6882"
"2022-07-09";"155.5804";"64.06";"0.43";"995.2735";"15.63";"1089.4";"53.7";"242.8584";"4037.93";"6882"
