Open,Close,High,Low,Volume,Date
0,31580,0,0,,03/21/22
0,37115,0,0,,03/18/22
0,42150,0,0,,03/17/22
0,45795,0,0,,03/16/22
0,48196,0,0,,03/15/22
0,48211,0,0,,03/14/22
0,48226,0,0,,03/11/22
0,48241,0,0,,03/10/22
0,48211,0,0,,03/09/22
0,42995,42995,42995,,03/08/22
0,42995,43000,42500,,03/07/22
0,29775,29800,28675,,03/04/22
0,28797.5,28800,28600,,03/03/22
0,26997.5,27000,26600,,03/02/22
0,25438.5,25438.5,25399,,03/01/22
0,25249,25250,25234,,02/28/22
0,24695,24701,24694,,02/25/22
0,26101.5,26105,24953,,02/24/22
0,24944,25025,24944,,02/23/22
0,25647.5,25650,25599,,02/22/22
0,24870,24870,24866.5,,02/21/22
0,24499,24499,24496.5,,02/18/22
0,24147.5,24150,24146.5,,02/17/22
0,23902.5,23950,23899,,02/16/22
0,23950,23950,23899,,02/15/22
0,23529,23650,23529,,02/14/22
0,23701.5,23725,23701.5,,02/11/22
0,24054,24054,24050,,02/10/22
0,23544,23550,23544,,02/09/22
0,23538.5,23538.5,23525,,02/08/22
0,23638.5,23650,23599,,02/07/22
0,23461.5,23475,23424,,02/04/22
0,23213.5,23213.5,23123.5,,02/03/22
0,23388.5,23388.5,23375,,02/02/22
0,23299,23300,23295,,02/01/22
