place,decade,month,day,mean
Mexico_City,1970s,01,01,57.1
Mexico_City,1970s,01,02,57.5
Mexico_City,1970s,01,03,53.5
Mexico_City,1970s,01,04,55.7
Mexico_City,1970s,01,05,56.3
Mexico_City,1970s,01,06,56.4
Mexico_City,1970s,01,07,57.8
Mexico_City,1970s,01,08,58.1
Mexico_City,1970s,01,09,54.9
Mexico_City,1970s,01,10,57.7
Mexico_City,1970s,01,11,56.7
Mexico_City,1970s,01,12,53.9
Mexico_City,1970s,01,13,55.7
Mexico_City,1970s,01,14,55.9
Mexico_City,1970s,01,15,54.5
Mexico_City,1970s,01,16,55.7
Mexico_City,1970s,01,17,52.7
Mexico_City,1970s,01,18,55.8
Mexico_City,1970s,01,19,52.6
Mexico_City,1970s,01,20,56.3
Mexico_City,1970s,01,21,55.7
Mexico_City,1970s,01,22,54.2
Mexico_City,1970s,01,23,54.9
Mexico_City,1970s,01,24,56.3
Mexico_City,1970s,01,25,58.5
Mexico_City,1970s,01,26,58.4
Mexico_City,1970s,01,27,58.1
Mexico_City,1970s,01,28,58.6
Mexico_City,1970s,01,29,55.1
Mexico_City,1970s,01,30,58.0
Mexico_City,1970s,01,31,58.4
Mexico_City,1970s,02,01,58.4
Mexico_City,1970s,02,02,58.1
Mexico_City,1970s,02,03,55.5
Mexico_City,1970s,02,04,56.4
Mexico_City,1970s,02,05,55.9
Mexico_City,1970s,02,06,55.1
Mexico_City,1970s,02,07,56.8
Mexico_City,1970s,02,08,56.7
Mexico_City,1970s,02,09,54.8
Mexico_City,1970s,02,10,56.7
Mexico_City,1970s,02,11,55.5
Mexico_City,1970s,02,12,57.2
Mexico_City,1970s,02,13,57.1
Mexico_City,1970s,02,14,58.9
Mexico_City,1970s,02,15,58.6
Mexico_City,1970s,02,16,58.6
Mexico_City,1970s,02,17,59.9
Mexico_City,1970s,02,18,62.7
Mexico_City,1970s,02,19,60.5
Mexico_City,1970s,02,20,59.1
Mexico_City,1970s,02,21,58.6
Mexico_City,1970s,02,22,56.8
Mexico_City,1970s,02,23,58.9
Mexico_City,1970s,02,24,61.1
Mexico_City,1970s,02,25,57.7
Mexico_City,1970s,02,26,56.4
Mexico_City,1970s,02,27,58.9
Mexico_City,1970s,02,28,59.1
Mexico_City,1970s,02,29,56.3
Mexico_City,1970s,03,01,60.9
Mexico_City,1970s,03,02,61.3
Mexico_City,1970s,03,03,60.2
Mexico_City,1970s,03,04,63.5
Mexico_City,1970s,03,05,63.4
Mexico_City,1970s,03,06,62.1
Mexico_City,1970s,03,07,60.2
Mexico_City,1970s,03,08,61.8
Mexico_City,1970s,03,09,60.0
Mexico_City,1970s,03,10,59.5
Mexico_City,1970s,03,11,59.0
Mexico_City,1970s,03,12,59.6
Mexico_City,1970s,03,13,63.1
Mexico_City,1970s,03,14,62.5
Mexico_City,1970s,03,15,63.8
Mexico_City,1970s,03,16,60.8
Mexico_City,1970s,03,17,59.5
Mexico_City,1970s,03,18,59.6
Mexico_City,1970s,03,19,62.9
Mexico_City,1970s,03,20,64.5
Mexico_City,1970s,03,21,65.7
Mexico_City,1970s,03,22,66.1
Mexico_City,1970s,03,23,64.7
Mexico_City,1970s,03,24,66.1
Mexico_City,1970s,03,25,65.4
Mexico_City,1970s,03,26,64.0
Mexico_City,1970s,03,27,64.7
Mexico_City,1970s,03,28,66.6
Mexico_City,1970s,03,29,64.7
Mexico_City,1970s,03,30,66.2
Mexico_City,1970s,03,31,64.8
Mexico_City,1970s,04,01,66.7
Mexico_City,1970s,04,02,65.6
Mexico_City,1970s,04,03,66.6
Mexico_City,1970s,04,04,64.8
Mexico_City,1970s,04,05,64.0
Mexico_City,1970s,04,06,60.8
Mexico_City,1970s,04,07,64.7
Mexico_City,1970s,04,08,65.4
Mexico_City,1970s,04,09,63.9
Mexico_City,1970s,04,10,61.4
Mexico_City,1970s,04,11,65.0
Mexico_City,1970s,04,12,64.5
Mexico_City,1970s,04,13,66.3
Mexico_City,1970s,04,14,65.8
Mexico_City,1970s,04,15,66.3
Mexico_City,1970s,04,16,64.5
Mexico_City,1970s,04,17,65.2
Mexico_City,1970s,04,18,66.6
Mexico_City,1970s,04,19,68.4
Mexico_City,1970s,04,20,67.7
Mexico_City,1970s,04,21,67.4
Mexico_City,1970s,04,22,67.2
Mexico_City,1970s,04,23,65.9
Mexico_City,1970s,04,24,65.7
Mexico_City,1970s,04,25,65.3
Mexico_City,1970s,04,26,65.0
Mexico_City,1970s,04,27,66.3
Mexico_City,1970s,04,28,64.3
Mexico_City,1970s,04,29,68.5
Mexico_City,1970s,04,30,66.7
Mexico_City,1970s,05,01,65.3
Mexico_City,1970s,05,02,65.8
Mexico_City,1970s,05,03,67.4
Mexico_City,1970s,05,04,67.7
Mexico_City,1970s,05,05,68.5
Mexico_City,1970s,05,06,68.0
Mexico_City,1970s,05,07,70.1
Mexico_City,1970s,05,08,68.1
Mexico_City,1970s,05,09,68.9
Mexico_City,1970s,05,10,66.3
Mexico_City,1970s,05,11,66.7
Mexico_City,1970s,05,12,64.0
Mexico_City,1970s,05,13,66.2
Mexico_City,1970s,05,14,66.8
Mexico_City,1970s,05,15,66.2
Mexico_City,1970s,05,16,66.8
Mexico_City,1970s,05,17,65.9
Mexico_City,1970s,05,18,65.9
Mexico_City,1970s,05,19,65.4
Mexico_City,1970s,05,20,66.8
Mexico_City,1970s,05,21,67.0
Mexico_City,1970s,05,22,67.4
Mexico_City,1970s,05,23,67.4
Mexico_City,1970s,05,24,66.1
Mexico_City,1970s,05,25,68.1
Mexico_City,1970s,05,26,66.2
Mexico_City,1970s,05,27,68.3
Mexico_City,1970s,05,28,65.3
Mexico_City,1970s,05,29,66.6
Mexico_City,1970s,05,30,64.7
Mexico_City,1970s,05,31,65.8
Mexico_City,1970s,06,01,67.2
Mexico_City,1970s,06,02,64.3
Mexico_City,1970s,06,03,66.6
Mexico_City,1970s,06,04,65.9
Mexico_City,1970s,06,05,66.8
Mexico_City,1970s,06,06,66.3
Mexico_City,1970s,06,07,65.2
Mexico_City,1970s,06,08,66.1
Mexico_City,1970s,06,09,67.2
Mexico_City,1970s,06,10,66.8
Mexico_City,1970s,06,11,66.7
Mexico_City,1970s,06,12,66.2
Mexico_City,1970s,06,13,67.1
Mexico_City,1970s,06,14,66.3
Mexico_City,1970s,06,15,66.5
Mexico_City,1970s,06,16,65.2
Mexico_City,1970s,06,17,66.2
Mexico_City,1970s,06,18,67.5
Mexico_City,1970s,06,19,66.7
Mexico_City,1970s,06,20,65.8
Mexico_City,1970s,06,21,64.8
Mexico_City,1970s,06,22,63.8
Mexico_City,1970s,06,23,65.3
Mexico_City,1970s,06,24,67.0
Mexico_City,1970s,06,25,65.8
