attendance,localdate,winner,matchstatus,resulttype,group_name,humidity,temperature,home_score,home_idteam,home_tactics,home_team,away_score,away_idteam,away_tactics,away_team,overallhome,overallaway,winner_team,winner_possession
67372,2022-11-20,43927,0,1,Group A,61,24,0,43834,5-3-2,Qatar,2,43927,4-4-2,Ecuador,47.088547,52.911457,away,away
45334,2022-11-21,43942,0,1,Group B,51,26,6,43942,4-3-3,England,2,43817,5-3-2,IR Iran,73.95281,26.047188,home,home
41721,2022-11-21,43960,0,1,Group A,65,24,0,43879,4-5-1,Senegal,2,43960,3-5-2,Netherlands,46.97914,53.02086,away,away
43418,2022-11-21,,0,1,Group B,71,23,1,43921,4-3-3,USA,1,43974,5-3-2,Wales,57.767494,42.232506,home,home
88012,2022-11-22,43835,0,1,Group C,47,27,1,43922,4-4-2,Argentina,2,43835,4-3-3,Saudi Arabia,65.8303,34.1697,away,home
42925,2022-11-22,,0,1,Group D,54,26,0,43941,3-5-2,Denmark,0,43888,3-4-3,Tunisia,58.82959,41.170414,home,home
39369,2022-11-22,,0,1,Group C,54,24,0,43911,4-3-3,Mexico,0,43962,4-5-1,Poland,59.273937,40.72606,home,home
40875,2022-11-22,43946,0,1,Group D,72,22,4,43946,4-3-3,France,1,43976,4-3-3,Australia,60.667618,39.332386,home,home
59407,2022-11-23,,0,1,Group F,37,27,0,43872,4-3-3,Morocco,0,43938,4-3-3,Croatia,37.27489,62.725113,home,away
42608,2022-11-23,43819,0,1,Group E,42,26,1,43948,4-5-1,Germany,2,43819,4-5-1,Japan,70.57717,29.422832,away,home
40013,2022-11-23,43969,0,1,Group E,50,24,7,43969,4-3-3,Spain,0,43901,4-4-2,Costa Rica,76.74188,23.258118,home,home
40432,2022-11-23,43935,0,1,Group F,56,22,1,43935,3-5-2,Belgium,0,43899,3-4-3,Canada,51.801487,48.198513,home,home
39089,2022-11-24,43971,0,1,Group G,19,29,1,43971,4-3-3,Switzerland,0,43849,4-3-3,Cameroon,49.21995,50.78005,home,away
41663,2022-11-24,,0,1,Group H,33,27,0,43930,4-3-3,Uruguay,0,43822,4-3-3,Korea Republic,56.546097,43.4539,home,home
42662,2022-11-24,43963,0,1,Group H,39,25,3,43963,4-3-3,Portugal,2,43860,3-5-2,Ghana,61.804947,38.195053,home,home
88103,2022-11-24,43924,0,1,Group G,45,23,2,43924,4-3-3,Brazil,0,1902465,3-4-3,Serbia,57.691895,42.30811,home,home
40875,2022-11-25,43817,0,1,Group B,37,30,0,43974,3-4-3,Wales,2,43817,4-3-3,IR Iran,59.88441,40.11559,away,home
41797,2022-11-25,43879,0,1,Group A,45,28,1,43834,5-3-2,Qatar,3,43879,4-4-2,Senegal,46.171757,53.82824,away,away
44833,2022-11-25,,0,1,Group A,57,26,1,43960,3-5-2,Netherlands,1,43927,3-4-3,Ecuador,54.645405,45.354595,home,home
68463,2022-11-25,,0,1,Group B,66,25,0,43942,4-3-3,England,0,43921,4-3-3,USA,54.3105,45.689503,home,home
41823,2022-11-26,43976,0,1,Group D,32,31,0,43888,3-4-3,Tunisia,1,43976,4-4-2,Australia,54.396664,45.603336,away,home
44259,2022-11-26,43962,0,1,Group C,47,29,2,43962,4-5-1,Poland,0,43835,4-5-1,Saudi Arabia,37.850975,62.149025,home,away
42860,2022-11-26,43946,0,1,Group D,57,27,2,43946,4-5-1,France,1,43941,3-4-3,Denmark,49.496117,50.503883,home,away
88966,2022-11-26,43922,0,1,Group C,71,24,2,43922,4-4-2,Argentina,0,43911,5-3-2,Mexico,56.41668,43.58332,home,home
41479,2022-11-27,43901,0,1,Group E,29,32,0,43819,4-5-1,Japan,1,43901,3-6-1,Costa Rica,55.291958,44.70804,away,home
43738,2022-11-27,43872,0,1,Group F,39,30,0,43935,3-4-3,Belgium,2,43872,4-3-3,Morocco,63.172985,36.82701,away,home
44374,2022-11-27,43938,0,1,Group F,49,26,4,43938,4-3-3,Croatia,1,43899,4-4-2,Canada,46.79108,53.20892,home,away
68895,2022-11-27,,0,1,Group E,69,24,1,43969,4-3-3,Spain,1,43948,4-5-1,Germany,59.234337,40.765663,home,home
39789,2022-11-28,,0,1,Group G,40,31,3,43849,4-3-3,Cameroon,3,1902465,3-4-3,Serbia,43.9339,56.0661,home,away
43983,2022-11-28,43860,0,1,Group H,47,29,2,43822,4-5-1,Korea Republic,3,43860,4-5-1,Ghana,59.712807,40.287193,away,home
43649,2022-11-28,43924,0,1,Group G,61,26,1,43924,4-3-3,Brazil,0,43971,4-5-1,Switzerland,54.173,45.827003,home,home
88668,2022-11-28,43963,0,1,Group H,71,24,2,43963,4-3-3,Portugal,0,43930,5-3-2,Uruguay,59.59752,40.40248,home,home
66784,2022-11-29,43960,0,1,Group A,71,26,2,43960,3-5-2,Netherlands,0,43834,5-3-2,Qatar,59.32088,40.67912,home,home
44569,2022-11-29,43879,0,1,Group A,71,25,1,43927,4-3-3,Ecuador,2,43879,4-3-3,Senegal,57.61576,42.38424,away,home
44297,2022-11-29,43942,0,1,Group B,75,24,0,43974,4-5-1,Wales,3,43942,4-3-3,England,38.070805,61.929195,away,away
42127,2022-11-29,43921,0,1,Group B,75,24,0,43817,4-5-1,IR Iran,1,43921,4-3-3,USA,47.34187,52.65813,away,away
41232,2022-11-30,43976,0,1,Group D,70,26,1,43976,4-4-2,Australia,0,43941,4-3-3,Denmark,34.35205,65.64795,home,away
43627,2022-11-30,43888,0,1,Group D,70,26,1,43888,3-4-3,Tunisia,0,43946,4-3-3,France,37.086407,62.91359,home,away
44089,2022-11-30,43922,0,1,Group C,71,24,0,43962,4-5-1,Poland,2,43922,4-3-3,Argentina,30.383383,69.616615,away,away
