stat,value,team_name,team_id
Assists,8.0,Argentina,43922
Goalkeeper defensive actions inside penalty area,110.0,Argentina,43922
Red cards,0.0,Argentina,43922
Attempt at goal outside the penalty area,35.0,Argentina,43922
Free kicks,123.0,Argentina,43922
Distance walking,334463.0,Argentina,43922
Distance jogging,331628.0,Argentina,43922
Attempted ball progressions,173.0,Argentina,43922
Attempt at goal from free kicks,3.0,Argentina,43922
Linebreaks attempted completed,935.0,Argentina,43922
Throw ins,151.0,Argentina,43922
Attempt at goal inside the penalty area on target,36.0,Argentina,43922
Attempt at goal inside the penalty area,69.0,Argentina,43922
Linebreaks attempted under pressure,825.0,Argentina,43922
Indirect free kicks,7.0,Argentina,43922
Received offers to receive,1827.0,Argentina,43922
Attempt at goal on target,48.0,Argentina,43922
Attempt at goal blocked,8.0,Argentina,43922
Direct defensive pressures applied,332.0,Argentina,43922
Fouls for,113.0,Argentina,43922
Final third entries reception right channel,101.0,Argentina,43922
Substitutions in,36.0,Argentina,43922
Linebreaks attempted,1335.0,Argentina,43922
Completed switches of play,38.0,Argentina,43922
Crosses,115.0,Argentina,43922
Goals from direct free kicks,0.0,Argentina,43922
Fouls against,100.0,Argentina,43922
Linebreaks completed midfield and defensive line,55.0,Argentina,43922
Take ons completed,28.0,Argentina,43922
Clean sheets,3.0,Argentina,43922
Attempt at goal against,43.0,Argentina,43922
Linebreaks attempted midfield line completed,499.0,Argentina,43922
Penalties scored,4.0,Argentina,43922
Final third entries reception central channel,53.0,Argentina,43922
Direct free kicks,116.0,Argentina,43922
Total distance,827188.0,Argentina,43922
Receptions under indirect pressure,1530.0,Argentina,43922
Distance low speed sprinting,45687.0,Argentina,43922
Goals inside the penalty area,14.0,Argentina,43922
Goals conceded from attempt at goal against,0.0,Argentina,43922
Attempt at goal off target,42.0,Argentina,43922
Receptions under pressure,1667.0,Argentina,43922
Offers to receive inside,2107.0,Argentina,43922
Own goals,1.0,Argentina,43922
Defensive pressures applied,1688.0,Argentina,43922
Goals,15.0,Argentina,43922
Headed attempt at goal,11.0,Argentina,43922
Penalties,5.0,Argentina,43922
Linebreaks completed attacking and midfield line,174.0,Argentina,43922
Distance high speed running,98287.0,Argentina,43922
Attempt at goal,104.0,Argentina,43922
Distributions completed under pressure,1987.0,Argentina,43922
Offers to receive in behind,888.0,Argentina,43922
Linebreaks attempted all lines,64.0,Argentina,43922
Goals conceded,8.0,Argentina,43922
Receptions under direct pressure,137.0,Argentina,43922
Goal kicks,39.0,Argentina,43922
Attempt at goal outside the penalty area on target,12.0,Argentina,43922
Attempted switches of play,44.0,Argentina,43922
Matches played,7.0,Argentina,43922
Yellow cards,16.0,Argentina,43922
Linebreaks attempted attacking line,459.0,Argentina,43922
Forced turnovers,494.0,Argentina,43922
Goalkeeper defensive actions outside penalty area,1.0,Argentina,43922
Goals outside the penalty area,1.0,Argentina,43922
Offers to receive total,4595.0,Argentina,43922
Final third entries reception inside right channel,42.0,Argentina,43922
Linebreaks attempted midfield line,705.0,Argentina,43922
Final third entries reception left channel,90.0,Argentina,43922
Offers to receive in between,1710.0,Argentina,43922
