attendance,idmatch,matchday,hometeamscore,awayteamscore,hometeampenaltyscore,awayteampenaltyscore,winner,matchstatus,resulttype,matchnumber,group_name,home_team,away_team,stage_name,local_date,local_time,pst_date,pst_time,humidity,temperature,windspeed,type,description,stadium_name,overallhome,overallaway
67372,400128082,,0,2,0,0,43927,0,1,1,Group A,QAT,ECU,First stage,2022-11-20,16:00:00,2022-11-20,08:00:00,61,24,8,10,Clear Night,Al Bayt Stadium,47.09,52.91
45334,400235458,,6,2,0,0,43942,0,1,3,Group B,ENG,IRN,First stage,2022-11-21,13:00:00,2022-11-21,05:00:00,51,26,6,7,Sunny,Khalifa International Stadium,73.95,26.05
41721,400235449,,0,2,0,0,43960,0,1,2,Group A,SEN,NED,First stage,2022-11-21,16:00:00,2022-11-21,08:00:00,65,24,5,10,Clear Night,Al Thumama Stadium,46.98,53.02
43418,400235455,,1,1,0,0,,0,1,4,Group B,USA,WAL,First stage,2022-11-21,19:00:00,2022-11-21,11:00:00,71,23,4,10,Clear Night,Ahmad Bin Ali Stadium,57.77,42.23
88012,400235461,,1,2,0,0,43835,0,1,8,Group C,ARG,KSA,First stage,2022-11-22,10:00:00,2022-11-22,02:00:00,47,27,3,7,Sunny,Lusail Stadium,65.83,34.17
42925,400235466,,0,0,0,0,,0,1,6,Group D,DEN,TUN,First stage,2022-11-22,13:00:00,2022-11-22,05:00:00,54,26,2,7,Sunny,Education City Stadium,58.83,41.17
39369,400235463,,0,0,0,0,,0,1,7,Group C,MEX,POL,First stage,2022-11-22,16:00:00,2022-11-22,08:00:00,54,24,2,10,Clear Night,Stadium 974,59.27,40.73
40875,400235470,,4,1,0,0,43946,0,1,5,Group D,FRA,AUS,First stage,2022-11-22,19:00:00,2022-11-22,11:00:00,72,22,2,10,Clear Night,Al Janoub Stadium,60.67,39.33
59407,400235481,,0,0,0,0,,0,1,12,Group F,MAR,CRO,First stage,2022-11-23,10:00:00,2022-11-23,02:00:00,37,27,3,7,Sunny,Al Bayt Stadium,37.27,62.73
42608,400235476,,1,2,0,0,43819,0,1,11,Group E,GER,JPN,First stage,2022-11-23,13:00:00,2022-11-23,05:00:00,42,26,3,7,Sunny,Khalifa International Stadium,70.58,29.42
40013,400235472,,7,0,0,0,43969,0,1,10,Group E,ESP,CRC,First stage,2022-11-23,16:00:00,2022-11-23,08:00:00,50,24,2,10,Clear Night,Al Thumama Stadium,76.74,23.26
40432,400235477,,1,0,0,0,43935,0,1,9,Group F,BEL,CAN,First stage,2022-11-23,19:00:00,2022-11-23,11:00:00,56,22,1,10,Clear Night,Ahmad Bin Ali Stadium,51.8,48.2
39089,400235488,,1,0,0,0,43971,0,1,13,Group G,SUI,CMR,First stage,2022-11-24,10:00:00,2022-11-24,02:00:00,19,29,2,4,Partly Cloudy,Al Janoub Stadium,49.22,50.78
