id,title,street,city,state,postal_code,latitude,longitude,phone
93,Aliso Viejo (Temp Hrs),26741 Aliso Creek Rd #D,Aliso Viejo,CA,92656,33.5743603,-117.7256999,(949) 389-9399
113,"Austin, TX (temporarily Closed)",96 Rainey Street,Austin,TX,78701,30.2608129,-97.7382116,
82,Boulder,2790 Pearl Street,Boulder,CO,80301,40.021868,-105.258716,(303) 473-9072
87,Costa Mesa Bristol St (Temp Hrs),3000 Bristol St,Costa Mesa,CA,92626,33.6803383,-117.885316,(714) 435-0130
86,Costa Mesa Placentia Ave (Temp Hrs),1862 Placentia Ave,Costa Mesa,CA,92627,33.6421361,-117.9317195,(949) 631-3433
110,Crypto.com Arena,Near Section 117,Los Angeles,CA,90015,34.0390107,-118.2672801,
80,Denver,1233 South Colorado Blvd,Denver,CO,80246,39.6944068,-104.94103,(720) 974-7470
99,Encinitas (Temp Hrs),1006 N. El Camino Real #C,Encinitas,CA,92024,33.064349,-117.2640752,(760) 753-5060
104,Fashion Island (Temp Hrs),"401 Newport Center Drive, #A101",Newport Beach,CA,92660,33.6161555,-117.8751234,(949) 760-0290
98,Foothill Ranch  (Temp Hrs),27412 Portola Pkwy Unit A,Lake Forest,CA,92610,33.6714059,-117.65295,(949) 639-0344
66,Fresno - Campus Pointe,3053 E. Campus Pointe Dr.,Fresno,CA,93740,36.8120913,-119.7349178,(559) 322-1982
97,Fullerton (Temp Hrs),444 N. Harbor Blvd #100,Fullerton,CA,92832,33.8736217,-117.9239058,(714) 525-4110
71,Henderson - Black Mountain (Temp Hrs),76 Horizon Ridge Pkwy #C-100 A & B,Henderson,NV,89012,36.0138654,-114.9928066,(702) 567-1033
115,Henderson - Eastern Ave - Open 24 hrs,"10430 S. Eastern Ave, Henderson",Henderson,NV,89052,36.00159790000001,-115.106971,702-463-4113
76,Highlands Ranch,870 CPL Max Donahue Lane #C,Highlands Ranch,CO,80129,39.549055,-104.9992656,(720) 344-6049
63,Huntington Beach - Warner Ave (Temp Hrs),7891 Warner Ave,Huntington Beach,CA,92647,33.7161233,-117.9908399,(714) 847-0555
103,Huntington Beach Main St,120 Main Street,Huntington Beach,CA,92648,33.6576656,-118.0012594,(714) 536-2050
92,Irvine (Temp Hrs),2967 Michelson #F,Irvine,CA,92612,33.6724068,-117.8466656,(949) 253-9532
100,Irvine Spectrum (Temp Hrs),715 Spectrum Center Dr,Irvine,CA,92618,33.6500193,-117.7418266,(949) 753-0251
88,Laguna Beach,"1133 Pacific Coast Highway, S Coast Hwy",Laguna Beach,CA,92651,33.5338275,-117.7770167,(949) 497-0033
89,Lake Forest (Temp Hrs),23572 El Toro Rd Ste D,Lake Forest,CA,92630,33.620006,-117.7006358,(949) 830-7386
78,Lakewood,280 S. Union Blvd,Lakewood,CO,80228,39.7114388,-105.1328721,(303) 202-9978
70,Las Vegas - Boca Park (Temp Hrs),1000 S. Rampart #21,Las Vegas,NV,89145,36.1604854,-115.289963,(702) 776-7600
73,Las Vegas - Centennial Hills (Temp Hrs),7930 W Tropical Pkwy #120,Las Vegas,NV,89149,36.2709431,-115.2681725,(702) 724-9801
69,Las Vegas - Sunset - Open 24 hrs,7020 W. Sunset Rd.,Las Vegas,NV,89113,36.0708554,-115.244908,(702) 399-1665
72,Las Vegas - West Flamingo - Open 24 hrs,3891 West Flamingo,Las Vegas,NV,89103,36.11514,-115.19223,(702) 929-3300
109,LAX,Terminal 6,Los Angeles,CA,90045,33.942638,-118.4021726,
107,Long Beach Exchange (Temp Hrs),"4201 McGowen, Suite 205",Long Beach,CA,90808,33.8305976,-118.1440402,(562) 354-2121
111,Long Beach Marketplace (Temp Hrs),6449 Pacific Coast Hwy,Long Beach,CA,90803,33.7566475,-118.1098293,(562) 430-7034
75,Longmont,1087 S. Hover Road Unit C,Longmont,CO,80501,40.1471924,-105.1319152,(303) 776-5625
64,Los Alamitos (Temp Hrs),10931 Los Alamitos Blvd,Los Alamitos,CA,90720,33.8037285,-118.0723499,(562) 598-0080
85,New Jersey,1147 NJ-35,Middletown,NJ,7748,40.3987716,-74.1103121,(732) 671-8226
