name,population,code
ZCTA5 29590,3543,29590
ZCTA5 93306,74296,93306
ZCTA5 93660,4082,93660
ZCTA5 93110,15777,93110
ZCTA5 93212,22596,93212
ZCTA5 14895,8957,14895
ZCTA5 14006,9823,14006
ZCTA5 67514,963,67514
ZCTA5 67844,744,67844
ZCTA5 67861,1942,67861
ZCTA5 67212,44396,67212
ZCTA5 67567,654,67567
ZCTA5 67576,2067,67576
ZCTA5 45237,22104,45237
ZCTA5 45788,1176,45788
ZCTA5 45819,285,45819
ZCTA5 83824,337,83824
ZCTA5 83641,3720,83641
ZCTA5 83312,74,83312
ZCTA5 85016,35627,85016
ZCTA5 85029,47541,85029
ZCTA5 85325,1281,85325
ZCTA5 85701,5279,85701
ZCTA5 85015,44010,85015
ZCTA5 84028,573,84028
ZCTA5 84106,35166,84106
ZCTA5 84003,51917,84003
ZCTA5 84014,17527,84014
ZCTA5 84115,27627,84115
ZCTA5 84064,1007,84064
ZCTA5 84032,24229,84032
ZCTA5 84108,21864,84108
ZCTA5 84601,33771,84601
ZCTA5 93001,31729,93001
ZCTA5 93234,7258,93234
ZCTA5 93307,86273,93307
ZCTA5 93536,68575,93536
ZCTA5 93546,9750,93546
ZCTA5 93669,320,93669
ZCTA5 93701,10398,93701
ZCTA5 93664,370,93664
ZCTA5 93218,827,93218
ZCTA5 93260,244,93260
ZCTA5 93612,35475,93612
ZCTA5 93621,118,93621
ZCTA5 14031,10158,14031
ZCTA5 67210,10001,67210
ZCTA5 67219,12240,67219
ZCTA5 67515,45,67515
ZCTA5 67522,1942,67522
ZCTA5 67867,1752,67867
ZCTA5 67871,4939,67871
ZCTA5 67220,13004,67220
ZCTA5 67226,20926,67226
ZCTA5 67230,11121,67230
ZCTA5 67601,24020,67601
ZCTA5 67635,156,67635
ZCTA5 13420,1064,13420
ZCTA5 13602,4383,13602
ZCTA5 13635,1108,13635
ZCTA5 13642,10055,13642
ZCTA5 13654,2603,13654
ZCTA5 13656,2834,13656
ZCTA5 13659,382,13659
ZCTA5 13660,1641,13660
ZCTA5 13669,15870,13669
ZCTA5 52060,8107,52060
ZCTA5 52064,846,52064
ZCTA5 52077,317,52077
ZCTA5 52144,1026,52144
ZCTA5 52159,2412,52159
ZCTA5 52160,1003,52160
ZCTA5 52041,1886,52041
ZCTA5 52163,352,52163
ZCTA5 52172,6051,52172
ZCTA5 52201,1541,52201
ZCTA5 52206,2644,52206
ZCTA5 52222,531,52222
ZCTA5 52241,21473,52241
ZCTA5 52246,23233,52246
ZCTA5 52253,2966,52253
ZCTA5 52301,3493,52301
ZCTA5 52307,89,52307
ZCTA5 52316,1665,52316
ZCTA5 52066,67,52066
ZCTA5 52166,93,52166
ZCTA5 52211,2435,52211
ZCTA5 52219,165,52219
ZCTA5 52314,5827,52314
ZCTA5 52359,204,52359
ZCTA5 52560,229,52560
ZCTA5 52318,950,52318
ZCTA5 52338,3672,52338
ZCTA5 52342,3005,52342
ZCTA5 52354,315,52354
ZCTA5 52401,2173,52401
ZCTA5 52501,29613,52501
ZCTA5 52306,1436,52306
ZCTA5 52356,2600,52356
ZCTA5 52655,3978,52655
ZCTA5 52212,258,52212
ZCTA5 52313,237,52313
ZCTA5 52355,328,52355
ZCTA5 52158,250,52158
ZCTA5 52345,1462,52345
ZCTA5 52349,7765,52349
ZCTA5 60062,39917,60062
ZCTA5 60074,37632,60074
ZCTA5 60085,71265,60085
ZCTA5 60097,10727,60097
ZCTA5 60104,18799,60104
ZCTA5 60113,309,60113
ZCTA5 60120,50319,60120
ZCTA5 01079,515,01079
ZCTA5 01086,351,01086
ZCTA5 01093,295,01093
ZCTA5 01094,428,01094
ZCTA5 01097,93,01097
ZCTA5 01199,0,01199
ZCTA5 01224,163,01224
ZCTA5 01229,59,01229
ZCTA5 01243,258,01243
ZCTA5 01260,191,01260
ZCTA5 01270,897,01270
ZCTA5 01343,78,01343
ZCTA5 01347,139,01347
ZCTA5 01354,1732,01354
ZCTA5 01434,2007,01434
ZCTA5 01525,309,01525
ZCTA5 01561,102,01561
ZCTA5 01901,2370,01901
ZCTA5 01937,182,01937
ZCTA5 01089,28527,01089
ZCTA5 01259,617,01259
ZCTA5 01507,13610,01507
ZCTA5 01581,19035,01581
ZCTA5 22712,8209,22712
ZCTA5 22714,1027,22714
ZCTA5 22443,8906,22443
ZCTA5 22454,1968,22454
ZCTA5 22473,5013,22473
ZCTA5 22553,15960,22553
ZCTA5 22560,6269,22560
ZCTA5 73014,1623,73014
ZCTA5 73016,2377,73016
ZCTA5 73018,20352,73018
ZCTA5 43212,22181,43212
ZCTA5 43214,26917,43214
ZCTA5 43215,14950,43215
ZCTA5 43223,27458,43223
ZCTA5 43229,56760,43229
ZCTA5 43231,23202,43231
ZCTA5 43232,46914,43232
ZCTA5 43235,44158,43235
ZCTA5 43302,54413,43302
ZCTA5 43138,18619,43138
ZCTA5 43144,382,43144
ZCTA5 43240,4543,43240
ZCTA5 43310,3144,43310
ZCTA5 43324,2783,43324
ZCTA5 43342,3531,43342
ZCTA5 43345,1013,43345
ZCTA5 43347,1344,43347
ZCTA5 43359,814,43359
ZCTA5 43408,398,43408
ZCTA5 43450,3539,43450
ZCTA5 43451,1177,43451
ZCTA5 43460,6483,43460
ZCTA5 92394,34836,92394
ZCTA5 92544,50392,92544
ZCTA5 92067,8968,92067
