name,url,letter,height,height_display,height_cm,height_inches,name_gender,rank_for_gender
Aaliyah,https://www.celebheights.com/s/-Aaliyah-1123.html,A,5ft 5 (165cm),5ft 5 ,165.0,64.96,female,2784.0
Quinton Aaron,https://www.celebheights.com/s/Quinton-Aaron-47901.html,A,6ft 7 ½ (202cm),6ft 7 ½ ,202.0,79.53,male,5486.0
Bonnie Aarons,https://www.celebheights.com/s/Bonnie-Aarons-51286.html,A,5ft 7 ½ (171cm),5ft 7 ½ ,171.0,67.32,mostly_female,428.0
Hiam Abbass,https://www.celebheights.com/s/Hiam-Abbass-7169.html,A,5ft 5 (165cm),5ft 5 ,165.0,64.96,female,2784.0
Amanda Abbington,https://www.celebheights.com/s/Amanda-Abbington-5456.html,A,5ft 4 ½ (164cm),5ft 4 ½ ,164.0,64.57,female,2254.0
Russ Abbot,https://www.celebheights.com/s/Russ-Abbot-50121.html,A,6ft 2 (188cm),6ft 2 ,188.0,74.02,male,4729.0
Christopher Abbott,https://www.celebheights.com/s/Christopher-Abbott-6082.html,A,5ft 11 ½ (182cm),5ft 11 ½ ,182.0,71.65,male,3373.0
Tony Abbott,https://www.celebheights.com/s/Tony-Abbott-48757.html,A,5ft 10 (178cm),5ft 10 ,178.0,70.08,male,2475.0
Barkhad Abdi,https://www.celebheights.com/s/Barkhad-Abdi-50630.html,A,5ft 9 ¾ (177cm),5ft 9 ¾ ,177.0,69.69,unknown,1131.0
Kate Abdo,https://www.celebheights.com/s/Kate-Abdo-49693.html,A,5ft 5 ½ (166cm),5ft 5 ½ ,166.0,65.35,female,3063.0
Paula Abdul,https://www.celebheights.com/s/Paula-Abdul-86.html,A,5ft 0 (152cm),5ft 0 ,152.0,59.84,female,164.0
Kareem Abdul Jabbar,https://www.celebheights.com/s/Kareem-Abdul-Jabbar-46957.html,A,7ft 1 ⅞ (218cm),7ft 1 ⅞ ,218.0,85.83,male,5539.0
Yahya Abdul-Mateen II,https://www.celebheights.com/s/Yahya-Abdul-Mateen-II-51764.html,A,6ft 1 ¾ (187cm),6ft 1 ¾ ,187.0,73.62,male,4473.0
ShinzÅ Abe,https://www.celebheights.com/s/Shinzo-Abe-51080.html,A,5ft 8 ⅞ (175cm),5ft 8 ⅞ ,175.0,68.9,unknown,1085.0
Danny A. Abeckaser,https://www.celebheights.com/s/Danny-A-Abeckaser-53046.html,A,5ft 6 (168cm),5ft 6 ,168.0,66.14,male,579.0
Jake Abel,https://www.celebheights.com/s/Jake-Abel-48656.html,A,6ft  ¾ in (185cm),6ft  ¾ in ,185.0,72.83,male,4265.0
Marisa Abela,https://www.celebheights.com/s/Marisa-Abela-52589.html,A,5ft 5 (165cm),5ft 5 ,165.0,64.96,female,2784.0
Raymond Ablack,https://www.celebheights.com/s/Raymond-Ablack-7669.html,A,5ft 11 ¾ (182cm),5ft 11 ¾ ,182.0,71.65,male,3373.0
F. Murray Abraham,https://www.celebheights.com/s/F-Murray-Abraham-1806.html,A,5ft 10 (178cm),5ft 10 ,178.0,70.08,unknown,1187.0
John Abraham,https://www.celebheights.com/s/John-Abraham-48837.html,A,5ft 11 ½ (182cm),5ft 11 ½ ,182.0,71.65,male,3373.0
Tammy Abraham,https://www.celebheights.com/s/Tammy-Abraham-52070.html,A,6ft 4 (193cm),6ft 4 ,193.0,75.98,female,5616.0
Jon Abrahams,https://www.celebheights.com/s/Jon-Abrahams-50727.html,A,5ft 6 (168cm),5ft 6 ,168.0,66.14,male,579.0
Zaraah Abrahams,https://www.celebheights.com/s/Zaraah-Abrahams-7765.html,A,5ft 2 ½ (159cm),5ft 2 ½ ,159.0,62.6,unknown,181.0
Austin Abrams,https://www.celebheights.com/s/Austin-Abrams-52126.html,A,5ft 7 ½ (171cm),5ft 7 ½ ,171.0,67.32,male,1015.0
J.J. Abrams,https://www.celebheights.com/s/JJ-Abrams-4982.html,A,5ft 7 (170cm),5ft 7 ,170.0,66.93,unknown,840.0
Stephanie Abrams,https://www.celebheights.com/s/Stephanie-Abrams-50471.html,A,5ft 7 ¾ (172cm),5ft 7 ¾ ,172.0,67.72,female,4579.0
Susie Abromeit,https://www.celebheights.com/s/Susie-Abromeit-49116.html,A,5ft 7 (170cm),5ft 7 ,170.0,66.93,female,4377.0
Joe Absolom,https://www.celebheights.com/s/Joe-Absolom-50366.html,A,5ft 11 ¾ (182cm),5ft 11 ¾ ,182.0,71.65,male,3373.0
Omid Abtahi,https://www.celebheights.com/s/Omid-Abtahi-7352.html,A,5ft 6 ¾ (170cm),5ft 6 ¾ ,170.0,66.93,mostly_male,163.0
Kirk Acevedo,https://www.celebheights.com/s/Kirk-Acevedo-48518.html,A,5ft 8 ¾ (175cm),5ft 8 ¾ ,175.0,68.9,male,1812.0
Amrita Acharia,https://www.celebheights.com/s/Amrita-Acharia-47764.html,A,5ft  ½ in (154cm),5ft  ½ in ,154.0,60.63,female,223.0
Amy Acker,https://www.celebheights.com/s/Amy-Acker-217.html,A,5ft 7 (170cm),5ft 7 ,170.0,66.93,female,4377.0
Naomi Ackie,https://www.celebheights.com/s/Naomi-Ackie-51268.html,A,5ft 6 (168cm),5ft 6 ,168.0,66.14,female,3683.0
Joss Ackland,https://www.celebheights.com/s/Joss-Ackland-2569.html,A,6ft 0 (183cm),6ft 0 ,183.0,72.05,male,3729.0
Danneel Ackles,https://www.celebheights.com/s/Danneel-Ackles-47337.html,A,5ft 6 (168cm),5ft 6 ,168.0,66.14,unknown,695.0
Jensen Ackles,https://www.celebheights.com/s/Jensen-Ackles-1816.html,A,6ft 0 (183cm),6ft 0 ,183.0,72.05,unknown,1355.0
Allegra Acosta,https://www.celebheights.com/s/Allegra-Acosta-7391.html,A,5ft 6 (168cm),5ft 6 ,168.0,66.14,female,3683.0
Anabelle Acosta,https://www.celebheights.com/s/Anabelle-Acosta-5965.html,A,5ft 6 ¾ (170cm),5ft 6 ¾ ,170.0,66.93,female,4377.0
Jason AcuÃ±a,https://www.celebheights.com/s/Jason-Acuna-6763.html,A,4ft 3 ½ (131cm),4ft 3 ½ ,131.0,51.57,male,11.0
