id,address,latitude,longitude,title,link,phone,state
1464,"4801 Beltline Rd. Addison, TX 75254",32.9546977,-96.8294263,"Addison, Dallas TX",texas/60-addison/,(972) 764-0844,TX
1459,"1008 W McDermott Dr. Suite 100 Allen, TX 75013",33.1013975,-96.6874959,"Allen, TX",texas/44-allen/,(469) 675-2266,TX
1362,"355 E Altamonte Drive #100 Altamonte Springs, FL 32701",28.6636289,-81.3806041,"Altamonte Springs, FL",florida/228-altamonte-springs/,(407)-834-0752,FL
1325,"4340 E Indian School Rd. Bldg. A Suite 23 Phoenix, AZ 85018",33.4954758,-111.9881878,"Arcadia, Phoenix, AZ",arizona/2-arcadia/,(602) 956-2300,AZ
2548,"1290 S Normal Ave, Tempe, AZ",33.4176351,-111.9344268,"Arizona State University, AZ",arizona/30012-arizona-state-university/,,AZ
1322,"20004 N 67th Ave, Glendale, AZ 85308",33.66594313060228,-112.20407724380493,"Arrowhead, Glendale, AZ",arizona/14-arrowhead/,(623) 825-9949,AZ
1360,"18801 Biscayne Blvd., Suite B Miami, FL 33180",25.9500602,-80.1464858,"Aventura, Miami, FL",florida/222-aventura/,(305) 935-2230,FL
1140,"1619 North Dysart Rd. Suite 101 Avondale, AZ 85323",33.4656065,-112.3401568,"Avondale, AZ",arizona/114-avondale/,(623) 535-9830,AZ
1601,"13855 Conlan Circle Suite J Charlotte, NC 28277",35.055393,-80.8516606,"Ballantyne, Charlotte, NC",north-carolina/95-ballantyne/,(704) 543-1121,NC
1795,"11398 Bandera Rd. Building 1, Suite 101 San Antonio, TX 78250",29.550525,-98.66196459999999,"Bandera Oaks, San Antonio, TX",texas/112-bandera-oaks/,(210) 523-0040,TX
1139,"267 E Bell Rd suite 1, Phoenix, AZ 85022",33.6398764,-112.0703404,"Bell Town Plaza, Phoenix, AZ",arizona/111-bell-town-plaza/,(602) 707-2800,AZ
1784,"1841 Belle Isle Blvd. Oklahoma City, OK 73118",35.5245043,-97.54116839999999,"Belle Isle, Oklahoma City, OK",oklahoma/71-belle-isle/,(405) 767-9001,OK
1369,"9982 Glades Rd, Suite G5 Boca Raton, FL 33434",26.3672339,-80.20241310000002,"Boca Raton, FL",florida/256-boca-raton/,(561)483-7067,FL
2551,"175 William F McClellan Highway, Boston, MA 02128",42.3859398,-71.016161,"Boston-Logan Int Airport, MA",massachusetts/30019-boston-logan-international-airport/,,MA
1377,"1750 N Congress Ave. 700 Boynton Beach, FL 33426",26.5414594,-80.0902534,"Boynton Beach, FL",florida/80-boynton-beach/,(561) 364-1830,FL
1790,"101 Creekside Crossing Suite 1800 Brentwood, TN 37027",36.0369114,-86.7988293,"Brentwood, TN",tennessee/92-brentwood/,(615) 514-4990,TN
1389,"10251 Little Brier Creek Ln. Suite 112 Raleigh, NC 27617",35.9114271,-78.7851187,"Brier Creek, Raleigh, NC",north-carolina/108-brier-creek/,(919) 484-4113,NC
1776,"4609 W Kenosha St. Broken Arrow, OK 74012",36.06052,-95.84721599999999,"Broken Arrow, OK",oklahoma/117-broken-arrow/,(918) 250-8557,OK
1777,"3535 S Peoria Tulsa, OK 74105",36.1123357,-95.9753308,"Brookside, Tulsa, OK",oklahoma/137-brookside/,(918) 749-6083,OK
1385,"10830 W Charleston Blvd. Suite 110 Las Vegas, NV 89135",36.1611213,-115.3314004,"Canyon Pointe, Las Vegas, NV",nevada/45-canyon-pointe/,(702) 233-4692,NV
1138,"7131 W Ray Rd. Bldg. 1 Suite 3 Chandler, AZ 85226",33.3181459,-111.9657564,"Casa Paloma, Chandler, AZ",arizona/1-casa-paloma/,(480) 940-3800,AZ
1336,"633 W Ina Rd, Tucson, AZ 85704",32.33672670000001,-110.9790671,"Casas Adobes, Tucson, AZ",arizona/82-casas-adobes/,(520) 297-3238,AZ
1317,"4600 S.H. 121, Suite 120 Lewisville, TX 75056",33.063807,-96.8905432,"Castle Hills, Lewisville, TX",texas/251-castle-hills/,(214)494-6150,TX
1370,"6250 W Irlo Bronson Memorial Hwy Celebration, FL 34747",28.3321447,-81.5326074,"Celebration, FL",florida/258-celebration/,(407)566-8488,FL
1463,"19411-A Gulf Freeway Webster, TX 77598",29.5423934,-95.1403156,"Clearlake, Webster, TX",texas/58-clearlake/,(281) 554-9876,TX
1376,"3011 E Colonial Dr. Suite B Orlando, FL 32803",28.5537641,-81.3461722,"Colonial Marketplace, Orlando, FL",florida/76-colonial/,(407) 563-8777,FL
1350,"7148 N Academy Blvd. Colorado Springs, CO 80920",38.93618319999999,-104.7985202,"Colorado Springs, CO",colorado/52-colorado-springs-north/,(719) 260-9922,CO
1364,"2283 SW 37th Ave Miami, FL 33145",25.7492362,-80.25434829999999,"Coral Gables, Miami, FL",florida/240-coral-gables/,(305) 444-1370,FL
1371,"3112 University Drive, Bldg A Coral Springs, FL 33065",26.2689622,-80.2508197,"Coral Springs, FL",florida/262-coral-springs/,(954)-346-1055,FL
1388,"10420 Coors Bypass NW Suite 1B Albuquerque, NM 87114",35.2067451,-106.6577254,"Cottonwood, Albuquerque, NM",new-mexico/98-cottonwood/,(505) 897-4811,NM
1788,"2257 N Germantown Pkwy. Suite 110 Cordova, TN 38016",35.1868033,-89.79327819999999,"Countrywood Memphis, Cordova, TN",tennessee/165-countrywood-memphis/,(901) 382-1822,TN
1384,"11430 Olive Blvd, Creve Coeur, MO 63141",38.6707832,-90.4333528,"Creve Coeur, MO",missouri/107-creve-coeur/,(314) 656-2004,MO
1367,"1831 S. Federal Hwy. #300 Delray Beach, FL 33483",26.4386063,-80.0713468,"Delray Beach, FL",florida/250-delray-beach/,(561) 279-4424,FL
2555,"601 Rogell Dr Suite 4007 Detroit, MI 48424",42.2258896,-83.3485255,"Detroit Metro Airport, MI",michigan/30022-detroit-int-airport/,,MI
724,"22000 Dulles Retail Plaza suite 190, Dulles, VA 20166",39.006986,-77.4361286,"Dulles, VA",virginia/123-dulles/,(703) 421-5590,VA
1785,"1141 E 2nd St. Suite 100-A Edmond, OK 73034",35.65403000000001,-97.46490639999999,"Edmond, OK",oklahoma/96-edmond/,(405) 341-6850,OK
1798,"7500 N Mesa St. Suite 101 El Paso, TX 79912",31.8388367,-106.563618,"El Paso North, TX",texas/154-el-paso-north/,(915) 581-8540,TX
2550,"100 Campus Drive, Elon, NC 27244",36.105395,-79.50493999999999,"Elon University, NC",north-carolina/30018-elon-university/,,NC
2573,"2511 TX-121, Euless, TX 76039",32.8735316,-97.1011168,"Euless, TX",texas/286-euless/,(972) 426-5500,TX
1814,"4461 Market Commons Dr, Fairfax, VA 22033",38.8583763,-77.3763359,"Fairfax/Fair Lakes, VA",virginia/115-fairfax/,(703) 803-4466,VA
1445,"28902 Highway 290, Suite J-05 Cypress, TX 77433",29.992803,-95.75054899999999,"Fairfield Town Center, Cypress, TX",texas/270-fairfield-town-center/,(281) 758-4154,TX
1792,"4170 Lavon Dr. Garland, TX 75040",32.9552952,-96.61680419999999,"Firewheel, Garland, TX",texas/102-firewheel/,(972) 202-5490,TX
4476,"4640 Long Prairie Rd, Flower Mound, TX 75028",33.0488457,-97.0691299,"Flower Mound Windsor Ridge, TX",texas/301-windsor-ridge/,(682) 688-5959,TX
2546,"300 Terminal Drive #63, Ft Lauderdale, FL 33315",26.0703893,-80.14444859999999,"Fort Lauderdale Int Airport, FL",florida/30007-fort-lauderdale-international-airport/,,FL
4474,"16120 Eldorado Pkwy, Frisco, TX 75035",33.1749641,-96.7343882,"Frisco Custer Star, TX",texas/302-custer-star-frisco/,(469) 731-3605,TX
1313,"5110 Main Street, Suite 100 Frisco, TX 75034",33.1534293,-96.8423445,"Frisco, TX",texas/241-frisco/,(214) 705-0341,TX
1318,"2901 Heritage Trace Parkway, Suite 105 Fort Worth, TX 76177",32.9151727,-97.3137289,"Ft. Worth/Alliance, TX",texas/257-ft-worth/,817-741-4848,TX
1330,"8787 N Scottsdale Rd. 214/216 Scottsdale, AZ 85253",33.564954,-111.924412,"Gainey, Scottsdale, AZ",arizona/3-gainey/,(480) 365-6000,AZ
1337,"1084 S Gilbert Rd suite 601, Gilbert, AZ 85296",33.3300481,-111.7909503,"Gilbert, AZ",arizona/9-gilbert/,(480) 926-9749,AZ
4475,"9141 W Glendale Ave, Glendale, AZ 85305",33.5372131,-112.2558491,"Glendale Westgate, AZ",arizona/297-glendale-westgate/,(602) 922-3626,AZ
