month_year,count,rolling_12_month
01-2013,1,
01-2014,19,
01-2015,11,
01-2016,17,
01-2017,16,
01-2018,14,
01-2019,15,
01-2020,15,
01-2021,20,
01-2022,23,
02-2014,12,
02-2015,11,14.0
02-2016,16,16.0
02-2017,18,16.0
02-2018,10,16.0
02-2019,11,15.0
02-2020,14,15.0
02-2021,20,15.0
02-2022,27,16.0
03-2014,10,16.0
03-2015,24,16.0
03-2016,11,15.0
03-2017,16,16.0
03-2018,18,16.0
03-2019,9,16.0
03-2020,17,16.0
03-2021,20,16.0
03-2022,22,17.0
04-2013,1,16.0
04-2014,20,16.0
04-2015,9,15.0
04-2016,12,15.0
04-2017,12,14.0
04-2018,5,13.0
04-2019,13,13.0
04-2020,25,14.0
04-2021,32,16.0
04-2022,25,16.0
05-2014,16,16.0
05-2015,17,16.0
05-2016,18,17.0
05-2017,13,16.0
05-2018,19,17.0
05-2019,16,18.0
05-2020,27,19.0
05-2021,20,20.0
05-2022,19,21.0
06-2014,6,19.0
06-2015,13,17.0
06-2016,15,17.0
06-2017,17,17.0
06-2018,14,16.0
06-2019,26,17.0
06-2020,31,19.0
06-2021,22,19.0
07-2013,2,18.0
07-2014,15,17.0
07-2015,19,17.0
07-2016,28,17.0
07-2017,20,18.0
07-2018,24,19.0
07-2019,15,19.0
07-2020,38,21.0
07-2021,33,23.0
08-2013,1,21.0
08-2014,18,20.0
08-2015,11,19.0
08-2016,18,20.0
08-2017,24,21.0
08-2018,16,20.0
08-2019,23,20.0
08-2020,27,21.0
08-2021,33,21.0
09-2013,1,20.0
09-2014,15,18.0
09-2015,16,17.0
09-2016,13,18.0
09-2017,17,18.0
09-2018,16,18.0
09-2019,18,18.0
09-2020,19,18.0
09-2021,20,18.0
10-2013,1,16.0
10-2014,16,15.0
10-2015,13,14.0
10-2016,19,15.0
10-2017,19,16.0
10-2018,14,15.0
10-2019,16,16.0
10-2020,27,16.0
10-2021,24,17.0
11-2014,14,17.0
11-2015,18,17.0
11-2016,21,17.0
11-2017,16,18.0
11-2018,21,18.0
11-2019,14,19.0
11-2020,15,18.0
11-2021,23,19.0
12-2012,1,18.0
12-2014,9,17.0
12-2015,15,16.0
12-2016,17,15.0
12-2017,18,16.0
12-2018,8,15.0
12-2019,15,14.0
12-2020,26,15.0
12-2021,24,15.0
