month_name,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Apr.,777307.0,679115.0,784206.0,869050.0,1106301.0,907972.0,904167.0,1017391.0,1018745.0,958896.0,889362.0,1527773.0,1542273.0,1221564.0
Aug.,636308.0,661604.0,749632.0,954539.0,942242.0,894490.0,941617.0,1103122.0,922700.0,857577.0,984775.0,1559177.0,1202934.0,
Dec.,973898.0,1073276.0,1338354.0,2139576.0,1431021.0,1525881.0,2109141.0,1663982.0,1505507.0,1376584.0,1431540.0,1769225.0,1644381.0,
Feb.,848688.0,766139.0,870189.0,1147593.0,1505258.0,1130409.0,1151533.0,1345185.0,1166306.0,1122626.0,981006.0,1146136.0,1252211.0,1204177.0
Jan.,794682.0,655007.0,723129.0,849768.0,1700395.0,886184.0,956375.0,1259861.0,944513.0,854967.0,877413.0,1043975.0,1876251.0,1063640.0
Jul.,552367.0,570198.0,619327.0,785430.0,782201.0,734607.0,855138.0,1090490.0,818109.0,728735.0,727605.0,1711878.0,1163523.0,
Jun.,561579.0,551103.0,621264.0,773702.0,801755.0,729061.0,803555.0,1027372.0,917377.0,789504.0,807737.0,2037579.0,1157007.0,
Mar.,901625.0,806035.0,925383.0,1109614.0,1408017.0,1132516.0,1096843.0,1188014.0,1235535.0,1349321.0,1187749.0,2208078.0,1850761.0,1501064.0
May.,621024.0,577875.0,644479.0,774480.0,898253.0,794413.0,836372.0,843848.0,897144.0,805023.0,803905.0,1469416.0,1208606.0,
Nov.,798842.0,874457.0,1022129.0,1421592.0,1210595.0,1231616.0,1331248.0,1519458.0,1339839.0,1189072.0,1219976.0,1811312.0,1413966.0,
Oct.,770027.0,781674.0,868913.0,1026211.0,1018932.0,1068021.0,1096842.0,1232976.0,1019103.0,895825.0,988590.0,1632290.0,1292960.0,
Sep.,667583.0,704311.0,799968.0,927903.0,952690.0,932919.0,972793.0,1040033.0,913025.0,821602.0,903331.0,1507360.0,1220038.0,
