state_name,votes_dem,votes_gop,diff,total_votes,per_gop,per_dem,per_point_diff,winner
Alabama,849648,1441168,591520,2290816,0.371,0.629,0.258,Trump
Alaska,153405,189892,36487,343297,0.447,0.553,0.10600000000000004,Trump
Arizona,1672143,1661686,10457,3333829,0.502,0.498,0.0040000000000000036,Biden
Arkansas,423932,760647,336715,1184579,0.358,0.642,0.28400000000000003,Trump
California,11109764,6005961,5103803,17115725,0.649,0.351,0.29800000000000004,Biden
Colorado,1804352,1364607,439745,3168959,0.569,0.431,0.13799999999999996,Biden
Connecticut,1080680,715291,365389,1795971,0.602,0.398,0.20399999999999996,Biden
Delaware,296268,200603,95665,496871,0.596,0.404,0.19199999999999995,Biden
District of Columbia,317323,18586,298737,335909,0.945,0.055,0.8899999999999999,Biden
Florida,5297045,5668731,371686,10965776,0.483,0.517,0.03400000000000003,Trump
Georgia,2473633,2461854,11779,4935487,0.501,0.499,0.0020000000000000018,Biden
Hawaii,366130,196864,169266,562994,0.65,0.35,0.30000000000000004,Biden
Idaho,287021,554118,267097,841139,0.341,0.659,0.318,Trump
Illinois,3471915,2446891,1025024,5918806,0.587,0.413,0.174,Biden
Indiana,1242495,1729852,487357,2972347,0.418,0.582,0.16399999999999998,Trump
Iowa,759061,897672,138611,1656733,0.458,0.542,0.08400000000000002,Trump
Kansas,558669,758100,199431,1316769,0.424,0.576,0.15199999999999997,Trump
Kentucky,772474,1326646,554172,2099120,0.368,0.632,0.264,Trump
Louisiana,856034,1255776,399742,2111810,0.405,0.595,0.18999999999999995,Trump
Maine,430473,359899,70574,790372,0.545,0.455,0.09000000000000002,Biden
Maryland,1985023,976414,1008609,2961437,0.67,0.33,0.34,Biden
Massachusetts,2382202,1167202,1215000,3549404,0.671,0.329,0.342,Biden
Michigan,2804040,2649852,154188,5453892,0.514,0.486,0.028000000000000025,Biden
Minnesota,1717077,1484065,233012,3201142,0.536,0.464,0.07200000000000001,Biden
Mississippi,539398,756764,217366,1296162,0.416,0.584,0.16799999999999998,Trump
Missouri,1253014,1718736,465722,2971750,0.422,0.578,0.15599999999999997,Trump
Montana,244786,343602,98816,588388,0.416,0.584,0.16799999999999998,Trump
Nebraska,374583,556846,182263,931429,0.402,0.598,0.19599999999999995,Trump
Nevada,703486,669890,33596,1373376,0.512,0.488,0.02400000000000002,Biden
New Hampshire,424921,365654,59267,790575,0.537,0.463,0.07400000000000001,Biden
New Jersey,2608335,1883274,725061,4491609,0.581,0.419,0.16199999999999998,Biden
New Mexico,501614,401894,99720,903508,0.555,0.445,0.11000000000000004,Biden
New York,5244006,3250230,1993776,8494236,0.617,0.383,0.23399999999999999,Biden
North Carolina,2684292,2758773,74481,5443065,0.493,0.507,0.014000000000000012,Trump
North Dakota,114902,235595,120693,350497,0.328,0.672,0.34400000000000003,Trump
Ohio,2679165,3154834,475669,5833999,0.459,0.541,0.08200000000000002,Trump
Oklahoma,503890,1020280,516390,1524170,0.331,0.669,0.338,Trump
Oregon,1340383,958448,381935,2298831,0.583,0.417,0.16599999999999998,Biden
Pennsylvania,3459923,3378263,81660,6838186,0.506,0.494,0.01200000000000001,Biden
Rhode Island,306210,199837,106373,506047,0.605,0.395,0.20999999999999996,Biden
South Carolina,1091541,1385103,293562,2476644,0.441,0.559,0.11800000000000005,Trump
South Dakota,150471,261043,110572,411514,0.366,0.634,0.268,Trump
Tennessee,1143711,1852475,708764,2996186,0.382,0.618,0.236,Trump
Texas,5259126,5890347,631221,11149473,0.472,0.528,0.05600000000000005,Trump
Utah,560282,865140,304858,1425422,0.393,0.607,0.21399999999999997,Trump
Vermont,242820,112704,130116,355524,0.683,0.317,0.36600000000000005,Biden
Virginia,2413568,1962430,451138,4375998,0.552,0.448,0.10400000000000004,Biden
Washington,2369612,1584651,784961,3954263,0.599,0.401,0.19799999999999995,Biden
West Virginia,235984,545382,309398,781366,0.302,0.698,0.39599999999999996,Trump
Wisconsin,1630673,1610065,20608,3240738,0.503,0.497,0.006000000000000005,Biden
Wyoming,73491,193559,120068,267050,0.275,0.725,0.44999999999999996,Trump
