year,jan_share,feb_share,mar_share,apr_share,may_share,jun_share,jul_share,aug_share,sep_share,oct_share,nov_share,dec_share
1999,6.47,7.62,8.24,7.08,6.31,6.23,6.45,7.7,8.85,10.35,10.99,13.72
2000,7.49,8.28,8.62,7.23,6.31,6.44,6.35,7.99,9.15,9.9,10.52,11.72
2001,7.19,7.58,8.19,6.67,6.1,6.07,6.05,7.94,9.7,11.56,11.03,11.93
2002,7.88,8.22,8.45,7.43,6.73,6.13,6.34,8.2,8.57,10.05,10.5,11.52
2003,7.71,8.35,8.69,7.34,6.69,6.24,6.29,8.06,8.71,10.1,9.94,11.89
2004,8.0,8.33,8.5,7.4,6.24,6.29,6.47,7.67,8.52,9.97,10.25,12.36
2005,7.66,8.3,8.58,7.36,6.22,6.21,6.27,7.67,8.84,9.52,10.36,13.01
2006,7.73,8.18,8.42,6.98,6.24,6.14,6.29,8.3,9.16,9.66,10.41,12.49
2007,8.0,8.19,8.73,7.52,7.18,7.09,6.78,8.21,8.45,9.17,9.66,11.01
2008,7.42,8.03,8.19,7.4,6.97,6.45,7.01,7.53,7.66,9.31,12.04,11.99
2009,8.65,8.97,9.58,8.74,7.29,6.9,6.88,7.66,7.79,8.79,8.72,10.03
2010,7.77,8.63,9.02,8.56,7.06,6.98,7.42,7.56,7.95,9.49,9.0,10.56
2011,8.04,8.95,8.81,8.21,7.48,7.1,7.03,7.96,7.62,8.15,9.32,11.32
2012,7.03,8.93,8.82,7.29,6.72,6.65,6.64,7.79,7.45,8.24,10.24,14.21
2013,11.83,10.95,10.47,8.13,6.81,6.07,6.09,6.73,6.64,8.0,8.6,9.68
2014,7.92,9.95,11.87,8.31,7.08,6.6,6.69,7.38,6.94,7.65,8.6,11.01
2015,7.66,8.04,8.7,7.39,6.83,6.61,6.92,7.54,7.76,8.54,9.69,14.32
2016,9.24,9.49,9.16,7.79,6.79,7.74,7.98,6.73,7.23,8.47,9.3,10.06
2017,8.1,8.86,9.64,8.11,7.7,7.54,6.91,7.63,7.8,8.05,9.44,10.25
2018,7.76,8.91,10.57,8.49,7.65,7.39,7.01,7.92,7.47,7.97,9.14,9.71
2019,7.63,7.24,9.32,8.23,8.28,8.15,7.16,8.34,7.78,8.44,9.08,10.35
2020,6.81,7.06,9.42,7.33,7.79,9.9,9.17,7.85,7.29,8.33,9.14,9.92
2021,12.07,9.62,13.11,9.82,9.01,8.54,8.06,7.59,7.34,7.25,7.6,0.0
