year,state,fips,deaths,apname,pop,rate
2021,Alabama,01,1313.0,Ala.,4893186,26.83323298971263
2021,Alaska,02,181.0,Alaska,736990,24.559356300628234
2021,Arizona,04,1365.0,Ariz.,7174064,19.02687235575261
2021,Arkansas,05,698.0,Ark.,3011873,23.17494794767243
2021,California,06,3580.0,Calif.,39346023,9.098759485806228
2021,Colorado,08,1078.0,Colo.,5684926,18.962428006978456
2021,Connecticut,09,241.0,Conn.,3570549,6.749662306832926
2021,Delaware,10,158.0,Del.,967679,16.32772851327765
2021,District of Columbia,11,234.0,D.C.,701974,33.334567946961
2021,Florida,12,3150.0,Fla.,21216924,14.846638466537373
2021,Georgia,13,2195.0,Ga.,10516579,20.871806316483713
2021,Hawaii,15,65.0,Hawaii,1420074,4.577226257223216
2021,Idaho,16,310.0,Idaho,1754367,17.67019101476487
2021,Illinois,17,1937.0,Ill.,12716164,15.232581146326833
2021,Indiana,18,1255.0,Ind.,6696893,18.74003362454798
2021,Iowa,19,356.0,Iowa,3150011,11.301547835864701
2021,Kansas,20,515.0,Kan.,2912619,17.68168098882827
2021,Kentucky,21,939.0,Ky.,4461952,21.04460110731805
2021,Louisiana,22,1311.0,La.,4664616,28.105207373983195
2021,Maine,23,180.0,Maine,1340825,13.424570693416367
2021,Maryland,24,874.0,Md.,6037624,14.4758931659209
2021,Massachusetts,25,236.0,Mass.,6873003,3.4337246760986426
2021,Michigan,26,1529.0,Mich.,9973907,15.330000570488577
2021,Minnesota,27,570.0,Minn.,5600166,10.178269715576288
2021,Mississippi,28,916.0,Miss.,2981835,30.71933893055786
2021,Missouri,29,1446.0,Mo.,6124160,23.611401400355316
2021,Montana,30,279.0,Mont.,1061705,26.278486020128
2021,Nebraska,31,209.0,Neb.,1923826,10.863768344954273
2021,Nevada,32,638.0,Nev.,3030281,21.054153063692773
2021,New Hampshire,33,126.0,N.H.,1355244,9.297218803403668
2021,New Jersey,34,461.0,N.J.,8885418,5.1882758920289405
2021,New Mexico,35,586.0,N.M.,2097021,27.944403036497963
2021,New York,36,1063.0,N.Y.,19514849,5.447134128478268
2021,North Carolina,37,1808.0,N.C.,10386227,17.40766882911379
2021,North Dakota,38,126.0,N.D.,760394,16.57035694653035
2021,Ohio,39,1906.0,Ohio,11675275,16.325097267516185
2021,Oklahoma,40,842.0,Okla.,3949342,21.320007231584402
2021,Oregon,41,697.0,Ore.,4176346,16.689230250558744
2021,Pennsylvania,42,1903.0,Pa.,12794885,14.87313094256025
2021,Rhode Island,44,67.0,R.I.,1057798,6.333912523941244
2021,South Carolina,45,1133.0,S.C.,5091517,22.252699932063468
2021,South Dakota,46,132.0,S.D.,879336,15.011326728349575
2021,Tennessee,47,1653.0,Tenn.,6772268,24.40836659151705
2021,Texas,48,4625.0,Texas,28635442,16.151313466717227
2021,Utah,49,449.0,Utah,3151239,14.248363897501903
2021,Vermont,50,86.0,Vt.,624340,13.77454592049204
2021,Virginia,51,1254.0,Va.,8509358,14.736716918009561
2021,Washington,53,892.0,Wash.,7512465,11.873599411112064
2021,West Virginia,54,319.0,W.Va.,1807426,17.649408606493434
2021,Wisconsin,55,796.0,Wis.,5806975,13.707653296251491
2021,Wyoming,56,150.0,Wyo.,581348,25.802101323131755
