short_title,quality,price,description,url,type
"Anderson AM15 5.56mm 16"" Semi-Auto Rifle - Black",Good,$599.99,"RIFLE: ANDERSON MANUFACTURING MODEL AM-15 RIFLE, MATTE BLACK, NOT INCLUDED, SEMI - AUTOMATIC, 5.56MM, 16.5",/Item/Details/Anderson-AM15-5-56mm-16-Semi-Auto-Rifle-Black/3175a286c37e44e4b59405038416ae72,rifle
ANDERSON MANUFACTURING AM-15 RIFLE,Like New,$524.95,"RIFLE: ANDERSON MANUFACTURING MODEL AM-15 RIFLE, OTHER, NOT INCLUDED, 16"", 5.56MM, SEMI - AUTOMATIC",/Item/Details/ANDERSON-MANUFACTURING-AM-15-RIFLE/f4ddde6787184d0ab3bc33eabe04f9ed,rifle
ANDERSON MANUFACTURING AM-15 RIFLE,Like New,$679.99,"RIFLE: ANDERSON MANUFACTURING MODEL AM-15 RIFLE, BLUE, NOT INCLUDED, 20IN, 5.56MM, SEMI - AUTOMATIC, W/ AERO PRECISION 20IN BULL BARREL UPPER",/Item/Details/ANDERSON-MANUFACTURING-AM-15-RIFLE/b4254fa630b4473ca39985c70071f178,rifle
ANDERSON MANUFACTURING AM-15 RIFLE,Very Good,$699.99,"RIFLE: ANDERSON MANUFACTURING MODEL AM-15 RIFLE, MATTE BLACK, NOT INCLUDED, 16, 5.56MM, SEMI - AUTOMATIC",/Item/Details/ANDERSON-MANUFACTURING-AM-15-RIFLE/5ecf98606c8a4f13929e3896ee9797a6,rifle
ANDERSON MANUFACTURING AM-15 RIFLE,Brand New,$799.99,"RIFLE: ANDERSON MANUFACTURING MODEL AM-15 RIFLE, MATTE BLACK, 16, 5.56 NATO 1:8, SEMI - AUTOMATIC",/Item/Details/ANDERSON-MANUFACTURING-AM-15-RIFLE/8975aa78c6734f779542c4fc615e81ae,rifle
ANDERSON MANUFACTURING AM-15 RIFLE,Like New,$799.99,"RIFLE: ANDERSON MANUFACTURING MODEL AM-15 RIFLE, OTHER, NOT INCLUDED, 16, 5.56MM, SEMI - AUTOMATIC",/Item/Details/ANDERSON-MANUFACTURING-AM-15-RIFLE/6c77e68dee884225ad97409cc790a0a5,rifle
ANDERSON MANUFACTURING AM-15 RIFLE,Very Good,$849.99,"RIFLE: ANDERSON MANUFACTURING MODEL AM-15 RIFLE, MATTE BLACK, SEMI - AUTOMATIC, .223/5.56, 21",/Item/Details/ANDERSON-MANUFACTURING-AM-15-RIFLE/13be0b625bb14bba86f1bf5339a52bf2,rifle
ANDERSON MANUFACTURING AM-15 RIFLE,Acceptable,$954.99,"RIFLE: ANDERSON MANUFACTURING MODEL AM-15 RIFLE, FLAT DARK EARTH, , SEMI - AUTOMATIC, 5.56MM, 18"", SCOPE, STRAP",/Item/Details/ANDERSON-MANUFACTURING-AM-15-RIFLE/6c69cf1918824c939a5a8aa1de627cdc,rifle
ANDERSON MANUFACTURING AM-15 RIFLE,Acceptable,"$1,044.99","RIFLE: ANDERSON MANUFACTURING MODEL AM-15 RIFLE, MATTE BLACK, YES - INCLUDES PROTECTIVE CASE, SEMI - AUTOMATIC, 5.56MM, 16",/Item/Details/ANDERSON-MANUFACTURING-AM-15-RIFLE/85418ae98ef748a39ff2b2d3d3b969dd,rifle
RUGER 10/22,Brand New,$299.99,"RIFLE: RUGER MODEL 10/22, BLUE, YES - INCLUDES ORIGINAL BOX AND PAPERS, N/A, 22 LONG RIFLE (22LR), SEMI - AUTOMATIC",/Item/Details/RUGER-10-22/81226cd02e6d4f178394184429c5c5cf,rifle
