year,totals,population,per_thousand
2021,35778134,332992659,107.0
2020,39695315,329484123,120.0
2019,28369750,328329953,86.0
2018,26181936,326838199,80.0
2017,25235215,325122128,78.0
2016,27538673,323071755,85.0
2015,23141970,320738994,72.0
2014,20968547,318386329,66.0
2013,21093273,316059947,67.0
2012,19592303,313877662,62.0
2011,16454951,311583481,53.0
2010,14409616,309327143,47.0
2009,14033824,306771529,46.0
2008,12709023,304093966,42.0
2007,11177335,301231207,37.0
2006,10036933,298379912,34.0
2005,8952945,295516599,30.0
2004,8687671,292805298,30.0
2003,8481588,290107933,29.0
2002,8454322,287625193,29.0
2001,8910191,284968955,31.0
2000,8543037,282162411,30.0
1999,9138123,279040000,33.0
