year,All intents,All violence,Suicides,Homicides,Other
2012,33563,32759,20666,11622,804
2013,33636,32849,21175,11208,787
2014,33594,32858,21386,11008,736
2015,36252,35476,22018,12979,776
2016,38658,37863,22938,14415,795
2017,39773,38949,23854,14542,824
2018,39740,38929,24432,13958,811
2019,39707,38850,23941,14414,857
2020,45222,44286,24292,19384,936
2021,48832,47823,26322,20966,1009
