year,fires,acres,acres_per_fire,acres_per_fire_rolling
1983,18229,1323666,73.0,
1984,20493,1148409,56.0,
1985,82591,2896147,35.0,
1986,85907,2719162,32.0,
1987,71300,2447296,34.0,46.0
1988,72750,5009290,69.0,45.2
1989,48949,1827310,37.0,41.4
1990,66481,4621621,70.0,48.4
1991,75754,2953578,39.0,49.8
1992,87394,2069929,24.0,47.8
1993,58810,1797574,31.0,40.2
1994,79107,4073579,51.0,43.0
1995,82234,1840546,22.0,33.4
1996,96363,6065998,63.0,38.2
1997,66196,2856959,43.0,42.0
1998,81043,1329704,16.0,39.0
1999,92487,5626093,61.0,41.0
2000,92250,7393493,80.0,52.6
2001,84079,3570911,42.0,48.4
2002,73457,7184712,98.0,59.4
2003,63629,3960842,62.0,68.6
2004,65461,8097880,124.0,81.2
2005,66753,8689389,130.0,91.2
2006,96385,9873745,102.0,103.2
2007,85705,9328045,109.0,105.4
2008,78979,5292468,67.0,106.4
2009,78792,5921786,75.0,96.6
2010,71971,3422724,48.0,80.2
2011,74126,8711367,118.0,83.4
2012,67774,9326238,138.0,89.2
2013,47579,4319546,91.0,94.0
2014,63312,3595613,57.0,90.4
2015,68151,10125149,149.0,110.6
2016,67743,5509995,81.0,103.2
2017,71499,10026086,140.0,103.6
2018,58083,8767492,151.0,115.6
2019,50477,4664364,92.0,122.6
2020,58950,10122336,172.0,127.2
2021,58985,7125643,121.0,135.2
