,candidate_name,share_inside,share_outside
0,Albert Robles,12.0,88.0
1,Chan Jeong,49.0,51.0
2,Herb Wesson,39.0,61.0
3,Holly Mitchell,23.0,77.0
4,Jan Perry,40.0,60.0
5,Jorge Nuno,72.0,28.0
