,stock_number,item,quantity,value,year
6,2355-01-581-2392,MINE RESISTANT VEHICLE,2,1410842.0,4040
7,2355-01-582-6466,MINE RESISTANT VEHICLE,1,689000.0,2019
5,2355-01-553-4634,MINE RESISTANT VEHICLE,1,658000.0,2017
3,2320-01-413-3739,"TRUCK,UTILITY",2,385026.0,4036
4,2350-01-281-6451,"CARRIER,CARGO",2,251938.0,4034
2,1385-01-593-6219,PACKBOT 510 WITH FASTAC REMOTELY CONTROLLED VEHICLE,2,154000.0,4034
11,6115-01-317-2138,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",1,31481.0,2019
14,6230-DS-LIG-HT01,"ELECTRIC PORTABLE, HAND LIGHTING EQUIP",3,8974.0,6057
8,2530-01-563-8620,"WHEEL,PNEUMATIC TIRE",8,1654.0,2018
13,6220-01-561-9764,HID AND IR RC SEARCH LIGHT,3,1216.0,2019
17,8145-01-515-6458,"SHIPPING AND STORAGE CONTAINER,MISCELLANEOUS EQUIPMENT",1,239.0,2019
15,6240-01-569-5865,"LAMP,LIGHT EMITTING DIODE",25,218.0,2019
9,2530-01-568-4597,"WHEEL,PNEUMATIC TIRE",4,200.0,4038
1,1005-01-471-5456,"BARREL,CARBINE",3,108.0,2017
10,5930-00-307-8856,SWITCH ASSEMBLY,10,81.0,2019
12,6220-01-193-1970,HEADLIGHT,15,58.0,2019
0,1005-00-921-5004,"MAGAZINE,CARTRIDGE",226,14.0,2019
16,7240-00-177-6154,"SPOUT,CAN,FLEXIBLE",10,11.0,2019
