,stock_number,item,quantity,value,year
11,2355-01-623-0967,MINE RESISTANT VEHICLE,2,1534720.0,4038
3,1520-01-385-3844,"HELICOPTER,FLIGHT TRAINER",1,833400.0,2017
5,1680-00-183-0834,"TRANSMISSION ASSY,H",4,306700.0,8068
2,1385-01-593-6219,PACKBOT 510 WITH FASTAC REMOTELY CONTROLLED VEHICLE,2,154000.0,4034
9,1680-01-082-9699,"DRIVE ASSEMBLY,LIMIT SWITCH",8,12303.0,2017
12,6220-00-524-6447,"GEAR BOX,ASSEMBLY",3,2103.0,2017
8,1680-01-071-5389,"WIRING HARNESS,FLEX",3,1827.0,2017
7,1680-01-070-9952,"BRAKE ASSY,HOIST",7,1601.0,2017
6,1680-01-070-0973,"CUP,BRAKE DISK",5,939.0,2017
10,1680-01-320-1317,"BELLOWS,PRESSURE",2,710.0,2018
4,1560-00-014-9524,CONTROL PANEL ASSEMBLY,1,578.0,2017
1,1240-01-576-6134,"SIGHT,REFLEX",12,446.0,2017
0,1005-01-569-6938,"STOCK,GUN,SHOULDER",27,132.0,2017
