,stock_number,item,quantity,value,year
54,2355-01-596-1330,MINE RESISTANT VEHICLE,2,1150000.0,4038
44,2320-01-123-1601,LIGHT ARMORED VEHICLE,2,1045884.0,4038
53,2355-01-582-6466,MINE RESISTANT VEHICLE,1,689000.0,2019
52,2355-01-552-5344,MINE RESISTANT VEHICLE,1,610764.0,2017
25,1385-01-534-9828,"UNMANNED VEHICLE,GROUND",2,597722.0,4034
36,1680-01-552-3442,"HOIST,INTERNAL RESCUE",3,288184.0,4035
30,1615-01-056-5365,"HANGER ASSEMBLY,DRI",4,271639.0,8068
28,1520-01-020-4216,"HELICOPTER,OBSERVATION",1,190817.0,2018
26,1385-01-593-6219,PACKBOT 510 WITH FASTAC REMOTELY CONTROLLED VEHICLE,2,154000.0,4034
32,1680-00-183-0834,"TRANSMISSION ASSY,H",2,153350.0,4034
0,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",179,134071.0,361044
74,4910-00-754-0705,"SHOP EQUIPMENT,AUTOMOTIVE VEHICLE",1,120827.0,2019
102,5855-01-363-7491,"IMAGE INTENSIFIER,NIGHT VISION",20,117120.0,40380
65,4140-DS-BLO-WER1,"BLOWER, AIR CONDITIONING",1,98000.0,2019
39,2310-01-111-2274,"TRUCK,AMBULANCE",1,96466.0,2019
27,1520-00-169-7137,"HELICOPTER,OBSERVATION",1,92290.0,2017
62,3441-00-204-3687,"BENDING MACHINE,PIPE AND CONDUIT",1,91361.0,2019
46,2320-DS-TRU-CK00,TRUCKS AND TRUCK TRACTORS,1,89090.0,2019
48,2330-01-556-9648,"INTEGRATED TRAILER,ECU AND GENERATOR",2,85000.0,2019
103,5855-01-433-3157,"IMAGE INTENSIFIER,NIGHT VISION",7,44744.0,14119
15,1240-01-504-2221,"RANGE FINDER,LASER",2,41002.0,4038
64,4140-01-563-3169,"FAN,CENTRIFUGAL",6,37623.0,12114
128,6525-01-523-1989,"X-RAY APPARATUS,RADIOGRAPHIC,MEDICAL",2,35690.0,2019
