,stock_number,item,quantity,value,year
3,1385-01-593-6219,PACKBOT 510 WITH FASTAC REMOTELY CONTROLLED VEHICLE,2,154000.0,4034
4,3930-DS-FOR-KLIF,FORKLIFT,1,22524.0,2019
6,5855-01-533-0940,"SIGHT,NIGHT VISION SNIPERSCOPE",3,15000.0,6054
8,5855-01-578-1396,"ILLUMINATOR,INTEGRATED,SMALL ARMS",3,2731.0,2017
5,5855-01-533-0555,"ILLUMINATOR,INFRARED",20,1800.0,2017
7,5855-01-534-5931,"ILLUMINATOR,INTEGRATED,SMALL ARMS",3,870.0,2018
2,1240-01-576-6134,"SIGHT,REFLEX",5,446.0,2017
0,1005-01-233-8529,BARREL AND FRONT SIGHT ASSEMBLY,7,117.0,2017
1,1005-01-452-3527,"ADAPTER RAIL,WEAPON MOUNTED,M4",23,78.0,2017
