,stock_number,item,quantity,value,year
17,1240-01-439-7265,"MOUNT,QUICK RELEASE ASSEMBLY",16,43.0,2017
255,8415-01-472-6917,"OVERALLS,COLD WEATHER",1,43.0,2020
254,8415-01-472-6915,"OVERALLS,COLD WEATHER",2,43.0,2020
253,8415-01-472-6914,"OVERALLS,COLD WEATHER",1,43.0,2020
288,8465-00-242-7856,SLEEPING BAG,2,42.0,2019
191,6515-01-521-7976,"TOURNIQUET,NONPNEUMATIC",106,41.0,2019
94,4240-01-527-4051,"SAFETY GLASSES,REVISION SAWFLY EYEWEAR SYSTEM,REGULAR",3,40.0,2019
305,8465-01-604-6541,"BAG,DUFFEL",20,39.0,2019
299,8465-01-580-0689,TACTICAL ASSAULT PANEL,2,37.0,2020
5,1005-01-544-9825,"BUTTSTOCK,SUBASSEMBLY",5,37.0,2019
225,7110-01-444-7735,"BOARD,MARKER",1,36.0,2019
111,5110-00-293-2336,"AX,SINGLE BIT",6,35.0,2019
268,8415-01-623-9342,"PANTS,PHYSICAL FITNESS UNIFORM,WOMENS",15,32.0,2019
6,1005-01-617-2594,"MAGAZINE,CARTRIDGE",8,31.0,2019
287,8465-00-165-6838,"CUP,WATER CANTEEN",41,30.0,4038
139,5855-01-438-4588,"TRANSMITTER,INFRARED",30,27.0,2017
0,1005-00-921-5004,"MAGAZINE,CARTRIDGE",49,27.0,4034
96,4240-01-543-9618,"HOOK KNIFE,RESCUE",5,26.0,2020
265,8415-01-576-9715,BELT RIGGERS FR,2,23.0,4038
296,8465-01-525-0598,"POUCH,M4 THREE MAG",5,23.0,2020
11,1095-00-973-2353,"HOLSTER,PISTOL",7,22.0,2020
9,1095-00-120-8972,"HOLSTER,PISTOL",2,22.0,2020
228,7240-00-089-3827,"CAN,MILITARY",16,21.0,2019
250,8415-00-782-2889,"LINER,COLD WEATHER COAT",7,21.0,2020
297,8465-01-542-7688,"BAG,WET WEATHER CLOTHING",12,21.0,2019
199,6545-00-911-8725,"BAG,FIRST AID KIT",10,20.0,2020
234,7510-00-074-5160,"TAPE,PRESSURE SENSITIVE ADHESIVE",40,19.0,2019
184,6260-01-247-0368,"LIGHT,CHEMILUMINESCENT",6,18.0,2020
183,6260-01-178-5560,"LIGHT,CHEMILUMINESCENT",8,18.0,2019
112,5120-00-293-3336,"SHOVEL,HAND",6,15.0,2019
187,6510-01-532-6656,"BANDAGE KIT,ELASTIC,ABDOMINAL WOUND",25,14.0,2020
252,8415-01-227-9550,"UNDERSHIRT,COLD WEATHER",15,14.0,2019
303,8465-01-580-1563,SUSTAINMENT POUCH,7,12.0,2019
100,4240-DS-GOG-GLES,SAFETY GOGGLES,2,11.0,2019
188,6510-01-540-6484,"DRESSING,COMPRESSION",30,9.0,2020
245,8140-01-252-4290,"CONTAINER ASSEMBLY,CARTRIDGE",20,8.0,2019
256,8415-01-526-5348,"BELT,RIGGERS",1,4.0,2019
105,4820-01-528-9291,"DISK,VALVE",15,2.0,2020
