,stock_number,item,quantity,value,year
16,2355-01-623-0967,MINE RESISTANT VEHICLE,3,2302080.0,6057
15,2355-01-562-6152,MINE RESISTANT VEHICLE,1,689000.0,2019
11,2320-01-413-3739,"TRUCK,UTILITY",3,577539.0,6051
10,1385-01-534-9828,"UNMANNED VEHICLE,GROUND",1,298861.0,2017
12,2320-01-418-7400,"TRUCK,UTILITY",1,188000.0,2018
14,2320-DS-NTV-UARM,UP ARMORED NTVS,1,98474.0,2017
13,2320-01-518-7330,"TRUCK,UTILITY",1,97461.0,2019
19,5855-01-228-0937,NIGHT VISION GOGGLE,3,10734.0,6051
1,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",10,7490.0,20170
20,5855-01-380-5098,"IMAGE INTENSIFIER TUBE,NIGHT VISION",3,6777.0,6051
17,2530-01-576-5896,"WHEEL,PNEUMATIC TIRE",4,3225.0,2019
6,1240-01-411-1265,"SIGHT,REFLEX",20,1605.0,10085
8,1240-01-533-0939,"SIGHT,BORE,OPTICAL",10,800.0,2017
9,1240-01-540-3690,"SIGHT,REFLEX",9,321.0,2018
7,1240-01-517-1751,"SIGHT,HOLOGRAPHIC",5,273.0,2017
5,1005-01-576-8901,"STOCK,GUN,SHOULDER",5,263.0,2017
18,4235-DS-HAZ-SUIT,HAZMAT CHEM PROTECTIVE SUITS,80,200.0,2020
2,1005-01-233-8529,BARREL AND FRONT SIGHT ASSEMBLY,5,117.0,2017
4,1005-01-452-3527,"ADAPTER RAIL,WEAPON MOUNTED,M4",5,78.0,2017
3,1005-01-382-6795,"RECEIVER,CARTRIDGE",5,41.0,2017
0,1005-00-921-5004,"MAGAZINE,CARTRIDGE",25,14.0,2017
