,stock_number,item,quantity,value,year
10,2355-01-621-5506,MINE RESISTANT VEHICLE,1,710000.0,2019
6,2320-01-447-3890,"TRUCK,CARGO",1,184333.0,2019
5,2320-01-354-3384,"TRUCK,VAN",1,124607.0,2020
4,2320-01-230-0305,"TRUCK,DUMP",1,72425.0,2019
11,5855-01-228-0937,NIGHT VISION GOGGLE,17,60826.0,34289
3,2320-01-125-2640,TRUCK TRACTOR,1,57454.0,2019
8,2330-DS-TRA-ILE1,TRAILER,2,20275.0,4038
7,2330-00-133-1731,"SEMITRAILER,LOW BED",1,20007.0,2019
16,8115-01-016-5909,"CONTAINER,INSULATED",2,10106.0,2019
9,2340-DS-ATV-GATO,"ALL TERRAIN VEHICLE, AG/BVUS",10,10000.0,4038
12,6230-01-273-2567,FLOODLIGHT ASSEMBLY,1,7650.0,2017
13,6530-01-260-1222,"RESCUE AND TRANSPORT SYSTEM,PATIENT",3,668.0,2019
0,1005-00-136-2277,"SHIELD,BALLISTIC",2,360.0,2018
2,1240-01-411-1265,"SIGHT,REFLEX",3,321.0,2017
14,6545-00-920-7125,"FIRST AID KIT,GUN CREW",53,170.0,2019
1,1005-00-921-5004,"MAGAZINE,CARTRIDGE",50,14.0,2018
15,7520-01-587-4726,"POINTER,INSTRUCTIONAL",1,3.0,2019
