,stock_number,item,quantity,value,year
2,2320-01-413-3739,"TRUCK,UTILITY",1,192513.0,2017
1,1385-DS-ROB-TEOD,EOD ROBOT,1,14608.0,2017
0,1385-01-574-4707,"UNMANNED VEHICLE,GROUND",1,10000.0,2018
3,2330-DS-TRA-ILE1,TRAILER,1,3800.0,2019
