,stock_number,item,quantity,value,year
0,1385-01-593-6219,PACKBOT 510 WITH FASTAC REMOTELY CONTROLLED VEHICLE,2,154000.0,4034
4,2320-01-360-1898,"TRUCK,CARGO",1,115639.0,2020
14,3930-DS-FOR-KLIF,FORKLIFT,3,103401.0,6058
16,4120-DS-AIR-COND,AIR CONDITIONER,4,85000.0,2019
3,2320-01-230-0305,"TRUCK,DUMP",1,72425.0,2019
5,2320-DS-TRU-CK00,TRUCKS AND TRUCK TRACTORS,1,20164.0,2020
88,8145-DS-SHI-PCON,SPECIALIZED SHIPPING AND STORAGE CONTAIN,2,18000.0,4038
8,2340-DS-SCO-OTER,SCOOTER,1,15632.0,2019
7,2340-DS-MUL-E000,MULE,1,15000.0,2019
12,3750-DS-LAW-NRID,"LAWN MOWER, RIDING",2,12854.0,4038
1,2320-01-094-8229,"TRUCK,CARGO",1,9990.0,2019
89,8340-01-456-3637,LIGHTWEIGHT MAINTENANCE ENCLOSURE (LME) GREEN,1,9351.0,2020
2,2320-01-151-9558,"TRUCK,CARGO",1,8823.0,2020
13,3930-01-512-3846,"SEGWAY,HT",1,7456.0,2019
9,2540-01-630-7491,"COVER,FITTED,VEHICULAR BODY",2,7309.0,4040
84,7730-DS-TEL-EVI3,"TELEVISION, PERSONAL/HOME USE",1,7000.0,2019
85,7910-00-526-1959,"CLEANER,VACUUM,ELECTRIC",1,5892.0,2020
17,4910-DS-PRE-SSUR,PRESSURE WASHER,1,5000.0,2019
6,2330-DS-TRA-ILE1,TRAILER,1,5000.0,2019
75,7110-DS-GUN-CABI,GUN CABINET/SAFE,2,2206.0,2019
69,7025-01-498-4213,"PRINTER,AUTOMATIC DATA PROCESSING",7,1795.0,2019
78,7210-DS-BLA-NKET,BLANKET,100,600.0,2019
81,7330-00-781-3859,"JUG,INSULATED",3,511.0,2020
66,6760-01-461-5901,"LENS,CAMERA,GENERAL PHOTOGRAPHIC",1,503.0,2020
68,7010-DS-WOR-KST0,COMPUTER WORKSTATION,2,500.0,2020
65,6760-01-453-5322,"FLASH UNIT,PHOTOGRAPHIC,REPEATING",1,455.0,2020
15,3990-01-451-4203,"TIE DOWN,CARGO,VEHICLE",21,444.0,2020
10,3610-DS-PRI-DUPB,"PRINTING, DUPLICATING, BOOKBINDING EQUIP",4,400.0,2019
70,7025-DS-FAX-0001,"FAX MACHINE, DIGITAL",1,350.0,2020
80,7320-01-590-4072,POPCORN MAKER,1,300.0,2019
87,8145-01-196-3731,"SHIPPING AND STORAGE CONTAINER,SMALL ARM",2,232.0,2020
63,6150-DS-UPS-0003,UNIVERSAL POWER SUPPLY,5,213.0,2019
11,3615-DS-SHR-EDD0,SHREDDER,1,200.0,2020
108,8430-01-598-5041,"BOOTS,HOT WEATHER",2,175.0,4040
110,8430-01-598-5053,"BOOTS,HOT WEATHER",3,175.0,4040
107,8430-01-598-5010,"BOOTS,HOT WEATHER",2,175.0,4040
106,8430-01-598-5007,"BOOTS,HOT WEATHER",2,149.0,4040
94,8430-01-514-5138,"BOOTS,COMBAT",2,138.0,4040
97,8430-01-514-5157,"BOOTS,COMBAT",2,138.0,4040
72,7025-DS-SCA-NNE2,"SCANNER, DIGITAL",12,125.0,2020
18,5120-00-062-9478,"SOCKET,WRENCH,FACE SPANNER",2,108.0,2020
90,8415-01-538-6704,"TROUSERS,EXTREME COLD WEATHER",11,106.0,2020
100,8430-01-516-1682,"BOOTS,COMBAT",1,102.0,2020
99,8430-01-516-1603,"BOOTS,COMBAT",1,102.0,2020
101,8430-01-593-6057,"BOOTS,COMBAT",1,102.0,2020
102,8430-01-593-6090,"BOOTS,COMBAT",1,102.0,2020
74,7110-DS-CHA-IR02,"CHAIR, OFFICE",2,100.0,2019
76,7110-DS-SAF-E000,SAFE,16,100.0,2020
77,7195-DS-BOA-RD02,BOARD,10,100.0,2019
58,5120-DS-SOC-KET0,SOCKET,24,95.0,16160
113,8465-01-515-1156,"STRAP,INVOLUNTARY,RESTRAINT",5,95.0,2019
103,8430-01-598-4994,"BOOTS,HOT WEATHER",2,87.0,2020
109,8430-01-598-5052,"BOOTS,HOT WEATHER",1,87.0,2020
111,8430-01-598-5058,"BOOTS,HOT WEATHER",1,87.0,2020
105,8430-01-598-5006,"BOOTS,HOT WEATHER",1,87.0,2020
104,8430-01-598-5000,"BOOTS,HOT WEATHER",1,87.0,2020
112,8430-01-598-5061,"BOOTS,HOT WEATHER",1,74.0,2020
95,8430-01-514-5143,"BOOTS,COMBAT",1,69.0,2020
96,8430-01-514-5152,"BOOTS,COMBAT",1,69.0,2020
98,8430-01-514-5164,"BOOTS,COMBAT",1,69.0,2020
19,5120-00-249-1076,"HANDLE,SOCKET WRENCH",3,63.0,2020
43,5120-01-399-9704,"SOCKET,SOCKET WRENCH",3,57.0,2020
71,7025-DS-KEY-BOA2,"KEYBOARD, BOX",16,55.0,2019
79,7220-DS-FLO-ORCO,FLOOR COVERINGS,7,45.0,2019
73,7035-DS-ADP-SUPP,ADP SUPPORT EQUIPMENT,50,41.0,4038
86,8105-01-517-1365,"BAG,PLASTIC",65,34.0,2020
40,5120-01-399-9689,"SOCKET,SOCKET WRENCH",3,34.0,2020
44,5120-01-399-9707,"SOCKET,SOCKET WRENCH",3,30.0,2020
57,5120-01-652-1462,"SOCKET,SOCKET WRENCH",3,29.0,2020
60,5340-01-575-0854,"STRAP,WEBBING",75,29.0,2020
42,5120-01-399-9699,"SOCKET,SOCKET WRENCH",3,28.0,2020
45,5120-01-399-9740,"SOCKET,SOCKET WRENCH",3,27.0,2020
41,5120-01-399-9695,"SOCKET,SOCKET WRENCH",3,25.0,2020
64,6720-DS-DIG-ITA0,"CAMERA, DIGITAL",21,25.0,2020
62,6130-01-607-3396,"ADAPTER,POWER SUPPLY",25,25.0,2019
